week_start_date,geo,sessions,users,organic_sessions,purchase_events
2024-01-01,CA,38591,30099,9755,1205
2024-01-01,TX,34779,25460,7889,963
2024-01-01,FL,28103,21883,6726,832
2024-01-01,NY,32236,23563,7072,929
2024-01-08,CA,39355,28955,9394,979
2024-01-08,TX,31902,25340,8207,794
2024-01-08,FL,28327,20696,6899,712
2024-01-08,NY,30099,22673,7129,821
2024-01-15,CA,40394,30986,9541,1023
2024-01-15,TX,31154,24253,7497,856
2024-01-15,FL,27092,20489,6246,783
2024-01-15,NY,30390,23529,7354,739
2024-01-22,CA,39210,30307,9991,1030
2024-01-22,TX,35274,27649,7685,901
2024-01-22,FL,27361,21367,6816,813
2024-01-22,NY,29007,22003,7346,760
2024-01-29,CA,39668,29328,9127,1094
2024-01-29,TX,36033,27246,7577,873
2024-01-29,FL,27503,20317,6391,794
2024-01-29,NY,29880,22226,7049,730
2024-02-05,CA,37803,29285,9357,1009
2024-02-05,TX,34179,26176,7965,946
2024-02-05,FL,26772,20799,6409,734
2024-02-05,NY,28585,21361,6770,780
2024-02-12,CA,42749,30987,9692,1040
2024-02-12,TX,38252,27971,7681,931
2024-02-12,FL,28433,21774,6745,732
2024-02-12,NY,29830,22167,7388,798
2024-02-19,CA,41578,30657,10385,1100
2024-02-19,TX,35628,28296,8194,954
2024-02-19,FL,29888,23601,7129,779
2024-02-19,NY,29324,23295,7203,773
2024-02-26,CA,41573,30978,10356,972
2024-02-26,TX,36133,28139,8577,902
2024-02-26,FL,28727,21205,6722,788
2024-02-26,NY,31455,24734,7434,863
2024-03-04,CA,43452,33820,9470,1141
2024-03-04,TX,33554,26828,8403,944
2024-03-04,FL,30745,23365,7489,839
2024-03-04,NY,31603,24084,7176,873
2024-03-11,CA,43197,31601,10444,1104
2024-03-11,TX,32918,25756,8260,931
2024-03-11,FL,29387,22052,6868,850
2024-03-11,NY,31445,23033,7466,771
2024-03-18,CA,44456,34276,10195,1122
2024-03-18,TX,37411,28413,8298,1004
2024-03-18,FL,30419,24325,6875,790
2024-03-18,NY,30403,22878,7661,868
2024-03-25,CA,42546,32232,9446,1155
2024-03-25,TX,36365,26994,8206,940
2024-03-25,FL,29165,23124,7526,788
2024-03-25,NY,32660,26066,7729,862
2024-04-01,CA,49498,39506,11631,1388
2024-04-01,TX,40386,31684,9356,1182
2024-04-01,FL,32096,23602,7640,965
2024-04-01,NY,37732,29641,8266,990
2024-04-08,CA,44724,34042,10227,1173
2024-04-08,TX,33554,26611,8300,859
2024-04-08,FL,29704,23539,7451,870
2024-04-08,NY,32191,25660,7100,798
2024-04-15,CA,43817,33250,10406,1155
2024-04-15,TX,35394,28212,8852,904
2024-04-15,FL,28570,21785,7540,750
2024-04-15,NY,28329,20933,7033,847
2024-04-22,CA,41220,31863,9580,1055
2024-04-22,TX,36407,27012,8845,920
