week_start,geo,campaign_name,channel,impressions,clicks,amount_spent,ctr,cpc
01/01/2024,CA,Prospecting | Guitar Players,Meta,105501,1392,"$1,107.76",1.319%,0.7959
01/01/2024,CA,Retargeting | Site Visitors,Paid Social,53541,1113,$685.33,2.078%,0.6159
01/01/2024,CA,Catalog | Best Sellers,paid_social,71188,1173,$811.54,1.647%,0.692
01/01/2024,TX,Prospecting | Guitar Players,Meta,100071,1319,"$1,050.75",1.318%,0.7965
01/01/2024,TX,Retargeting | Site Visitors,Paid Social,50147,1010,$641.88,2.013%,0.6357
01/01/2024,TX,Catalog | Best Sellers,paid_social,75509,1357,$860.81,1.798%,0.6341
01/01/2024,FL,Prospecting | Guitar Players,Meta,76482,1042,$803.06,1.362%,0.7707
01/01/2024,FL,Retargeting | Site Visitors,Paid Social,44701,922,$572.17,2.063%,0.6205
01/01/2024,FL,Catalog | Best Sellers,paid_social,63859,1156,$727.99,1.810%,0.63
01/01/2024,NY,Prospecting | Guitar Players,Meta,95924,1322,"$1,007.20",1.378%,0.7619
01/01/2024,NY,Retargeting | Site Visitors,Paid Social,47645,1028,$609.85,2.159%,0.593
01/01/2024,NY,Catalog | Best Sellers,paid_social,60470,1042,$689.36,1.723%,0.6616
01/08/2024,CA,Prospecting | Guitar Players,Paid Social,109364,1618,"$1,148.32",1.479%,0.7098
01/08/2024,CA,Retargeting | Site Visitors,paid_social,52233,1097,$668.59,2.100%,0.6097
01/08/2024,CA,Catalog | Best Sellers,Meta,76661,1265,$873.93,1.650%,0.6908
01/08/2024,TX,Prospecting | Guitar Players,Paid Social,92285,1308,$968.99,1.418%,0.7407
01/08/2024,TX,Retargeting | Site Visitors,paid_social,52652,1133,$673.94,2.152%,0.5948
01/08/2024,TX,Catalog | Best Sellers,Meta,70432,1160,$802.92,1.647%,0.6923
01/08/2024,FL,Prospecting | Guitar Players,Paid Social,83971,1196,$881.70,1.424%,0.7372
01/08/2024,FL,Retargeting | Site Visitors,paid_social,42490,861,$543.87,2.028%,0.6313
01/08/2024,FL,Catalog | Best Sellers,Meta,58088,977,$662.20,1.682%,0.6776
