week_start,geo,consumer_sentiment_index,competitor_discount_index,music_center_promo
2024-02-05,CA,100.766,0.1859,1
2024-02-05,TX,100.247,0.1791,1
2024-02-05,FL,100.729,0.1607,1
2024-02-05,NY,100.357,0.1508,1
2024-02-12,CA,100.862,0.1722,0
2024-02-12,TX,101.295,0.1564,0
2024-02-12,FL,99.868,0.1475,0
2024-02-12,NY,99.965,0.1462,0
2024-02-19,CA,99.863,0.1648,0
2024-02-19,TX,100.269,0.1638,0
2024-02-19,FL,100.185,0.1502,0
2024-02-19,NY,99.408,0.1548,0
2024-02-26,CA,100.005,0.1408,0
2024-02-26,TX,101.198,0.1259,0
2024-02-26,FL,100.064,0.1491,0
2024-02-26,NY,100.901,0.1275,0
2024-03-04,CA,100.203,0.1325,0
2024-03-04,TX,101.458,0.1332,0
2024-03-04,FL,100.296,0.1299,0
2024-03-04,NY,102.068,0.13,0
2024-03-11,CA,102.553,0.1243,0
2024-03-11,TX,102.313,0.1399,0
2024-03-11,FL,102.119,0.1392,0
2024-03-11,NY,101.466,0.1047,0
2024-03-18,CA,100.417,0.1252,0
2024-03-18,TX,100.644,0.1044,0
2024-03-18,FL,101.563,0.1127,0
2024-03-18,NY,102.422,0.1196,0
2024-03-25,CA,102.078,0.0918,0
2024-03-25,TX,101.636,0.0915,0
2024-03-25,FL,102.989,0.1027,0
2024-03-25,NY,101.032,0.1083,0
2024-04-01,CA,100.861,0.0974,0
2024-04-01,TX,102.512,0.1063,0
2024-04-01,FL,102.498,0.0854,0
2024-04-01,NY,102.811,0.078,0
2024-04-08,CA,101.912,0.0713,0
2024-04-08,TX,102.083,0.0715,0
2024-04-08,FL,102.282,0.0618,0
2024-04-08,NY,102.241,0.0944,0
2024-04-15,CA,102.099,0.0847,0
2024-04-15,TX,102.385,0.0828,0
2024-04-15,FL,102.204,0.0723,0
2024-04-15,NY,102.156,0.0867,0
2024-04-22,CA,101.185,0.0576,0
2024-04-22,TX,103.04,0.0674,0
2024-04-22,FL,102.715,0.0776,0
2024-04-22,NY,102.186,0.0796,0
2024-04-29,CA,103.074,0.061,0
2024-04-29,TX,101.696,0.0674,0
2024-04-29,FL,102.778,0.0691,0
2024-04-29,NY,102.721,0.0606,0
2024-05-06,CA,103.017,0.0562,1
2024-05-06,TX,102.936,0.0619,1
2024-05-06,FL,103.232,0.0741,1
2024-05-06,NY,103.523,0.0714,1
2024-05-13,CA,101.581,0.0918,0
2024-05-13,TX,103.577,0.0824,0
2024-05-13,FL,101.954,0.0912,0
2024-05-13,NY,103.242,0.0637,0
2024-05-20,CA,103.087,0.0859,0
2024-05-20,TX,101.973,0.0969,0
2024-05-20,FL,102.46,0.0718,0
2024-05-20,NY,101.707,0.0837,0
2024-05-27,CA,102.868,0.0823,0
2024-05-27,TX,102.704,0.0775,0
2024-05-27,FL,102.247,0.0843,0
2024-05-27,NY,101.4,0.0999,0
2024-06-03,CA,101.187,0.1185,0
2024-06-03,TX,103.186,0.0927,0
2024-06-03,FL,102.056,0.1009,0
2024-06-03,NY,102.269,0.1159,0
2024-06-10,CA,102.01,0.1331,0
2024-06-10,TX,101.074,0.1239,0
2024-06-10,FL,102.755,0.1175,0
2024-06-10,NY,101.519,0.1391,0
2024-06-17,CA,100.615,0.1146,0
2024-06-17,TX,102.226,0.1201,0
2024-06-17,FL,102.201,0.1484,0
2024-06-17,NY,102.715,0.1473,0
2024-06-24,CA,100.829,0.1328,0
2024-06-24,TX,100.856,0.1312,0
2024-06-24,FL,101.368,0.1498,0
2024-06-24,NY,102.195,0.1239,0
2024-07-01,CA,102.28,0.1673,0
2024-07-01,TX,100.694,0.1656,0
2024-07-01,FL,101.387,0.1413,0
2024-07-01,NY,102.277,0.1373,0
2024-07-08,CA,101.295,0.1531,0
2024-07-08,TX,101.689,0.1447,0
2024-07-08,FL,101.974,0.1734,0
2024-07-08,NY,101.056,0.1641,0
2024-07-15,CA,101.604,0.1689,0
2024-07-15,TX,101.274,0.1543,0
2024-07-15,FL,100.911,0.1653,0
2024-07-15,NY,100.029,0.153,0
2024-07-22,CA,100.867,0.1814,0
2024-07-22,TX,99.424,0.1584,0
2024-07-22,FL,100.176,0.1708,0
2024-07-22,NY,101.143,0.1546,0
2024-07-29,CA,99.343,0.1672,0
2024-07-29,TX,99.45,0.1571,0
2024-07-29,FL,100.109,0.1757,0
2024-07-29,NY,101.194,0.1635,0
2024-08-05,CA,100.628,0.1617,1
2024-08-05,TX,99.179,0.1593,1
2024-08-05,FL,98.997,0.1849,1
2024-08-05,NY,99.652,0.1555,1
2024-08-12,CA,99.526,0.1679,0
2024-08-12,TX,99.437,0.1787,0
2024-08-12,FL,100.837,0.1552,0
2024-08-12,NY,98.592,0.1744,0
2024-08-19,CA,100.259,0.1358,0
2024-08-19,TX,99.759,0.1537,0
2024-08-19,FL,99.404,0.1436,0
2024-08-19,NY,100.549,0.1477,0
2024-08-26,CA,98.919,0.1325,0
2024-08-26,TX,98.945,0.1328,0
2024-08-26,FL,98.92,0.1466,0
2024-08-26,NY,99.795,0.1558,0
2024-09-02,CA,97.759,0.1388,0
2024-09-02,TX,99.748,0.1353,0
2024-09-02,FL,98.128,0.1171,0
2024-09-02,NY,99.409,0.1166,0
2024-09-09,CA,97.58,0.112,0
2024-09-09,TX,98.544,0.1131,0
2024-09-09,FL,99.374,0.1268,0
2024-09-09,NY,97.637,0.1008,0
2024-09-16,CA,97.397,0.1138,0
2024-09-16,TX,98.774,0.1123,0
2024-09-16,FL,98.584,0.1128,0
2024-09-16,NY,97.467,0.0896,0
2024-09-23,CA,99.322,0.0987,0
2024-09-23,TX,97.404,0.0828,0
2024-09-23,FL,97.244,0.1165,0
2024-09-23,NY,97.314,0.1031,0
2024-09-30,CA,96.866,0.0965,0
2024-09-30,TX,99.175,0.087,0
2024-09-30,FL,97.541,0.1033,0
2024-09-30,NY,99.016,0.0936,0
2024-10-07,CA,96.881,0.0669,0
2024-10-07,TX,97.214,0.0767,0
2024-10-07,FL,97.514,0.0749,0
2024-10-07,NY,98.769,0.064,0
2024-10-14,CA,96.651,0.0631,0
2024-10-14,TX,98.343,0.0749,0
2024-10-14,FL,98.02,0.0826,0
2024-10-14,NY,98.734,0.0807,0
2024-10-21,CA,98.69,0.0815,0
2024-10-21,TX,96.712,0.068,0
2024-10-21,FL,96.586,0.0631,0
2024-10-21,NY,97.204,0.086,0
2024-10-28,CA,97.175,0.0822,0
2024-10-28,TX,96.608,0.0624,0
2024-10-28,FL,96.482,0.0882,0
2024-10-28,NY,96.619,0.0864,0
2024-11-04,CA,97.189,0.0773,1
2024-11-04,TX,97.781,0.0807,1
2024-11-04,FL,97.825,0.0888,1
2024-11-04,NY,98.175,0.0915,1
2024-11-11,CA,97.84,0.0813,0
2024-11-11,TX,96.924,0.0884,0
2024-11-11,FL,97.632,0.0983,0
2024-11-11,NY,97.49,0.0716,0
2024-11-18,CA,98.581,0.0863,1
2024-11-18,TX,96.906,0.0951,1
2024-11-18,FL,98.833,0.0743,1
2024-11-18,NY,96.71,0.0915,1
2024-11-25,CA,98.815,0.0823,1
2024-11-25,TX,97.491,0.0978,1
2024-11-25,FL,98.797,0.0911,1
2024-11-25,NY,96.655,0.0919,1
2024-12-02,CA,98.896,0.1222,0
2024-12-02,TX,98.836,0.0987,0
2024-12-02,FL,98.461,0.1108,0
2024-12-02,NY,97.302,0.098,0
2024-12-09,CA,99.058,0.1008,0
2024-12-09,TX,97.271,0.1028,0
2024-12-09,FL,97.759,0.124,0
2024-12-09,NY,96.996,0.1099,0
2024-12-16,CA,98.542,0.1203,0
2024-12-16,TX,99.311,0.116,0
2024-12-16,FL,98.268,0.127,0
2024-12-16,NY,97.918,0.1414,0
2024-12-23,CA,98.785,0.147,0
2024-12-23,TX,98.026,0.1393,0
2024-12-23,FL,99.137,0.15,0
2024-12-23,NY,99.243,0.1444,0
2024-12-30,CA,99.747,0.1402,0
2024-12-30,TX,97.973,0.1379,0
2024-12-30,FL,97.58,0.1443,0
2024-12-30,NY,99.807,0.1528,0
2025-01-06,CA,99.263,0.161,0
2025-01-06,TX,97.762,0.1697,0
2025-01-06,FL,98.535,0.1769,0
2025-01-06,NY,98.503,0.1696,0
2025-01-13,CA,100.272,0.1849,0
2025-01-13,TX,98.384,0.1719,0
2025-01-13,FL,100.176,0.1726,0
2025-01-13,NY,99.866,0.1645,0
2025-01-20,CA,100.178,0.1609,0
2025-01-20,TX,98.703,0.1829,0
2025-01-20,FL,99.074,0.1501,0
2025-01-20,NY,99.077,0.1562,0
2025-01-27,CA,100.354,0.1753,0
2025-01-27,TX,99.41,0.1617,0
2025-01-27,FL,99.961,0.1614,0
2025-01-27,NY,99.237,0.1886,0
2025-02-03,CA,98.839,0.1866,1
2025-02-03,TX,99.067,0.1567,1
2025-02-03,FL,99.469,0.1536,1
2025-02-03,NY,99.201,0.1829,1
2025-02-10,CA,100.085,0.1673,0
2025-02-10,TX,100.827,0.1675,0
2025-02-10,FL,100.54,0.1705,0
2025-02-10,NY,100.047,0.1622,0
2025-02-17,CA,101.25,0.135,0
2025-02-17,TX,101.247,0.1346,0
2025-02-17,FL,101.585,0.1414,0
2025-02-17,NY,101.473,0.1667,0
2025-02-24,CA,101.774,0.1414,0
2025-02-24,TX,101.961,0.1245,0
2025-02-24,FL,101.168,0.1388,0
2025-02-24,NY,100.861,0.1474,0
2025-03-03,CA,101.573,0.1249,0
2025-03-03,TX,101.424,0.1189,0
2025-03-03,FL,101.98,0.1346,0
2025-03-03,NY,102.103,0.1175,0
2025-03-10,CA,102.464,0.127,0
2025-03-10,TX,100.701,0.1349,0
2025-03-10,FL,100.357,0.1197,0
2025-03-10,NY,101.844,0.1121,0
2025-03-17,CA,102.052,0.1017,0
2025-03-17,TX,101.048,0.0961,0
2025-03-17,FL,101.031,0.1158,0
2025-03-17,NY,102.478,0.0926,0
2025-03-24,CA,101.442,0.1092,0
2025-03-24,TX,100.805,0.0943,0
2025-03-24,FL,102.664,0.1051,0
2025-03-24,NY,101.551,0.0862,0
2025-03-31,CA,101.565,0.0855,0
2025-03-31,TX,101.549,0.0929,0
2025-03-31,FL,101.87,0.1022,0
2025-03-31,NY,101.527,0.0774,0
2025-04-07,CA,102.385,0.0892,0
2025-04-07,TX,101.595,0.0724,0
2025-04-07,FL,101.028,0.0909,0
2025-04-07,NY,101.437,0.0674,0
2025-04-14,CA,101.121,0.0666,0
2025-04-14,TX,102.874,0.0847,0
2025-04-14,FL,102.837,0.0585,0
2025-04-14,NY,101.84,0.0585,0
2025-04-21,CA,102.257,0.0673,0
2025-04-21,TX,101.853,0.09,0
2025-04-21,FL,102.7,0.0858,0
2025-04-21,NY,101.81,0.0891,0
2025-04-28,CA,101.598,0.0799,0
2025-04-28,TX,102.073,0.0847,0
2025-04-28,FL,101.515,0.0601,0
2025-04-28,NY,102.364,0.0513,0
2025-05-05,CA,102.611,0.0571,1
2025-05-05,TX,102.425,0.058,1
2025-05-05,FL,102.444,0.0878,1
2025-05-05,NY,103.188,0.064,1
2025-05-12,CA,102.187,0.0711,0
2025-05-12,TX,102.828,0.0713,0
2025-05-12,FL,101.731,0.069,0
2025-05-12,NY,101.645,0.0667,0
2025-05-19,CA,102.415,0.0726,0
2025-05-19,TX,103.055,0.1029,0
2025-05-19,FL,101.658,0.0946,0
2025-05-19,NY,101.693,0.095,0
2025-05-26,CA,101.928,0.0875,0
2025-05-26,TX,102.892,0.0897,0
2025-05-26,FL,101.072,0.0958,0
2025-05-26,NY,101.899,0.1155,0
2025-06-02,CA,102.279,0.1205,0
2025-06-02,TX,102.362,0.127,0
2025-06-02,FL,102.706,0.1006,0
2025-06-02,NY,101.491,0.0898,0
2025-06-09,CA,102.569,0.1017,0
2025-06-09,TX,101.75,0.136,0
2025-06-09,FL,102.936,0.1322,0
2025-06-09,NY,101.16,0.1021,0
2025-06-16,CA,102.253,0.1459,0
2025-06-16,TX,101.562,0.1451,0
2025-06-16,FL,100.925,0.134,0
2025-06-16,NY,101.55,0.15,0
2025-06-23,CA,100.431,0.1254,0
2025-06-23,TX,101.87,0.1421,0
2025-06-23,FL,100.73,0.1582,0
2025-06-23,NY,101.935,0.1365,0
2025-06-30,CA,100.9,0.1582,0
2025-06-30,TX,100.642,0.1561,0
2025-06-30,FL,100.169,0.1558,0
2025-06-30,NY,101.932,0.1343,0
2025-07-07,CA,101.149,0.1438,0
2025-07-07,TX,101.053,0.173,0
2025-07-07,FL,102.288,0.176,0
2025-07-07,NY,100.168,0.148,0
2025-07-14,CA,101.602,0.1765,0
2025-07-14,TX,100.777,0.1615,0
2025-07-14,FL,99.805,0.1665,0
2025-07-14,NY,101.722,0.1529,0
2025-07-21,CA,99.876,0.1591,0
2025-07-21,TX,100.688,0.1714,0
2025-07-21,FL,101.288,0.1842,0
2025-07-21,NY,101.61,0.1651,0
2025-07-28,CA,100.605,0.1882,0
2025-07-28,TX,101.069,0.1689,0
2025-07-28,FL,99.156,0.1617,0
2025-07-28,NY,99.81,0.1605,0
2025-08-04,CA,100.939,0.1643,1
2025-08-04,TX,101.066,0.154,1
2025-08-04,FL,100.789,0.1729,1
2025-08-04,NY,101.122,0.1861,1
2025-08-11,CA,98.601,0.173,0
2025-08-11,TX,100.203,0.1634,0
2025-08-11,FL,100.476,0.1695,0
2025-08-11,NY,100.179,0.174,0
2025-08-18,CA,100.625,0.1332,0
2025-08-18,TX,100.312,0.1356,0
2025-08-18,FL,99.833,0.1388,0
2025-08-18,NY,99.588,0.1466,0
2025-08-25,CA,100.028,0.1611,0
2025-08-25,TX,99.646,0.1297,0
2025-08-25,FL,98.014,0.1533,0
2025-08-25,NY,99.22,0.161,0
2025-09-01,CA,98.727,0.132,0
2025-09-01,TX,98.815,0.1481,0
2025-09-01,FL,98.122,0.1148,0
2025-09-01,NY,99.26,0.1151,0
2025-09-08,CA,99.674,0.1073,0
2025-09-08,TX,98.621,0.1378,0
2025-09-08,FL,99.806,0.1374,0
2025-09-08,NY,98.916,0.1033,0
2025-09-15,CA,99.364,0.1047,0
2025-09-15,TX,98.304,0.0982,0
2025-09-15,FL,97.587,0.0923,0
2025-09-15,NY,99.467,0.1009,0
2025-09-22,CA,98.9,0.0771,0
2025-09-22,TX,98.174,0.086,0
2025-09-22,FL,97.974,0.0871,0
2025-09-22,NY,97.064,0.0957,0
2025-09-29,CA,98.533,0.0835,0
2025-09-29,TX,97.102,0.0903,0
2025-09-29,FL,97.781,0.0669,0
2025-09-29,NY,97.51,0.1007,0
2025-10-06,CA,98.642,0.0673,0
2025-10-06,TX,98.49,0.0671,0
2025-10-06,FL,97.393,0.0654,0
2025-10-06,NY,96.991,0.0628,0
2025-10-13,CA,96.634,0.0908,0
2025-10-13,TX,98.262,0.0688,0
2025-10-13,FL,98.245,0.0931,0
2025-10-13,NY,98.135,0.0877,0
2025-10-20,CA,97.054,0.0665,0
2025-10-20,TX,97.333,0.0771,0
2025-10-20,FL,98.522,0.0674,0
2025-10-20,NY,98.808,0.0574,0
2025-10-27,CA,97.609,0.0721,0
2025-10-27,TX,97.343,0.072,0
2025-10-27,FL,97.179,0.0738,0
2025-10-27,NY,97.271,0.0771,0
2025-11-03,CA,97.007,0.08,1
2025-11-03,TX,97.469,0.0734,1
2025-11-03,FL,98.108,0.0716,1
2025-11-03,NY,97.343,0.0798,1
2025-11-10,CA,98.799,0.0829,0
2025-11-10,TX,97.466,0.0593,0
2025-11-10,FL,96.506,0.0817,0
2025-11-10,NY,98.328,0.083,0
2025-11-17,CA,96.8,0.0925,0
2025-11-17,TX,96.93,0.078,0
2025-11-17,FL,98.823,0.0998,0
2025-11-17,NY,97.041,0.1037,0
2025-11-24,CA,97.052,0.0929,1
2025-11-24,TX,96.701,0.0785,1
2025-11-24,FL,98.849,0.0936,1
2025-11-24,NY,98.608,0.0812,1
2025-12-01,CA,98.93,0.1089,0
2025-12-01,TX,98.861,0.1026,0
2025-12-01,FL,97.837,0.1095,0
2025-12-01,NY,98.095,0.0951,0
2025-12-08,CA,98.693,0.1159,0
2025-12-08,TX,98.387,0.1294,0
2025-12-08,FL,98.098,0.114,0
2025-12-08,NY,98.481,0.1352,0
2025-12-15,CA,98.588,0.1334,0
2025-12-15,TX,97.406,0.1169,0
2025-12-15,FL,99.068,0.1498,0
2025-12-15,NY,97.406,0.1344,0
2025-12-22,CA,99.604,0.1502,0
2025-12-22,TX,98.926,0.1377,0
2025-12-22,FL,98.868,0.1518,0
2025-12-22,NY,98.289,0.1429,0
2025-12-29,CA,99.677,0.1706,0
2025-12-29,TX,98.029,0.1727,0
2025-12-29,FL,97.767,0.1693,0
2025-12-29,NY,97.855,0.16,0
2026-01-05,CA,99.249,0.1479,0
