week_start_date,geo,sessions,users,organic_sessions,purchase_events
2024-02-05,CA,42583,30685,9820,1287
2024-02-05,TX,36008,28333,8525,999
2024-02-05,FL,30594,23913,7473,871
2024-02-05,NY,32131,24066,7695,913
2024-02-12,CA,41581,32346,9615,1078
2024-02-12,TX,31120,22437,7616,832
2024-02-12,FL,27343,20091,6476,665
2024-02-12,NY,27555,21288,7017,771
2024-02-19,CA,41144,32508,9733,1034
2024-02-19,TX,33857,25508,8047,878
2024-02-19,FL,30014,22730,6560,788
2024-02-19,NY,29891,21965,6814,790
2024-02-26,CA,43028,32099,10016,1118
2024-02-26,TX,33135,25711,8046,911
2024-02-26,FL,27954,21822,6856,770
2024-02-26,NY,29614,21890,7368,833
2024-03-04,CA,40585,30749,9770,1047
2024-03-04,TX,31399,24871,7793,877
2024-03-04,FL,27981,21424,7000,733
2024-03-04,NY,28431,21289,7372,796
2024-03-11,CA,38966,30348,10040,1098
2024-03-11,TX,31436,24875,8082,862
2024-03-11,FL,29336,22884,7184,721
2024-03-11,NY,30486,22566,7203,770
2024-03-18,CA,41679,31416,9106,1096
2024-03-18,TX,33553,25992,8192,904
2024-03-18,FL,29814,23387,7118,765
2024-03-18,NY,31646,23645,7266,745
2024-03-25,CA,41315,32130,9291,1085
2024-03-25,TX,35911,28232,7840,959
2024-03-25,FL,28854,20997,7163,728
2024-03-25,NY,30147,21769,6801,753
2024-04-01,CA,43832,33320,9527,1119
2024-04-01,TX,35327,27044,8261,903
2024-04-01,FL,29690,22879,7393,777
2024-04-01,NY,33001,24359,7311,832
2024-04-08,CA,42000,30528,9570,1171
2024-04-08,TX,34510,26570,8261,985
2024-04-08,FL,27912,20340,7275,746
2024-04-08,NY,31481,25117,7787,835
2024-04-15,CA,38936,30666,10331,1067
2024-04-15,TX,32666,24908,8031,988
2024-04-15,FL,29594,21831,7116,777
2024-04-15,NY,30998,22450,7062,844
2024-04-22,CA,43018,31784,9547,1068
2024-04-22,TX,36159,28661,8585,882
2024-04-22,FL,30057,22062,7278,730
2024-04-22,NY,33778,26873,7828,777
2024-04-29,CA,44510,35134,10049,1056
2024-04-29,TX,35240,25945,7908,912
2024-04-29,FL,31624,24545,7361,836
2024-04-29,NY,31532,24537,7037,803
2024-05-06,CA,47243,35113,11012,1310
2024-05-06,TX,38617,28051,9080,1053
2024-05-06,FL,32069,25261,7665,921
2024-05-06,NY,35083,27282,8703,973
2024-05-13,CA,40731,29620,10331,1112
2024-05-13,TX,31447,24174,8015,943
2024-05-13,FL,28895,21681,7408,780
2024-05-13,NY,32091,24163,7601,871
2024-05-20,CA,42172,33616,10250,1120
2024-05-20,TX,35953,28106,8773,917
2024-05-20,FL,32140,24865,7620,782
2024-05-20,NY,32677,23682,7056,790
2024-05-27,CA,43017,33251,10301,1112
2024-05-27,TX,35286,27424,8538,896
2024-05-27,FL,30120,23310,6951,809
2024-05-27,NY,31210,22594,7513,794
2024-06-03,CA,42514,32265,9767,1115
2024-06-03,TX,35268,25559,8454,913
2024-06-03,FL,30305,24140,7503,839
2024-06-03,NY,29969,23450,6975,843
2024-06-10,CA,42938,34288,9858,1177
2024-06-10,TX,34912,26823,8104,945
2024-06-10,FL,30930,24426,7320,814
2024-06-10,NY,33165,26310,7396,837
2024-06-17,CA,42515,32200,9453,1156
2024-06-17,TX,34931,27427,7937,940
2024-06-17,FL,30812,23779,7070,776
2024-06-17,NY,28445,22311,7008,758
2024-06-24,CA,44256,34051,10546,1148
2024-06-24,TX,36637,27092,8236,941
2024-06-24,FL,30592,24075,7208,787
2024-06-24,NY,31634,25058,7331,800
2024-07-01,CA,43405,33369,9956,1021
2024-07-01,TX,34563,26989,8768,845
2024-07-01,FL,30735,24557,7093,809
2024-07-01,NY,28927,23007,7052,776
2024-07-08,CA,43657,31727,10032,1066
2024-07-08,TX,34236,26598,7701,892
2024-07-08,FL,28636,21193,7314,754
2024-07-08,NY,31128,22615,7392,766
2024-07-15,CA,41840,30404,10278,1035
2024-07-15,TX,38638,30100,8547,961
2024-07-15,FL,27528,21116,6754,679
2024-07-15,NY,30508,24212,6755,848
2024-07-22,CA,39077,28408,9230,1035
2024-07-22,TX,34293,25097,8474,904
2024-07-22,FL,28342,22263,7010,737
2024-07-22,NY,30483,23254,7305,754
2024-07-29,CA,41415,33019,9566,1091
2024-07-29,TX,33597,26629,7653,945
2024-07-29,FL,29702,22033,7176,854
2024-07-29,NY,32429,23547,7430,772
2024-08-05,CA,50574,39208,11182,1461
2024-08-05,TX,40690,30611,10286,1180
2024-08-05,FL,34660,26323,8511,946
2024-08-05,NY,38889,29485,8697,1097
2024-08-12,CA,47129,34558,9969,1185
2024-08-12,TX,37232,28418,9068,934
2024-08-12,FL,31080,23081,7646,842
2024-08-12,NY,34137,25037,7719,908
2024-08-19,CA,47738,35319,10641,1132
2024-08-19,TX,37069,27677,8993,942
2024-08-19,FL,33676,26239,7491,825
2024-08-19,NY,31551,24432,7869,880
2024-08-26,CA,46615,34151,10717,1215
2024-08-26,TX,39551,30924,9066,986
2024-08-26,FL,32727,26120,7450,819
2024-08-26,NY,31003,22810,7751,847
2024-09-02,CA,41842,33133,10729,1136
2024-09-02,TX,33320,24432,8292,955
2024-09-02,FL,31508,24225,7205,790
2024-09-02,NY,33192,26152,7806,893
2024-09-09,CA,45156,32569,10641,1073
2024-09-09,TX,34832,25421,8328,1006
2024-09-09,FL,31488,23949,7405,836
2024-09-09,NY,30716,22309,7561,793
2024-09-16,CA,42467,32602,10839,1164
2024-09-16,TX,34487,27203,8137,947
2024-09-16,FL,28426,22285,7030,780
2024-09-16,NY,32222,24052,7476,822
2024-09-23,CA,42658,31159,10460,1117
2024-09-23,TX,34106,26662,8469,877
2024-09-23,FL,29651,22017,7053,795
2024-09-23,NY,31792,23852,7779,854
2024-09-30,CA,40440,29336,9939,1081
2024-09-30,TX,33024,24643,7974,856
2024-09-30,FL,30207,22795,7091,813
2024-09-30,NY,31519,24318,7743,782
2024-10-07,CA,38006,27785,9043,979
2024-10-07,TX,32540,24772,7199,793
2024-10-07,FL,25921,19273,6559,671
2024-10-07,NY,28772,21618,6736,796
2024-10-14,CA,40132,30558,8755,1060
2024-10-14,TX,34144,24586,7856,789
2024-10-14,FL,27382,21006,6620,717
2024-10-14,NY,27617,20023,6858,718
2024-10-21,CA,37165,27994,8891,947
2024-10-21,TX,30494,22199,7362,852
2024-10-21,FL,26917,19971,6643,677
2024-10-21,NY,28043,21022,6289,779
2024-10-28,CA,36460,26550,8948,1011
2024-10-28,TX,33110,25427,7370,864
2024-10-28,FL,28159,20639,6509,724
2024-10-28,NY,28075,21815,6970,732
2024-11-04,CA,51375,37503,13173,1486
2024-11-04,TX,45744,34319,11129,1323
2024-11-04,FL,37623,28615,9204,1089
2024-11-04,NY,40593,29547,9219,1122
2024-11-11,CA,47128,34923,10997,1329
2024-11-11,TX,42572,30805,10097,1060
2024-11-11,FL,37035,27438,7963,960
2024-11-11,NY,37978,28715,7941,930
2024-11-18,CA,53491,41838,12617,1422
2024-11-18,TX,42156,31259,10231,1256
2024-11-18,FL,39329,31322,8873,1109
2024-11-18,NY,38875,28211,9138,1180
2024-11-25,CA,52684,41688,12618,1586
2024-11-25,TX,43021,33124,10317,1271
2024-11-25,FL,36745,28269,9186,1043
2024-11-25,NY,37662,27900,9336,1069
2024-12-02,CA,51331,38980,12655,1396
2024-12-02,TX,43170,33789,9899,1204
2024-12-02,FL,34965,27025,9020,963
2024-12-02,NY,42153,31385,9798,1115
2024-12-09,CA,53704,42292,12211,1452
2024-12-09,TX,44131,31922,9941,1141
2024-12-09,FL,36381,26903,8595,921
2024-12-09,NY,36178,27190,8830,1044
2024-12-16,CA,52350,40412,12188,1354
2024-12-16,TX,40775,31355,10771,1114
2024-12-16,FL,39460,29021,9247,995
2024-12-16,NY,40641,31479,9862,1033
2024-12-23,CA,53767,40265,12784,1336
2024-12-23,TX,44988,34355,10849,1198
2024-12-23,FL,39716,31504,8888,1049
2024-12-23,NY,38018,28914,9899,1057
2024-12-30,CA,53244,39038,13140,1365
2024-12-30,TX,45312,34602,10314,1173
2024-12-30,FL,37416,28901,9376,967
2024-12-30,NY,41531,30475,9445,1070
2025-01-06,CA,38997,31178,9137,1090
2025-01-06,TX,33372,25483,7797,852
2025-01-06,FL,27606,20965,6814,802
2025-01-06,NY,31341,23238,7436,810
2025-01-13,CA,42183,31141,9978,1119
2025-01-13,TX,35120,26715,8317,906
2025-01-13,FL,27001,20962,6431,722
2025-01-13,NY,31604,24009,6891,879
2025-01-20,CA,39698,29708,9741,1013
2025-01-20,TX,34517,25119,8186,937
