date,geo,campaign,channel,impressions,clicks,cost,ctr,cpc
2024-02-05,CA,Search | Brand,paid_search,26063,2195,160.19,0.084219,0.073
2024-02-06,CA,Search | Brand,paid_search,29658,2862,150.56,0.0965,0.0526
2024-02-07,CA,Search | Brand,paid_search,25677,2009,162.78,0.078241,0.081
2024-02-08,CA,Search | Brand,paid_search,27370,2562,163.42,0.093606,0.0638
2024-02-09,CA,Search | Brand,paid_search,23959,2744,160.09,0.114529,0.0583
2024-02-10,CA,Search | Brand,paid_search,27457,2283,159.5,0.083148,0.0699
2024-02-11,CA,Search | Brand,paid_search,33515,1869,166.94,0.055766,0.0893
2024-02-05,CA,Search | Nonbrand,paid_search,31477,967,276.54,0.030721,0.286
2024-02-06,CA,Search | Nonbrand,paid_search,24334,1160,235.94,0.04767,0.2034
2024-02-07,CA,Search | Nonbrand,paid_search,24745,991,206.03,0.040048,0.2079
2024-02-08,CA,Search | Nonbrand,paid_search,27952,1267,263.27,0.045328,0.2078
2024-02-09,CA,Search | Nonbrand,paid_search,24209,1200,191.06,0.049568,0.1592
2024-02-10,CA,Search | Nonbrand,paid_search,30566,1010,198.93,0.033043,0.197
2024-02-11,CA,Search | Nonbrand,paid_search,26372,1242,259.27,0.047095,0.2088
2024-02-05,CA,Shopping | Instruments,shopping,26603,706,209.04,0.026538,0.2961
2024-02-06,CA,Shopping | Instruments,shopping,23338,731,203.08,0.031322,0.2778
2024-02-07,CA,Shopping | Instruments,shopping,30276,784,162.35,0.025895,0.2071
2024-02-08,CA,Shopping | Instruments,shopping,23797,932,165.8,0.039165,0.1779
2024-02-09,CA,Shopping | Instruments,shopping,26200,693,154.71,0.02645,0.2232
2024-02-10,CA,Shopping | Instruments,shopping,22803,770,234.74,0.033767,0.3049
2024-02-11,CA,Shopping | Instruments,shopping,27785,844,172.05,0.030376,0.2039
2024-02-05,TX,Search | Brand,paid_search,25482,1748,143.26,0.068597,0.082
2024-02-06,TX,Search | Brand,paid_search,21072,1659,104.46,0.07873,0.063
2024-02-07,TX,Search | Brand,paid_search,18610,1949,124.5,0.104729,0.0639
2024-02-08,TX,Search | Brand,paid_search,22637,1695,161.16,0.074877,0.0951
2024-02-09,TX,Search | Brand,paid_search,25170,2027,113.02,0.080532,0.0558
2024-02-10,TX,Search | Brand,paid_search,27049,2093,137.35,0.077378,0.0656
2024-02-11,TX,Search | Brand,paid_search,21734,2118,154.43,0.097451,0.0729
2024-02-05,TX,Search | Nonbrand,paid_search,27508,858,209.22,0.031191,0.2438
2024-02-06,TX,Search | Nonbrand,paid_search,20520,787,147.39,0.038353,0.1873
2024-02-07,TX,Search | Nonbrand,paid_search,24086,1083,183.68,0.044964,0.1696
2024-02-08,TX,Search | Nonbrand,paid_search,22349,944,182.02,0.042239,0.1928
2024-02-09,TX,Search | Nonbrand,paid_search,21792,776,209.92,0.035609,0.2705
2024-02-10,TX,Search | Nonbrand,paid_search,19665,1108,206.87,0.056344,0.1867
2024-02-11,TX,Search | Nonbrand,paid_search,21213,1030,212.23,0.048555,0.2061
2024-02-05,TX,Shopping | Instruments,shopping,31283,812,167.27,0.025957,0.206
2024-02-06,TX,Shopping | Instruments,shopping,21556,816,156.2,0.037855,0.1914
2024-02-07,TX,Shopping | Instruments,shopping,27198,754,174.76,0.027723,0.2318
2024-02-08,TX,Shopping | Instruments,shopping,22279,820,195.99,0.036806,0.239
2024-02-09,TX,Shopping | Instruments,shopping,20701,673,166.62,0.032511,0.2476
2024-02-10,TX,Shopping | Instruments,shopping,29942,827,158.84,0.02762,0.1921
2024-02-11,TX,Shopping | Instruments,shopping,21921,793,239.47,0.036175,0.302
2024-02-05,FL,Search | Brand,paid_search,19699,1651,84.21,0.083811,0.051
2024-02-06,FL,Search | Brand,paid_search,16151,1568,116.71,0.097084,0.0744
2024-02-07,FL,Search | Brand,paid_search,19652,1383,90.0,0.070375,0.0651
2024-02-08,FL,Search | Brand,paid_search,20302,1632,103.38,0.080386,0.0633
2024-02-09,FL,Search | Brand,paid_search,16596,1133,87.18,0.068269,0.0769
2024-02-10,FL,Search | Brand,paid_search,17116,1466,119.14,0.085651,0.0813
2024-02-11,FL,Search | Brand,paid_search,14674,1569,119.69,0.106924,0.0763
2024-02-05,FL,Search | Nonbrand,paid_search,21838,822,189.57,0.037641,0.2306
2024-02-06,FL,Search | Nonbrand,paid_search,20489,1063,166.55,0.051881,0.1567
2024-02-07,FL,Search | Nonbrand,paid_search,21090,955,177.95,0.045282,0.1863
2024-02-08,FL,Search | Nonbrand,paid_search,21895,1094,152.07,0.049966,0.139
2024-02-09,FL,Search | Nonbrand,paid_search,18221,1040,221.61,0.057077,0.2131
2024-02-10,FL,Search | Nonbrand,paid_search,20602,892,213.87,0.043297,0.2398
2024-02-11,FL,Search | Nonbrand,paid_search,25939,800,169.02,0.030842,0.2113
2024-02-05,FL,Shopping | Instruments,shopping,20976,646,129.66,0.030797,0.2007
2024-02-06,FL,Shopping | Instruments,shopping,18282,612,128.74,0.033476,0.2104
2024-02-07,FL,Shopping | Instruments,shopping,14433,635,123.7,0.043996,0.1948
2024-02-08,FL,Shopping | Instruments,shopping,14196,635,129.93,0.044731,0.2046
2024-02-09,FL,Shopping | Instruments,shopping,17010,535,116.21,0.031452,0.2172
2024-02-10,FL,Shopping | Instruments,shopping,21482,595,113.11,0.027698,0.1901
2024-02-11,FL,Shopping | Instruments,shopping,15774,488,138.14,0.030937,0.2831
2024-02-05,NY,Search | Brand,paid_search,19870,1678,133.35,0.084449,0.0795
2024-02-06,NY,Search | Brand,paid_search,18138,1798,120.22,0.099129,0.0669
2024-02-07,NY,Search | Brand,paid_search,23445,1521,99.22,0.064875,0.0652
