week_start,geo,orders,net_revenue,average_order_value
2024-02-05,CA,1276,366590.1,287.3
2024-02-05,TX,1016,284375.21,279.9
2024-02-05,FL,861,247378.43,287.32
2024-02-05,NY,929,260735.84,280.66
2024-02-12,CA,1066,302464.14,283.74
2024-02-12,TX,819,237523.34,290.02
2024-02-12,FL,691,197695.65,286.1
2024-02-12,NY,746,216237.35,289.86
2024-02-19,CA,1056,299653.49,283.76
2024-02-19,TX,881,249194.03,282.85
2024-02-19,FL,785,227487.35,289.79
2024-02-19,NY,807,229252.57,284.08
2024-02-26,CA,1079,319336.96,295.96
2024-02-26,TX,887,260025.77,293.15
2024-02-26,FL,757,214284.74,283.07
2024-02-26,NY,812,231014.7,284.5
2024-03-04,CA,1031,305099.67,295.93
2024-03-04,TX,912,271139.0,297.3
2024-03-04,FL,733,214729.57,292.95
2024-03-04,NY,788,227627.43,288.87
2024-03-11,CA,1091,318140.18,291.6
2024-03-11,TX,881,262779.25,298.27
2024-03-11,FL,741,212021.57,286.13
2024-03-11,NY,780,223793.7,286.92
2024-03-18,CA,1088,324161.25,297.94
2024-03-18,TX,880,260714.66,296.27
2024-03-18,FL,781,223402.61,286.05
2024-03-18,NY,767,230022.27,299.9
2024-03-25,CA,1058,321656.7,304.02
2024-03-25,TX,964,283232.08,293.81
2024-03-25,FL,740,217473.91,293.88
2024-03-25,NY,757,225457.67,297.83
2024-04-01,CA,1102,319457.02,289.89
2024-04-01,TX,888,268426.9,302.28
2024-04-01,FL,761,226611.51,297.78
2024-04-01,NY,805,243808.67,302.87
2024-04-08,CA,1141,341392.9,299.2
2024-04-08,TX,953,280340.24,294.17
2024-04-08,FL,741,211952.58,286.04
2024-04-08,NY,850,250966.24,295.25
2024-04-15,CA,1074,310970.42,289.54
2024-04-15,TX,974,278506.68,285.94
2024-04-15,FL,757,219680.27,290.2
2024-04-15,NY,826,236719.29,286.59
2024-04-22,CA,1100,325327.62,295.75
2024-04-22,TX,875,250043.71,285.76
2024-04-22,FL,731,211289.61,289.04
2024-04-22,NY,808,240801.45,298.02
2024-04-29,CA,1066,308978.17,289.85
2024-04-29,TX,934,268485.34,287.46
2024-04-29,FL,817,238105.68,291.44
2024-04-29,NY,808,234655.0,290.41
2024-05-06,CA,1357,380623.25,280.49
2024-05-06,TX,1095,313609.55,286.4
2024-05-06,FL,926,270194.35,291.79
2024-05-06,NY,985,286704.43,291.07
2024-05-13,CA,1154,325295.46,281.89
2024-05-13,TX,931,271415.85,291.53
2024-05-13,FL,754,213953.31,283.76
2024-05-13,NY,883,258759.55,293.05
2024-05-20,CA,1120,314242.97,280.57
2024-05-20,TX,940,273895.9,291.38
2024-05-20,FL,779,220073.49,282.51
2024-05-20,NY,809,234890.38,290.35
2024-05-27,CA,1125,316280.37,281.14
2024-05-27,TX,920,266069.16,289.21
2024-05-27,FL,807,229470.7,284.35
2024-05-27,NY,800,226104.34,282.63
2024-06-03,CA,1103,301597.28,273.43
2024-06-03,TX,934,257565.0,275.77
2024-06-03,FL,814,222560.04,273.42
2024-06-03,NY,811,229481.46,282.96
2024-06-10,CA,1157,320034.8,276.61
2024-06-10,TX,969,280898.76,289.89
2024-06-10,FL,808,223723.35,276.89
2024-06-10,NY,831,234001.27,281.59
2024-06-17,CA,1122,317904.64,283.34
2024-06-17,TX,949,260231.63,274.22
2024-06-17,FL,752,209647.47,278.79
2024-06-17,NY,762,214572.12,281.59
2024-06-24,CA,1117,321890.5,288.17
2024-06-24,TX,925,261512.06,282.72
2024-06-24,FL,802,219982.41,274.29
2024-06-24,NY,791,219398.62,277.37
2024-07-01,CA,1063,290278.38,273.07
2024-07-01,TX,851,243917.85,286.62
2024-07-01,FL,800,221919.94,277.4
2024-07-01,NY,803,223130.54,277.87
2024-07-08,CA,1042,291130.53,279.4
2024-07-08,TX,915,261504.58,285.8
2024-07-08,FL,771,215161.84,279.07
2024-07-08,NY,792,227693.37,287.49
2024-07-15,CA,1071,309833.86,289.29
2024-07-15,TX,931,270250.91,290.28
2024-07-15,FL,687,193391.37,281.5
2024-07-15,NY,840,230600.43,274.52
2024-07-22,CA,1034,291259.62,281.68
2024-07-22,TX,877,244142.41,278.38
2024-07-22,FL,728,211678.32,290.77
2024-07-22,NY,771,216560.19,280.88
2024-07-29,CA,1091,321119.65,294.34
2024-07-29,TX,948,275459.56,290.57
2024-07-29,FL,841,239279.38,284.52
2024-07-29,NY,804,233536.53,290.47
2024-08-05,CA,1444,424370.08,293.89
2024-08-05,TX,1139,323273.42,283.82
