time,geo,kpi_orders,kpi_revenue,revenue_per_kpi,population,paid_search_impressions,paid_search_spend,shopping_impressions,shopping_spend,paid_social_impressions,paid_social_spend,organic_sessions,consumer_sentiment_index,competitor_discount_index,music_center_promo
2024-02-05,CA,1276,366590.1,287.3,39000000,383354,2754.49,180801,1301.77,262640,2973.26,9820,100.766,0.1859,1
2024-02-05,TX,1016,284375.21,279.9,30500000,318886,2289.51,174881,1259.14,212881,2406.37,8525,100.247,0.1791,1
2024-02-05,FL,861,247378.43,287.32,22900000,274265,2010.94,122152,879.49,179295,2025.9,7473,100.729,0.1607,1
2024-02-05,NY,929,260735.84,280.66,19600000,293012,2121.71,129056,929.2,199831,2251.54,7695,100.357,0.1508,1
2024-02-12,CA,1066,302464.14,283.74,39000000,353407,2557.16,164215,1182.35,249768,2817.81,9615,100.862,0.1722,0
2024-02-12,TX,819,237523.34,290.02,30500000,284020,2072.37,130085,936.61,196186,2213.79,7616,101.295,0.1564,0
2024-02-12,FL,691,197695.65,286.1,22900000,251597,1819.85,122501,882.01,178833,2018.11,6476,99.868,0.1475,0
2024-02-12,NY,746,216237.35,289.86,19600000,256590,1865.02,120929,870.69,171033,1937.6,7017,99.965,0.1462,0
2024-02-19,CA,1056,299653.49,283.76,39000000,380688,2776.75,194046,1397.13,253412,2845.54,9733,99.863,0.1648,0
2024-02-19,TX,881,249194.03,282.85,30500000,294750,2190.72,157914,1136.98,222197,2499.55,8047,100.269,0.1638,0
2024-02-19,FL,785,227487.35,289.79,22900000,263665,1901.27,121767,876.72,172986,1959.76,6560,100.185,0.1502,0
2024-02-19,NY,807,229252.57,284.08,19600000,281114,2039.73,121173,872.45,173180,1949.06,6814,99.408,0.1548,0
2024-02-26,CA,1079,319336.96,295.96,39000000,375472,2706.26,200373,1442.69,256831,2887.41,10016,100.005,0.1408,0
2024-02-26,TX,887,260025.77,293.15,30500000,300166,2204.39,134227,966.43,209361,2360.42,8046,101.198,0.1259,0
2024-02-26,FL,757,214284.74,283.07,22900000,225382,1634.86,139070,1001.3,170287,1916.91,6856,100.064,0.1491,0
2024-02-26,NY,812,231014.7,284.5,19600000,243574,1783.46,117941,849.17,189976,2143.47,7368,100.901,0.1275,0
2024-03-04,CA,1031,305099.67,295.93,39000000,362449,2593.05,162631,1170.94,242438,2740.49,9770,100.203,0.1325,0
2024-03-04,TX,912,271139.0,297.3,30500000,276455,2011.59,168544,1213.52,218558,2456.56,7793,101.458,0.1332,0
2024-03-04,FL,733,214729.57,292.95,22900000,231097,1686.34,131727,948.43,180853,2033.23,7000,100.296,0.1299,0
2024-03-04,NY,788,227627.43,288.87,19600000,267184,1983.39,126730,912.46,191691,2166.49,7372,102.068,0.13,0
2024-03-11,CA,1091,318140.18,291.6,39000000,336503,2419.42,174495,1256.36,252203,2844.12,10040,102.553,0.1243,0
2024-03-11,TX,881,262779.25,298.27,30500000,292931,2155.52,135525,975.78,216581,2440.22,8082,102.313,0.1399,0
2024-03-11,FL,741,212021.57,286.13,22900000,239069,1749.27,135791,977.7,179203,2024.0,7184,102.119,0.1392,0
2024-03-11,NY,780,223793.7,286.92,19600000,260984,1860.12,143663,1034.37,194591,2187.74,7203,101.466,0.1047,0
2024-03-18,CA,1088,324161.25,297.94,39000000,379493,2751.46,182886,1316.78,243404,2744.12,9106,100.417,0.1252,0
2024-03-18,TX,880,260714.66,296.27,30500000,297671,2198.72,168947,1216.42,194659,2194.25,8192,100.644,0.1044,0
2024-03-18,FL,781,223402.61,286.05,22900000,259678,1851.76,121997,878.38,179021,2020.43,7118,101.563,0.1127,0
2024-03-18,NY,767,230022.27,299.9,19600000,259761,1859.32,147568,1062.49,182382,2062.28,7266,102.422,0.1196,0
2024-03-25,CA,1058,321656.7,304.02,39000000,379167,2786.66,197371,1421.07,257254,2894.36,9291,102.078,0.0918,0
2024-03-25,TX,964,283232.08,293.81,30500000,324993,2366.14,163168,1174.81,199850,2255.82,7840,101.636,0.0915,0
2024-03-25,FL,740,217473.91,293.88,22900000,255387,1881.71,125823,905.93,178521,2015.58,7163,102.989,0.1027,0
2024-03-25,NY,757,225457.67,297.83,19600000,247074,1785.32,143908,1036.14,201050,2256.39,6801,101.032,0.1083,0
2024-04-01,CA,1102,319457.02,289.89,39000000,352042,2534.93,208942,1504.38,254383,2874.94,9527,100.861,0.0974,0
2024-04-01,TX,888,268426.9,302.28,30500000,307570,2232.69,147433,1061.52,201906,2276.59,8261,102.512,0.1063,0
2024-04-01,FL,761,226611.51,297.78,22900000,249332,1832.17,139209,1002.3,182776,2060.99,7393,102.498,0.0854,0
2024-04-01,NY,805,243808.67,302.87,19600000,300800,2179.98,134518,968.53,206937,2328.7,7311,102.811,0.078,0
2024-04-08,CA,1141,341392.9,299.2,39000000,386928,2784.8,203427,1464.67,284630,3215.25,9570,101.912,0.0713,0
2024-04-08,TX,953,280340.24,294.17,30500000,314076,2300.45,151017,1087.32,207341,2343.98,8261,102.083,0.0715,0
2024-04-08,FL,741,211952.58,286.04,22900000,254228,1874.34,126430,910.3,184854,2084.07,7275,102.282,0.0618,0
2024-04-08,NY,850,250966.24,295.25,19600000,270766,1929.98,136297,981.34,195775,2206.76,7787,102.241,0.0944,0
2024-04-15,CA,1074,310970.42,289.54,39000000,351248,2581.99,201282,1449.23,238370,2692.3,10331,102.099,0.0847,0
2024-04-15,TX,974,278506.68,285.94,30500000,295467,2128.49,152842,1100.47,201978,2282.99,8031,102.385,0.0828,0
2024-04-15,FL,757,219680.27,290.2,22900000,256640,1878.94,147233,1060.08,182922,2057.43,7116,102.204,0.0723,0
2024-04-15,NY,826,236719.29,286.59,19600000,258602,1858.96,134717,969.96,193162,2177.38,7062,102.156,0.0867,0
2024-04-22,CA,1100,325327.62,295.75,39000000,371834,2668.15,180041,1296.29,262435,2961.57,9547,101.185,0.0576,0
2024-04-22,TX,875,250043.71,285.76,30500000,342858,2484.31,140484,1011.48,216519,2449.88,8585,103.04,0.0674,0
2024-04-22,FL,731,211289.61,289.04,22900000,256288,1875.65,138704,998.67,195957,2211.38,7278,102.715,0.0776,0
2024-04-22,NY,808,240801.45,298.02,19600000,283042,2053.96,155312,1118.24,216421,2438.22,7828,102.186,0.0796,0
2024-04-29,CA,1066,308978.17,289.85,39000000,366006,2669.21,201172,1448.44,268881,3023.39,10049,103.074,0.061,0
2024-04-29,TX,934,268485.34,287.46,30500000,329553,2417.26,144950,1043.64,220982,2491.42,7908,101.696,0.0674,0
2024-04-29,FL,817,238105.68,291.44,22900000,270499,1970.99,138241,995.33,185331,2095.63,7361,102.778,0.0691,0
2024-04-29,NY,808,234655.0,290.41,19600000,269892,1929.37,157088,1131.03,196861,2227.97,7037,102.721,0.0606,0
2024-05-06,CA,1357,380623.25,280.49,39000000,419424,3079.83,223704,1610.67,292315,3283.57,11012,103.017,0.0562,1
2024-05-06,TX,1095,313609.55,286.4,30500000,343508,2525.05,176962,1274.13,257449,2901.14,9080,102.936,0.0619,1
2024-05-06,FL,926,270194.35,291.79,22900000,281278,2074.04,152646,1099.05,209981,2372.95,7665,103.232,0.0741,1
2024-05-06,NY,985,286704.43,291.07,19600000,300271,2212.36,160129,1152.93,216947,2444.59,8703,103.523,0.0714,1
2024-05-13,CA,1154,325295.46,281.89,39000000,396314,2883.94,181068,1303.69,269215,3031.51,10331,101.581,0.0918,0
2024-05-13,TX,931,271415.85,291.53,30500000,282353,2051.85,155339,1118.44,219465,2468.33,8015,103.577,0.0824,0
2024-05-13,FL,754,213953.31,283.76,22900000,245742,1776.58,121494,874.75,195373,2206.93,7408,101.954,0.0912,0
2024-05-13,NY,883,258759.55,293.05,19600000,295365,2126.16,141590,1019.45,187531,2116.45,7601,103.242,0.0637,0
