week_start,geo,campaign_name,product_group,impressions,clicks,cost,attributed_sales,roas
2023-03-06,Northeast,SP | Running Shoes,Footwear | Road,20143,547,362.58,1162.34,3.206
2023-03-06,Northeast,SP | Running Shoes,Footwear | Trail,12346,335,222.23,712.4,3.206
2023-03-06,Northeast,SP | Apparel,Apparel | Outerwear,18362,530,302.97,819.49,2.705
2023-03-06,Northeast,SP | Apparel,Apparel | Layers,15023,434,247.88,670.49,2.705
2023-03-06,MA,SP | Running Shoes,Footwear | Road,22379,599,402.83,1485.77,3.688
2023-03-06,MA,SP | Running Shoes,Footwear | Trail,13716,367,246.9,910.63,3.688
2023-03-06,MA,SP | Apparel,Apparel | Outerwear,16282,456,268.65,736.83,2.743
2023-03-06,MA,SP | Apparel,Apparel | Layers,13321,373,219.8,602.86,2.743
2023-03-06,SE,SP | Running Shoes,Footwear | Road,19678,539,354.2,937.59,2.647
2023-03-06,SE,SP | Running Shoes,Footwear | Trail,12060,330,217.09,574.65,2.647
2023-03-06,SE,SP | Apparel,Apparel | Outerwear,12914,370,213.08,767.79,3.603
2023-03-06,SE,SP | Apparel,Apparel | Layers,10566,303,174.34,628.19,3.603
2023-03-06,MW,SP | Running Shoes,Footwear | Road,20974,594,377.54,1174.72,3.112
2023-03-06,MW,SP | Running Shoes,Footwear | Trail,12855,364,231.4,719.99,3.112
2023-03-06,MW,SP | Apparel,Apparel | Outerwear,13299,370,219.43,784.66,3.576
2023-03-06,MW,SP | Apparel,Apparel | Layers,10881,303,179.54,641.99,3.576
2023-03-06,MT,SP | Running Shoes,Footwear | Road,17195,466,309.51,1135.17,3.668
2023-03-06,MT,SP | Running Shoes,Footwear | Trail,10539,285,189.7,695.75,3.668
2023-03-06,MT,SP | Apparel,Apparel | Outerwear,13524,390,223.15,776.61,3.48
2023-03-06,MT,SP | Apparel,Apparel | Layers,11065,319,182.58,635.41,3.48
2023-03-06,West Coast,SP | Running Shoes,Footwear | Road,25798,732,464.37,1522.52,3.279
2023-03-06,West Coast,SP | Running Shoes,Footwear | Trail,15812,449,284.61,933.16,3.279
2023-03-06,West Coast,SP | Apparel,Apparel | Outerwear,19244,571,317.53,971.9,3.061
2023-03-06,West Coast,SP | Apparel,Apparel | Layers,15745,467,259.8,795.19,3.061
2023-03-13,Northeast,SP | Running Shoes,Footwear | Road,22007,626,396.12,1082.36,2.732
2023-03-13,Northeast,SP | Running Shoes,Footwear | Trail,13488,384,242.78,663.38,2.732
2023-03-13,Northeast,SP | Apparel,Apparel | Outerwear,17323,504,285.84,853.91,2.987
2023-03-13,Northeast,SP | Apparel,Apparel | Layers,14174,412,233.87,698.65,2.987
2023-03-13,MA,SP | Running Shoes,Footwear | Road,20892,568,376.06,1269.93,3.377
2023-03-13,MA,SP | Running Shoes,Footwear | Trail,12805,348,230.49,778.34,3.377
2023-03-13,MA,SP | Apparel,Apparel | Outerwear,15981,458,263.69,946.11,3.588
2023-03-13,MA,SP | Apparel,Apparel | Layers,13076,375,215.75,774.09,3.588
2023-03-13,SE,SP | Running Shoes,Footwear | Road,18652,549,335.73,1119.72,3.335
2023-03-13,SE,SP | Running Shoes,Footwear | Trail,11432,336,205.77,686.28,3.335
2023-03-13,SE,SP | Apparel,Apparel | Outerwear,14566,398,240.34,810.53,3.372
2023-03-13,SE,SP | Apparel,Apparel | Layers,11917,325,196.64,663.16,3.372
2023-03-13,MW,SP | Running Shoes,Footwear | Road,20211,536,363.8,1223.71,3.364
2023-03-13,MW,SP | Running Shoes,Footwear | Trail,12387,329,222.97,750.02,3.364
2023-03-13,MW,SP | Apparel,Apparel | Outerwear,14136,407,233.24,636.67,2.73
2023-03-13,MW,SP | Apparel,Apparel | Layers,11566,333,190.83,520.91,2.73
2023-03-13,MT,SP | Running Shoes,Footwear | Road,16504,451,297.07,765.77,2.578
2023-03-13,MT,SP | Running Shoes,Footwear | Trail,10115,276,182.07,469.34,2.578
2023-03-13,MT,SP | Apparel,Apparel | Outerwear,11221,298,185.14,557.05,3.009
2023-03-13,MT,SP | Apparel,Apparel | Layers,9181,244,151.48,455.77,3.009
2023-03-13,West Coast,SP | Running Shoes,Footwear | Road,22436,596,403.85,1239.47,3.069
2023-03-13,West Coast,SP | Running Shoes,Footwear | Trail,13751,365,247.52,759.68,3.069
2023-03-13,West Coast,SP | Apparel,Apparel | Outerwear,18876,542,311.45,776.34,2.493
2023-03-13,West Coast,SP | Apparel,Apparel | Layers,15444,444,254.83,635.18,2.493
2023-03-20,Northeast,SP | Running Shoes,Footwear | Road,22019,628,396.35,1375.13,3.47
2023-03-20,Northeast,SP | Running Shoes,Footwear | Trail,13496,385,242.92,842.82,3.47
2023-03-20,Northeast,SP | Apparel,Apparel | Outerwear,15787,443,260.49,714.76,2.744
2023-03-20,Northeast,SP | Apparel,Apparel | Layers,12917,362,213.13,584.8,2.744
2023-03-20,MA,SP | Running Shoes,Footwear | Road,22543,666,405.77,1187.86,2.927
2023-03-20,MA,SP | Running Shoes,Footwear | Trail,13816,408,248.7,728.04,2.927
2023-03-20,MA,SP | Apparel,Apparel | Outerwear,16732,494,276.07,790.21,2.862
2023-03-20,MA,SP | Apparel,Apparel | Layers,13690,404,225.88,646.54,2.862
2023-03-20,SE,SP | Running Shoes,Footwear | Road,20327,576,365.89,1178.53,3.221
2023-03-20,SE,SP | Running Shoes,Footwear | Trail,12459,353,224.26,722.32,3.221
2023-03-20,SE,SP | Apparel,Apparel | Outerwear,15568,420,256.88,855.51,3.33
2023-03-20,SE,SP | Apparel,Apparel | Layers,12738,344,210.17,699.96,3.33
2023-03-20,MW,SP | Running Shoes,Footwear | Road,20677,564,372.18,1406.54,3.779
2023-03-20,MW,SP | Running Shoes,Footwear | Trail,12673,346,228.11,862.08,3.779
2023-03-20,MW,SP | Apparel,Apparel | Outerwear,14605,424,240.99,862.61,3.579
2023-03-20,MW,SP | Apparel,Apparel | Layers,11950,347,197.17,705.77,3.579
2023-03-20,MT,SP | Running Shoes,Footwear | Road,18060,534,325.07,998.98,3.073
2023-03-20,MT,SP | Running Shoes,Footwear | Trail,11069,327,199.24,612.28,3.073
2023-03-20,MT,SP | Apparel,Apparel | Outerwear,12013,347,198.21,625.99,3.158
2023-03-20,MT,SP | Apparel,Apparel | Layers,9829,284,162.17,512.17,3.158
2023-03-20,West Coast,SP | Running Shoes,Footwear | Road,26651,714,479.71,1580.57,3.295
2023-03-20,West Coast,SP | Running Shoes,Footwear | Trail,16334,438,294.02,968.74,3.295
2023-03-20,West Coast,SP | Apparel,Apparel | Outerwear,20067,575,331.1,972.78,2.938
2023-03-20,West Coast,SP | Apparel,Apparel | Layers,16418,471,270.9,795.91,2.938
2023-03-27,Northeast,SP | Running Shoes,Footwear | Road,23348,636,420.26,1552.47,3.694
2023-03-27,Northeast,SP | Running Shoes,Footwear | Trail,14310,390,257.58,951.51,3.694
2023-03-27,Northeast,SP | Apparel,Apparel | Outerwear,16466,467,271.69,800.34,2.946
2023-03-27,Northeast,SP | Apparel,Apparel | Layers,13472,382,222.29,654.83,2.946
2023-03-27,MA,SP | Running Shoes,Footwear | Road,23109,650,415.96,1229.13,2.955
2023-03-27,MA,SP | Running Shoes,Footwear | Trail,14164,398,254.94,753.34,2.955
2023-03-27,MA,SP | Apparel,Apparel | Outerwear,15329,428,252.93,805.19,3.183
2023-03-27,MA,SP | Apparel,Apparel | Layers,12542,350,206.95,658.79,3.183
2023-03-27,SE,SP | Running Shoes,Footwear | Road,19514,534,351.26,935.47,2.663
2023-03-27,SE,SP | Running Shoes,Footwear | Trail,11960,327,215.29,573.36,2.663
2023-03-27,SE,SP | Apparel,Apparel | Outerwear,16018,457,264.3,932.43,3.528
2023-03-27,SE,SP | Apparel,Apparel | Layers,13106,374,216.25,762.9,3.528
2023-03-27,MW,SP | Running Shoes,Footwear | Road,19680,561,354.25,1009.52,2.85
2023-03-27,MW,SP | Running Shoes,Footwear | Trail,12062,344,217.12,618.74,2.85
2023-03-27,MW,SP | Apparel,Apparel | Outerwear,16221,481,267.64,849.27,3.173
2023-03-27,MW,SP | Apparel,Apparel | Layers,13271,394,218.98,694.85,3.173
2023-03-27,MT,SP | Running Shoes,Footwear | Road,15597,448,280.75,1004.66,3.578
2023-03-27,MT,SP | Running Shoes,Footwear | Trail,9560,275,172.07,615.76,3.578
2023-03-27,MT,SP | Apparel,Apparel | Outerwear,13058,372,215.46,549.78,2.552
2023-03-27,MT,SP | Apparel,Apparel | Layers,10684,304,176.28,449.82,2.552
2023-03-27,West Coast,SP | Running Shoes,Footwear | Road,24282,703,437.08,1436.87,3.287
2023-03-27,West Coast,SP | Running Shoes,Footwear | Trail,14883,431,267.89,880.66,3.287
2023-03-27,West Coast,SP | Apparel,Apparel | Outerwear,20220,554,333.63,941.21,2.821
2023-03-27,West Coast,SP | Apparel,Apparel | Layers,16544,453,272.97,770.08,2.821
2023-04-03,Northeast,SP | Running Shoes,Footwear | Road,23778,650,428.01,1341.03,3.133
2023-04-03,Northeast,SP | Running Shoes,Footwear | Trail,14574,398,262.33,821.92,3.133
2023-04-03,Northeast,SP | Apparel,Apparel | Outerwear,18096,506,298.58,896.42,3.002
2023-04-03,Northeast,SP | Apparel,Apparel | Layers,14806,414,244.29,733.44,3.002
2023-04-03,MA,SP | Running Shoes,Footwear | Road,22210,650,399.78,1474.49,3.688
2023-04-03,MA,SP | Running Shoes,Footwear | Trail,13613,398,245.03,903.72,3.688
2023-04-03,MA,SP | Apparel,Apparel | Outerwear,19562,540,322.77,1192.42,3.694
2023-04-03,MA,SP | Apparel,Apparel | Layers,16005,442,264.09,975.62,3.694
2023-04-03,SE,SP | Running Shoes,Footwear | Road,19934,590,358.81,1158.48,3.229
2023-04-03,SE,SP | Running Shoes,Footwear | Trail,12217,361,219.91,710.03,3.229
2023-04-03,SE,SP | Apparel,Apparel | Outerwear,15628,430,257.86,715.14,2.773
2023-04-03,SE,SP | Apparel,Apparel | Layers,12786,352,210.97,585.12,2.773
2023-04-03,MW,SP | Running Shoes,Footwear | Road,22240,627,400.33,1115.06,2.785
2023-04-03,MW,SP | Running Shoes,Footwear | Trail,13631,384,245.36,683.42,2.785
2023-04-03,MW,SP | Apparel,Apparel | Outerwear,16238,473,267.93,866.98,3.236
2023-04-03,MW,SP | Apparel,Apparel | Layers,13286,387,219.22,709.34,3.236
