week_start,geo,competitor_price_index
2023-01-02,NE,110.022
2023-01-02,MA,108.322
2023-01-02,SE,109.815
2023-01-02,MW,110.359
2023-01-02,MT,110.539
2023-01-02,WE,109.987
2023-01-09,NE,109.543
2023-01-09,MA,109.861
2023-01-09,SE,108.426
2023-01-09,MW,111.084
2023-01-09,MT,109.922
2023-01-09,WE,110.228
2023-01-16,NE,111.4
2023-01-16,MA,111.162
2023-01-16,SE,109.634
2023-01-16,MW,109.001
2023-01-16,MT,110.101
2023-01-16,WE,110.29
2023-01-23,NE,111.953
2023-01-23,MA,111.988
2023-01-23,SE,111.907
2023-01-23,MW,111.574
2023-01-23,MT,111.131
2023-01-23,WE,110.337
2023-01-30,NE,110.977
2023-01-30,MA,110.003
2023-01-30,SE,110.432
2023-01-30,MW,111.849
2023-01-30,MT,109.803
2023-01-30,WE,111.902
2023-02-06,NE,111.235
2023-02-06,MA,111.699
2023-02-06,SE,110.215
2023-02-06,MW,110.3
2023-02-06,MT,110.252
2023-02-06,WE,109.718
2023-02-13,NE,111.268
2023-02-13,MA,110.18
2023-02-13,SE,110.283
2023-02-13,MW,111.542
2023-02-13,MT,110.0
2023-02-13,WE,110.354
2023-02-20,NE,112.056
2023-02-20,MA,112.227
2023-02-20,SE,110.732
2023-02-20,MW,111.501
2023-02-20,MT,110.19
2023-02-20,WE,111.092
2023-02-27,NE,111.969
2023-02-27,MA,112.601
2023-02-27,SE,111.63
2023-02-27,MW,111.966
2023-02-27,MT,111.143
2023-02-27,WE,110.659
2023-03-06,NE,111.592
2023-03-06,MA,111.967
2023-03-06,SE,112.082
2023-03-06,MW,112.471
2023-03-06,MT,111.322
2023-03-06,WE,112.982
2023-03-13,NE,112.667
2023-03-13,MA,111.81
2023-03-13,SE,111.205
2023-03-13,MW,112.896
2023-03-13,MT,110.961
2023-03-13,WE,111.902
2023-03-20,NE,112.326
2023-03-20,MA,112.89
2023-03-20,SE,111.63
2023-03-20,MW,111.918
2023-03-20,MT,111.404
2023-03-20,WE,111.769
2023-03-27,NE,112.469
2023-03-27,MA,111.66
2023-03-27,SE,111.887
2023-03-27,MW,111.563
2023-03-27,MT,111.254
2023-03-27,WE,112.217
2023-04-03,NE,113.012
2023-04-03,MA,112.263
2023-04-03,SE,111.634
2023-04-03,MW,112.517
2023-04-03,MT,112.09
2023-04-03,WE,111.788
2023-04-10,NE,110.559
2023-04-10,MA,110.849
2023-04-10,SE,111.792
2023-04-10,MW,110.994
2023-04-10,MT,110.506
2023-04-10,WE,111.23
2023-04-17,NE,109.507
2023-04-17,MA,109.835
2023-04-17,SE,110.963
2023-04-17,MW,110.385
2023-04-17,MT,111.74
2023-04-17,WE,111.501
2023-04-24,NE,109.996
2023-04-24,MA,110.494
2023-04-24,SE,111.907
2023-04-24,MW,109.412
2023-04-24,MT,110.612
2023-04-24,WE,110.216
2023-05-01,NE,110.951
2023-05-01,MA,110.48
2023-05-01,SE,111.214
2023-05-01,MW,109.024
2023-05-01,MT,109.582
2023-05-01,WE,111.373
2023-05-08,NE,109.568
2023-05-08,MA,109.877
2023-05-08,SE,108.674
2023-05-08,MW,108.226
2023-05-08,MT,108.785
2023-05-08,WE,108.319
2023-05-15,NE,108.856
2023-05-15,MA,108.935
2023-05-15,SE,107.976
2023-05-15,MW,108.487
2023-05-15,MT,109.549
2023-05-15,WE,108.093
2023-05-22,NE,107.64
2023-05-22,MA,109.414
2023-05-22,SE,109.251
2023-05-22,MW,108.261
2023-05-22,MT,109.685
2023-05-22,WE,109.496
2023-05-29,NE,107.876
2023-05-29,MA,107.289
2023-05-29,SE,108.043
2023-05-29,MW,107.781
2023-05-29,MT,107.868
2023-05-29,WE,106.715
2023-06-05,NE,106.175
2023-06-05,MA,105.417
2023-06-05,SE,106.165
2023-06-05,MW,106.447
2023-06-05,MT,105.801
2023-06-05,WE,106.71
2023-06-12,NE,107.178
2023-06-12,MA,107.333
2023-06-12,SE,105.806
2023-06-12,MW,106.81
2023-06-12,MT,106.862
2023-06-12,WE,106.92
2023-06-19,NE,105.226
2023-06-19,MA,107.067
2023-06-19,SE,105.72
2023-06-19,MW,104.719
2023-06-19,MT,105.166
2023-06-19,WE,106.161
2023-06-26,NE,104.122
2023-06-26,MA,104.356
2023-06-26,SE,106.696
2023-06-26,MW,104.575
2023-06-26,MT,105.548
2023-06-26,WE,104.945
2023-07-03,NE,104.812
2023-07-03,MA,105.592
2023-07-03,SE,103.192
2023-07-03,MW,103.67
2023-07-03,MT,104.54
2023-07-03,WE,105.079
2023-07-10,NE,104.551
2023-07-10,MA,104.993
2023-07-10,SE,104.369
2023-07-10,MW,104.669
2023-07-10,MT,103.333
2023-07-10,WE,104.127
2023-07-17,NE,103.629
2023-07-17,MA,103.938
2023-07-17,SE,103.079
2023-07-17,MW,104.243
2023-07-17,MT,104.13
