week_start_date,geo,sessions,users,organic_sessions,purchase_events
2023-01-02,NE,16433,12081,4274,470
2023-01-02,MA,16003,11274,3958,478
2023-01-02,SE,13630,10022,3573,398
2023-01-02,MW,15937,11460,3977,442
2023-01-02,MT,11517,8301,2945,342
2023-01-02,WE,18477,14535,4279,527
2023-01-09,NE,17089,13151,4704,476
2023-01-09,MA,17128,13306,4051,438
2023-01-09,SE,14206,10473,3732,400
2023-01-09,MW,15161,11263,3581,442
2023-01-09,MT,12329,8828,3120,378
2023-01-09,WE,19031,15031,4542,480
2023-01-16,NE,17963,13848,4731,490
2023-01-16,MA,15978,11701,4158,437
2023-01-16,SE,15065,11587,3953,386
2023-01-16,MW,15330,11203,4124,449
2023-01-16,MT,12416,8885,3124,341
2023-01-16,WE,19609,13773,4932,511
2023-01-23,NE,18372,14164,4557,601
2023-01-23,MA,18409,13681,4529,558
2023-01-23,SE,15891,12100,3935,479
2023-01-23,MW,16930,12781,4195,488
2023-01-23,MT,15737,11831,3789,440
2023-01-23,WE,19284,14724,5401,626
2023-01-30,NE,16237,12339,4579,460
2023-01-30,MA,15260,11307,4115,441
2023-01-30,SE,16254,12624,4053,412
2023-01-30,MW,16297,11609,4104,420
2023-01-30,MT,12711,9048,3312,355
2023-01-30,WE,19530,14431,4699,506
2023-02-06,NE,17552,12408,4351,496
2023-02-06,MA,17069,13047,4186,463
2023-02-06,SE,15220,10865,4085,408
2023-02-06,MW,15612,12189,3947,449
2023-02-06,MT,12632,8854,3502,360
2023-02-06,WE,19010,13321,5230,577
2023-02-13,NE,17722,12622,4622,512
2023-02-13,MA,15524,10912,4434,470
2023-02-13,SE,15860,11730,3868,420
2023-02-13,MW,16054,12317,3878,459
2023-02-13,MT,12348,8991,3445,358
2023-02-13,WE,19620,14846,5224,503
2023-02-20,NE,18684,14529,4730,563
2023-02-20,MA,16943,11905,4679,551
2023-02-20,SE,15669,11394,4228,499
2023-02-20,MW,16543,12689,4255,526
2023-02-20,MT,12218,9389,3529,425
2023-02-20,WE,19230,13739,4649,622
2023-02-27,NE,18947,14705,5013,504
2023-02-27,MA,17687,13671,4159,478
2023-02-27,SE,14951,11487,3817,456
2023-02-27,MW,14963,10786,4054,435
2023-02-27,MT,13997,10893,3466,371
2023-02-27,WE,20633,14751,5346,521
2023-03-06,NE,20906,16136,5313,565
2023-03-06,MA,21958,16336,4868,571
2023-03-06,SE,18471,14319,4314,481
2023-03-06,MW,19732,15113,4602,509
2023-03-06,MT,15610,12237,3967,442
2023-03-06,WE,24951,19243,5713,645
2023-03-13,NE,21616,16527,4983,588
2023-03-13,MA,20667,15874,5031,540
2023-03-13,SE,17570,13171,4309,503
2023-03-13,MW,18184,13097,4272,520
2023-03-13,MT,16144,11880,4144,426
2023-03-13,WE,23908,17918,5599,614
2023-03-20,NE,21228,16562,5035,580
2023-03-20,MA,19471,14743,4768,535
2023-03-20,SE,19099,15080,4477,530
2023-03-20,MW,19411,15018,4473,547
