week_start,geo,send_count,delivered,unique_opens,unique_clicks,open_rate,click_rate
2023-01-02,Northeast,10109,9912,2307,310,0.2327,0.0313
2023-01-02,Mid-Atlantic,8972,8676,2021,237,0.2329,0.0273
2023-01-02,Southeast,8109,7981,1626,218,0.2037,0.0273
2023-01-02,Midwest,8497,8403,1798,265,0.214,0.0315
2023-01-02,Mountain,7176,7044,1621,180,0.2301,0.0255
2023-01-02,West,10332,10117,2059,269,0.2035,0.0266
2023-01-09,Northeast,10127,9851,2444,289,0.2481,0.0293
2023-01-09,Mid-Atlantic,8759,8561,1956,246,0.2285,0.0287
2023-01-09,Southeast,7778,7584,1663,259,0.2193,0.0341
2023-01-09,Midwest,8303,8114,1928,227,0.2376,0.028
2023-01-09,Mountain,6901,6737,1446,227,0.2147,0.0337
2023-01-09,West,10798,10371,2319,335,0.2236,0.0323
2023-01-16,Northeast,9944,9611,2455,283,0.2554,0.0294
2023-01-16,Mid-Atlantic,9035,8817,2184,293,0.2477,0.0332
2023-01-16,Southeast,8480,8187,2078,250,0.2538,0.0305
2023-01-16,Midwest,8423,8098,1853,263,0.2288,0.0325
2023-01-16,Mountain,7403,7255,1862,242,0.2566,0.0333
2023-01-16,West,10783,10614,2692,382,0.2536,0.036
2023-01-23,Northeast,13506,13077,3497,421,0.2674,0.0322
2023-01-23,Mid-Atlantic,11761,11356,2923,404,0.2574,0.0356
2023-01-23,Southeast,11373,11145,2873,420,0.2578,0.0377
2023-01-23,Midwest,11380,11081,3041,370,0.2744,0.0334
2023-01-23,Mountain,9693,9487,2583,324,0.2723,0.0342
2023-01-23,West,13231,12746,3402,407,0.2669,0.0319
2023-01-30,Northeast,10100,9972,2623,328,0.263,0.0329
2023-01-30,Mid-Atlantic,9868,9541,2698,308,0.2828,0.0323
2023-01-30,Southeast,8557,8364,2141,329,0.256,0.0393
2023-01-30,Midwest,9477,9204,2574,360,0.2797,0.0391
2023-01-30,Mountain,7313,7090,1889,282,0.2665,0.0398
2023-01-30,West,10395,10070,2633,374,0.2615,0.0371
2023-02-06,Northeast,10487,10117,2789,402,0.2757,0.0397
2023-02-06,Mid-Atlantic,9449,9106,2542,315,0.2792,0.0346
2023-02-06,Southeast,8777,8661,2434,311,0.281,0.0359
2023-02-06,Midwest,8771,8453,2232,321,0.264,0.038
2023-02-06,Mountain,7462,7181,1945,245,0.2709,0.0341
2023-02-06,West,11622,11360,3090,381,0.272,0.0335
2023-02-13,Northeast,10396,10054,2947,382,0.2931,0.038
2023-02-13,Mid-Atlantic,9797,9437,2683,352,0.2843,0.0373
2023-02-13,Southeast,8347,8225,2268,290,0.2758,0.0353
2023-02-13,Midwest,8740,8640,2269,289,0.2626,0.0335
2023-02-13,Mountain,7455,7330,2005,262,0.2736,0.0357
2023-02-13,West,10914,10708,3150,410,0.2942,0.0383
2023-02-20,Northeast,12010,11739,3274,360,0.2789,0.0307
2023-02-20,Mid-Atlantic,11826,11493,3076,399,0.2676,0.0347
2023-02-20,Southeast,10533,10302,2696,351,0.2617,0.0341
2023-02-20,Midwest,11592,11261,3209,391,0.285,0.0347
2023-02-20,Mountain,8747,8585,2501,270,0.2913,0.0315
2023-02-20,West,14035,13502,3980,398,0.2948,0.0295
2023-02-27,Northeast,11445,11174,2918,361,0.2611,0.0323
2023-02-27,Mid-Atlantic,10682,10300,2826,290,0.2744,0.0282
2023-02-27,Southeast,9361,9255,2393,254,0.2586,0.0274
2023-02-27,Midwest,9887,9739,2576,279,0.2645,0.0286
2023-02-27,Mountain,8077,7898,2300,222,0.2912,0.0281
2023-02-27,West,11342,11151,2880,386,0.2583,0.0346
2023-03-06,Northeast,11834,11432,2997,333,0.2622,0.0291
2023-03-06,Mid-Atlantic,11267,10951,2948,331,0.2692,0.0302
2023-03-06,Southeast,9815,9599,2430,270,0.2532,0.0281
2023-03-06,Midwest,10671,10448,2719,332,0.2602,0.0318
2023-03-06,Mountain,8846,8693,2333,246,0.2684,0.0283
2023-03-06,West,11877,11464,3294,327,0.2873,0.0285
2023-03-13,Northeast,11827,11397,2741,317,0.2405,0.0278
2023-03-13,Mid-Atlantic,11410,11252,2982,288,0.265,0.0256
2023-03-13,Southeast,9720,9581,2672,244,0.2789,0.0255
2023-03-13,Midwest,10665,10342,2814,262,0.2721,0.0253
2023-03-13,Mountain,9028,8908,2427,259,0.2725,0.0291
2023-03-13,West,13059,12875,3160,362,0.2454,0.0281
2023-03-20,Northeast,11314,11064,2635,297,0.2382,0.0268
2023-03-20,Mid-Atlantic,11728,11276,2693,224,0.2388,0.0199
2023-03-20,Southeast,9720,9382,2164,200,0.2307,0.0213
2023-03-20,Midwest,10609,10394,2583,207,0.2485,0.0199
2023-03-20,Mountain,8230,7973,1948,183,0.2443,0.023
2023-03-20,West,12775,12512,3169,299,0.2533,0.0239
2023-03-27,Northeast,12313,12045,2788,236,0.2315,0.0196
2023-03-27,Mid-Atlantic,10951,10689,2448,246,0.229,0.023
2023-03-27,Southeast,9978,9583,2122,206,0.2214,0.0215
2023-03-27,Midwest,10048,9697,2279,216,0.235,0.0223
2023-03-27,Mountain,8990,8661,1995,174,0.2303,0.0201
2023-03-27,West,12233,12035,3058,292,0.2541,0.0243
2023-04-03,Northeast,15431,15008,3155,345,0.2102,0.023
2023-04-03,Mid-Atlantic,15235,14843,3346,330,0.2254,0.0222
2023-04-03,Southeast,13014,12594,2569,247,0.204,0.0196
2023-04-03,Midwest,14179,13962,3111,325,0.2228,0.0233
2023-04-03,Mountain,11937,11806,2726,201,0.2309,0.017
2023-04-03,West,16094,15595,3247,312,0.2082,0.02
2023-04-10,Northeast,12122,11931,2517,194,0.211,0.0163
2023-04-10,Mid-Atlantic,12007,11585,2184,277,0.1885,0.0239
2023-04-10,Southeast,10144,9881,1956,211,0.198,0.0214
2023-04-10,Midwest,10141,10012,1898,223,0.1896,0.0223
2023-04-10,Mountain,8886,8780,1727,191,0.1967,0.0218
2023-04-10,West,12871,12429,2329,235,0.1874,0.0189
2023-04-17,Northeast,12032,11861,2270,227,0.1914,0.0191
2023-04-17,Mid-Atlantic,12254,12094,2395,254,0.198,0.021
2023-04-17,Southeast,11058,10874,2276,254,0.2093,0.0234
2023-04-17,Midwest,11523,11338,2265,241,0.1998,0.0213
2023-04-17,Mountain,9412,9211,1815,218,0.1971,0.0237
2023-04-17,West,12979,12643,2290,228,0.1811,0.018
2023-04-24,Northeast,13155,12954,2312,311,0.1785,0.024
2023-04-24,Mid-Atlantic,11253,10986,1965,288,0.1789,0.0262
2023-04-24,Southeast,10205,9936,1856,196,0.1868,0.0197
2023-04-24,Midwest,10639,10270,1901,210,0.1851,0.0204
2023-04-24,Mountain,9033,8917,1581,177,0.1773,0.0198
2023-04-24,West,13726,13197,2622,278,0.1987,0.0211
2023-05-01,Northeast,12195,11911,1963,298,0.1648,0.025
2023-05-01,Mid-Atlantic,12811,12478,1998,282,0.1601,0.0226
2023-05-01,Southeast,11174,10786,1641,275,0.1521,0.0255
2023-05-01,Midwest,10408,10023,1541,290,0.1537,0.0289
2023-05-01,Mountain,9735,9475,1703,223,0.1797,0.0235
2023-05-01,West,12691,12285,1856,301,0.1511,0.0245
2023-05-08,Northeast,16102,15653,2786,415,0.178,0.0265
2023-05-08,Mid-Atlantic,15175,14937,2238,475,0.1498,0.0318
2023-05-08,Southeast,12722,12426,1996,349,0.1606,0.0281
2023-05-08,Midwest,12742,12365,2048,396,0.1656,0.032
2023-05-08,Mountain,11674,11246,1939,292,0.1724,0.026
2023-05-08,West,16725,16235,2568,419,0.1582,0.0258
2023-05-15,Northeast,13647,13301,2277,454,0.1712,0.0341
2023-05-15,Mid-Atlantic,12553,12323,2144,389,0.174,0.0316
2023-05-15,Southeast,10247,9872,1460,275,0.1479,0.0279
2023-05-15,Midwest,11328,11181,1746,328,0.1562,0.0293
2023-05-15,Mountain,9321,9204,1405,268,0.1527,0.0291
2023-05-15,West,14520,14177,2399,427,0.1692,0.0301
2023-05-22,Northeast,13200,13032,2304,412,0.1768,0.0316
2023-05-22,Mid-Atlantic,11895,11531,2066,387,0.1792,0.0336
2023-05-22,Southeast,11265,11072,1625,347,0.1468,0.0313
2023-05-22,Midwest,11976,11746,1720,369,0.1464,0.0314
2023-05-22,Mountain,9464,9241,1508,310,0.1632,0.0336
2023-05-22,West,12904,12394,1779,404,0.1435,0.0326
2023-05-29,Northeast,13876,13408,2439,469,0.1819,0.035
2023-05-29,Mid-Atlantic,11379,10986,1617,383,0.1472,0.0349
2023-05-29,Southeast,10955,10840,1828,367,0.1686,0.0339
2023-05-29,Midwest,11991,11542,1842,387,0.1596,0.0335
2023-05-29,Mountain,10073,9783,1604,347,0.164,0.0355
2023-05-29,West,14210,14046,2413,496,0.1718,0.0353
2023-06-05,Northeast,12421,12211,1902,475,0.1558,0.0389
2023-06-05,Mid-Atlantic,10836,10518,1783,385,0.1695,0.0366
2023-06-05,Southeast,10726,10559,1901,412,0.18,0.039
2023-06-05,Midwest,10290,10108,1545,353,0.1528,0.0349
2023-06-05,Mountain,8613,8370,1522,333,0.1818,0.0398
2023-06-05,West,13049,12732,2091,493,0.1642,0.0387
2023-06-12,Northeast,14952,14527,2812,498,0.1936,0.0343
2023-06-12,Mid-Atlantic,14527,14155,2520,457,0.178,0.0323
2023-06-12,Southeast,12817,12320,2259,457,0.1834,0.0371
2023-06-12,Midwest,12628,12342,2030,436,0.1645,0.0353
2023-06-12,Mountain,11027,10896,2123,426,0.1948,0.0391
2023-06-12,West,16259,15942,3168,582,0.1987,0.0365
2023-06-19,Northeast,11859,11531,1987,435,0.1723,0.0377
2023-06-19,Mid-Atlantic,11167,10871,2201,372,0.2025,0.0342
2023-06-19,Southeast,9826,9534,1970,351,0.2066,0.0368
2023-06-19,Midwest,9924,9742,1792,348,0.1839,0.0357
2023-06-19,Mountain,9276,8931,1690,309,0.1892,0.0346
2023-06-19,West,12764,12396,2583,404,0.2084,0.0326
2023-06-26,Northeast,11894,11422,2346,360,0.2054,0.0315
2023-06-26,Mid-Atlantic,11281,10871,2047,359,0.1883,0.033
2023-06-26,Southeast,10445,10253,2276,379,0.222,0.037
2023-06-26,Midwest,11054,10840,2359,341,0.2176,0.0315
2023-06-26,Mountain,8669,8529,1785,307,0.2093,0.036
2023-06-26,West,12546,12178,2725,403,0.2238,0.0331
2023-07-03,Northeast,11956,11664,2669,394,0.2288,0.0338
2023-07-03,Mid-Atlantic,11137,10782,2445,289,0.2268,0.0268
2023-07-03,Southeast,9557,9323,2038,251,0.2186,0.0269
2023-07-03,Midwest,9998,9867,2159,269,0.2188,0.0273
2023-07-03,Mountain,8517,8408,1929,279,0.2294,0.0332
2023-07-03,West,12533,12111,2624,355,0.2167,0.0293
2023-07-10,Northeast,11727,11472,2713,365,0.2365,0.0318
2023-07-10,Mid-Atlantic,11786,11458,2714,283,0.2369,0.0247
2023-07-10,Southeast,9557,9278,2332,271,0.2514,0.0292
2023-07-10,Midwest,9866,9481,2157,264,0.2275,0.0278
2023-07-10,Mountain,8654,8367,2081,219,0.2487,0.0262
2023-07-10,West,13025,12545,3065,326,0.2443,0.026
2023-07-17,Northeast,11681,11463,3006,298,0.2622,0.026
2023-07-17,Mid-Atlantic,10992,10604,2440,246,0.2301,0.0232
2023-07-17,Southeast,9490,9355,2172,265,0.2322,0.0283
2023-07-17,Midwest,10727,10401,2379,284,0.2287,0.0273
2023-07-17,Mountain,8966,8716,2171,224,0.2491,0.0257
2023-07-17,West,13110,12922,3459,293,0.2677,0.0227
2023-07-24,Northeast,14542,13986,3566,371,0.255,0.0265
2023-07-24,Mid-Atlantic,13709,13311,3237,335,0.2432,0.0252
2023-07-24,Southeast,11758,11617,3075,251,0.2647,0.0216
2023-07-24,Midwest,12362,12121,3134,309,0.2586,0.0255
2023-07-24,Mountain,9494,9153,2376,203,0.2596,0.0222
2023-07-24,West,13838,13514,3262,322,0.2414,0.0238
2023-07-31,Northeast,11521,11208,3106,217,0.2771,0.0194
2023-07-31,Mid-Atlantic,10849,10562,2893,242,0.2739,0.0229
2023-07-31,Southeast,8977,8622,2159,199,0.2504,0.0231
2023-07-31,Midwest,10400,10267,2656,187,0.2587,0.0182
2023-07-31,Mountain,8930,8768,2214,154,0.2525,0.0176
2023-07-31,West,13067,12592,3360,263,0.2668,0.0209
2023-08-07,Northeast,10769,10493,2696,220,0.2569,0.021
2023-08-07,Mid-Atlantic,10566,10309,2663,228,0.2583,0.0221
2023-08-07,Southeast,10125,9749,2574,158,0.264,0.0162
2023-08-07,Midwest,9738,9449,2490,184,0.2635,0.0195
2023-08-07,Mountain,8916,8770,2462,168,0.2807,0.0191
2023-08-07,West,11498,11076,3211,215,0.2899,0.0194
2023-08-14,Northeast,11246,10838,3235,180,0.2985,0.0166
2023-08-14,Mid-Atlantic,10417,10236,2821,197,0.2756,0.0192
2023-08-14,Southeast,9829,9611,2631,158,0.2737,0.0164
2023-08-14,Midwest,10366,10128,2785,197,0.275,0.0195
2023-08-14,Mountain,8185,7865,2186,129,0.2779,0.0164
2023-08-14,West,12707,12339,3671,271,0.2975,0.022
2023-08-21,Northeast,14323,13760,3828,259,0.2782,0.0188
2023-08-21,Mid-Atlantic,13563,13418,3682,258,0.2744,0.0192
2023-08-21,Southeast,11519,11341,3050,272,0.2689,0.024
2023-08-21,Midwest,11785,11538,3031,203,0.2627,0.0176
2023-08-21,Mountain,10785,10381,2991,223,0.2881,0.0215
2023-08-21,West,15021,14428,4274,297,0.2962,0.0206
2023-08-28,Northeast,10417,10080,2610,268,0.2589,0.0266
2023-08-28,Mid-Atlantic,10517,10230,2629,247,0.257,0.0241
2023-08-28,Southeast,8950,8827,2367,182,0.2682,0.0206
2023-08-28,Midwest,9695,9383,2575,225,0.2744,0.024
2023-08-28,Mountain,7595,7312,2058,192,0.2814,0.0263
2023-08-28,West,12454,12068,3317,244,0.2749,0.0202
2023-09-04,Northeast,12169,11927,3220,287,0.27,0.0241
2023-09-04,Mid-Atlantic,11046,10839,3013,260,0.278,0.024
2023-09-04,Southeast,10227,10046,2853,273,0.284,0.0272
2023-09-04,Midwest,10358,10253,2880,286,0.2809,0.0279
2023-09-04,Mountain,9244,9135,2308,250,0.2527,0.0274
2023-09-04,West,13380,12858,3400,324,0.2644,0.0252
2023-09-11,Northeast,10927,10794,2932,271,0.2716,0.0251
2023-09-11,Mid-Atlantic,10519,10294,2521,288,0.2449,0.028
2023-09-11,Southeast,9408,9124,2336,243,0.256,0.0266
2023-09-11,Midwest,10016,9739,2597,254,0.2667,0.0261
2023-09-11,Mountain,8773,8571,2240,210,0.2613,0.0245
2023-09-11,West,13079,12622,3344,357,0.2649,0.0283
2023-09-18,Northeast,11949,11621,2752,378,0.2368,0.0325
2023-09-18,Mid-Atlantic,10544,10168,2354,273,0.2315,0.0268
2023-09-18,Southeast,9240,8917,2225,288,0.2495,0.0323
2023-09-18,Midwest,9451,9138,2231,312,0.2441,0.0341
2023-09-18,Mountain,8210,7981,2077,260,0.2602,0.0326
2023-09-18,West,12286,11929,2918,414,0.2446,0.0347
2023-09-25,Northeast,11744,11560,2591,377,0.2241,0.0326
2023-09-25,Mid-Atlantic,10481,10303,2559,369,0.2484,0.0358
2023-09-25,Southeast,9564,9242,2221,306,0.2403,0.0331
2023-09-25,Midwest,10123,9945,2305,324,0.2318,0.0326
2023-09-25,Mountain,8380,8049,1821,255,0.2263,0.0317
2023-09-25,West,12025,11820,2597,346,0.2197,0.0293
2023-10-02,Northeast,10716,10401,2165,363,0.2082,0.0349
2023-10-02,Mid-Atlantic,11380,11203,2253,399,0.2011,0.0356
2023-10-02,Southeast,10111,9754,2080,317,0.2132,0.0325
2023-10-02,Midwest,10019,9841,2038,374,0.2071,0.038
2023-10-02,Mountain,8142,7858,1587,297,0.202,0.0378
2023-10-02,West,12161,11924,2605,376,0.2185,0.0315
2023-10-09,Northeast,13273,12745,2639,486,0.2071,0.0381
2023-10-09,Mid-Atlantic,11735,11279,2133,360,0.1891,0.0319
2023-10-09,Southeast,10352,9987,2182,354,0.2185,0.0354
2023-10-09,Midwest,11133,10904,2236,426,0.2051,0.0391
2023-10-09,Mountain,9367,9026,1936,288,0.2145,0.0319
2023-10-09,West,13557,13071,2568,485,0.1965,0.0371
2023-10-16,Northeast,11123,10960,2309,397,0.2107,0.0362
2023-10-16,Mid-Atlantic,10986,10578,2093,383,0.1979,0.0362
2023-10-16,Southeast,8958,8783,1652,299,0.1881,0.034
2023-10-16,Midwest,10077,9758,1851,355,0.1897,0.0364
2023-10-16,Mountain,7958,7685,1629,292,0.212,0.038
2023-10-16,West,11219,10933,2253,389,0.2061,0.0356
2023-10-23,Northeast,11181,10950,1777,371,0.1623,0.0339
2023-10-23,Mid-Atlantic,11034,10884,2144,396,0.197,0.0364
2023-10-23,Southeast,9435,9312,1680,334,0.1804,0.0359
2023-10-23,Midwest,9406,9146,1506,289,0.1647,0.0316
2023-10-23,Mountain,7739,7596,1293,253,0.1702,0.0333
2023-10-23,West,12126,11667,1898,373,0.1627,0.032
2023-10-30,Northeast,13397,13227,2052,434,0.1551,0.0328
2023-10-30,Mid-Atlantic,13702,13269,2245,394,0.1692,0.0297
2023-10-30,Southeast,11271,11100,2049,340,0.1846,0.0306
2023-10-30,Midwest,11623,11229,2046,417,0.1822,0.0371
2023-10-30,Mountain,10530,10137,1837,358,0.1812,0.0353
2023-10-30,West,14415,13926,2360,409,0.1695,0.0294
