timeperiod,geo,campaign,impressions,clicks,spend,ctr,cpc
10/24/2022,NE,Brand Search,9588,765,64.98,0.079787,0.0849
10/25/2022,NE,Brand Search,7966,948,69.66,0.119006,0.0735
10/26/2022,NE,Brand Search,9646,858,72.83,0.088949,0.0849
10/27/2022,NE,Brand Search,10539,961,56.67,0.091185,0.059
10/28/2022,NE,Brand Search,10746,650,56.79,0.060488,0.0874
10/29/2022,NE,Brand Search,10578,838,49.31,0.079221,0.0588
10/30/2022,NE,Brand Search,10099,815,72.4,0.080701,0.0888
10/24/2022,NE,Nonbrand | Trail Running,13565,586,141.81,0.043199,0.242
10/25/2022,NE,Nonbrand | Trail Running,13295,563,102.44,0.042347,0.182
10/26/2022,NE,Nonbrand | Trail Running,12918,543,115.91,0.042034,0.2135
10/27/2022,NE,Nonbrand | Trail Running,15534,651,143.64,0.041908,0.2206
10/28/2022,NE,Nonbrand | Trail Running,16182,510,127.56,0.031516,0.2501
10/29/2022,NE,Nonbrand | Trail Running,14740,563,128.17,0.038195,0.2277
10/30/2022,NE,Nonbrand | Trail Running,11666,512,131.37,0.043888,0.2566
10/24/2022,NE,Nonbrand | Outdoor Apparel,11861,522,85.04,0.04401,0.1629
10/25/2022,NE,Nonbrand | Outdoor Apparel,11919,442,87.8,0.037084,0.1986
10/26/2022,NE,Nonbrand | Outdoor Apparel,13914,442,114.14,0.031767,0.2582
10/27/2022,NE,Nonbrand | Outdoor Apparel,12102,459,114.37,0.037928,0.2492
10/28/2022,NE,Nonbrand | Outdoor Apparel,12430,437,89.86,0.035157,0.2056
10/29/2022,NE,Nonbrand | Outdoor Apparel,11375,426,87.09,0.037451,0.2044
10/30/2022,NE,Nonbrand | Outdoor Apparel,9207,448,117.29,0.048659,0.2618
10/24/2022,MA,Branded Search,9943,903,67.48,0.090818,0.0747
10/25/2022,MA,Branded Search,8948,1018,70.07,0.113768,0.0688
10/26/2022,MA,Branded Search,9077,861,56.82,0.094855,0.066
10/27/2022,MA,Branded Search,9003,852,76.55,0.094635,0.0898
10/28/2022,MA,Branded Search,11048,712,65.74,0.064446,0.0923
10/29/2022,MA,Branded Search,10256,1015,58.41,0.098966,0.0575
10/30/2022,MA,Branded Search,11560,734,51.88,0.063495,0.0707
10/24/2022,MA,Nonbrand | Trail Running,12835,436,100.41,0.03397,0.2303
10/25/2022,MA,Nonbrand | Trail Running,9345,440,104.44,0.047084,0.2374
10/26/2022,MA,Nonbrand | Trail Running,12612,548,108.1,0.043451,0.1973
10/27/2022,MA,Nonbrand | Trail Running,10351,530,109.64,0.051203,0.2069
10/28/2022,MA,Nonbrand | Trail Running,13582,491,103.26,0.036151,0.2103
10/29/2022,MA,Nonbrand | Trail Running,11631,482,101.5,0.041441,0.2106
10/30/2022,MA,Nonbrand | Trail Running,12575,418,127.32,0.033241,0.3046
10/24/2022,MA,Nonbrand | Outdoor Apparel,9972,517,94.1,0.051845,0.182
10/25/2022,MA,Nonbrand | Outdoor Apparel,13368,568,119.12,0.04249,0.2097
10/26/2022,MA,Nonbrand | Outdoor Apparel,12948,422,84.41,0.032592,0.2
10/27/2022,MA,Nonbrand | Outdoor Apparel,11211,571,119.28,0.050932,0.2089
