week_start,geo,promotional_event,offer_intensity,promotion_class
2023-01-02,NE,0,0.0,none
2023-01-02,MA,0,0.0,none
2023-01-02,SE,0,0.0,none
2023-01-02,MW,0,0.0,none
2023-01-02,MT,0,0.0,none
2023-01-02,WE,0,0.0,none
2023-01-09,NE,0,0.0,none
2023-01-09,MA,0,0.0,none
2023-01-09,SE,0,0.0,none
2023-01-09,MW,0,0.0,none
2023-01-09,MT,0,0.0,none
2023-01-09,WE,0,0.0,none
2023-01-16,NE,0,0.0,none
2023-01-16,MA,0,0.0,none
2023-01-16,SE,0,0.0,none
2023-01-16,MW,0,0.0,none
2023-01-16,MT,0,0.0,none
2023-01-16,WE,0,0.0,none
2023-01-23,NE,1,0.272,coordinated_with_media
2023-01-23,MA,1,0.239,coordinated_with_media
2023-01-23,SE,1,0.241,coordinated_with_media
2023-01-23,MW,1,0.232,coordinated_with_media
2023-01-23,MT,1,0.25,coordinated_with_media
2023-01-23,WE,1,0.229,coordinated_with_media
2023-01-30,NE,0,0.0,none
2023-01-30,MA,0,0.0,none
2023-01-30,SE,0,0.0,none
2023-01-30,MW,0,0.0,none
2023-01-30,MT,0,0.0,none
2023-01-30,WE,0,0.0,none
2023-02-06,NE,0,0.0,none
2023-02-06,MA,0,0.0,none
2023-02-06,SE,0,0.0,none
2023-02-06,MW,0,0.0,none
2023-02-06,MT,0,0.0,none
2023-02-06,WE,0,0.0,none
2023-02-13,NE,0,0.0,none
2023-02-13,MA,0,0.0,none
2023-02-13,SE,0,0.0,none
2023-02-13,MW,0,0.0,none
2023-02-13,MT,0,0.0,none
2023-02-13,WE,0,0.0,none
2023-02-20,NE,1,0.163,independent
2023-02-20,MA,1,0.17,independent
2023-02-20,SE,1,0.163,independent
2023-02-20,MW,1,0.187,independent
2023-02-20,MT,1,0.188,independent
2023-02-20,WE,1,0.176,independent
2023-02-27,NE,0,0.0,none
2023-02-27,MA,0,0.0,none
2023-02-27,SE,0,0.0,none
2023-02-27,MW,0,0.0,none
2023-02-27,MT,0,0.0,none
2023-02-27,WE,0,0.0,none
2023-03-06,NE,0,0.0,none
2023-03-06,MA,0,0.0,none
2023-03-06,SE,0,0.0,none
2023-03-06,MW,0,0.0,none
2023-03-06,MT,0,0.0,none
2023-03-06,WE,0,0.0,none
2023-03-13,NE,0,0.0,none
2023-03-13,MA,0,0.0,none
2023-03-13,SE,0,0.0,none
2023-03-13,MW,0,0.0,none
2023-03-13,MT,0,0.0,none
2023-03-13,WE,0,0.0,none
2023-03-20,NE,0,0.0,none
2023-03-20,MA,0,0.0,none
2023-03-20,SE,0,0.0,none
2023-03-20,MW,0,0.0,none
2023-03-20,MT,0,0.0,none
2023-03-20,WE,0,0.0,none
2023-03-27,NE,0,0.0,none
2023-03-27,MA,0,0.0,none
2023-03-27,SE,0,0.0,none
2023-03-27,MW,0,0.0,none
2023-03-27,MT,0,0.0,none
2023-03-27,WE,0,0.0,none
2023-04-03,NE,1,0.283,coordinated_with_media
2023-04-03,MA,1,0.285,coordinated_with_media
2023-04-03,SE,1,0.225,coordinated_with_media
2023-04-03,MW,1,0.291,coordinated_with_media
2023-04-03,MT,1,0.278,coordinated_with_media
2023-04-03,WE,1,0.27,coordinated_with_media
2023-04-10,NE,0,0.0,none
2023-04-10,MA,0,0.0,none
2023-04-10,SE,0,0.0,none
2023-04-10,MW,0,0.0,none
2023-04-10,MT,0,0.0,none
2023-04-10,WE,0,0.0,none
2023-04-17,NE,0,0.0,none
2023-04-17,MA,0,0.0,none
2023-04-17,SE,0,0.0,none
2023-04-17,MW,0,0.0,none
2023-04-17,MT,0,0.0,none
2023-04-17,WE,0,0.0,none
2023-04-24,NE,0,0.0,none
2023-04-24,MA,0,0.0,none
2023-04-24,SE,0,0.0,none
2023-04-24,MW,0,0.0,none
2023-04-24,MT,0,0.0,none
2023-04-24,WE,0,0.0,none
2023-05-01,NE,0,0.0,none
2023-05-01,MA,0,0.0,none
2023-05-01,SE,0,0.0,none
2023-05-01,MW,0,0.0,none
2023-05-01,MT,0,0.0,none
2023-05-01,WE,0,0.0,none
2023-05-08,NE,1,0.144,independent
2023-05-08,MA,1,0.17,independent
2023-05-08,SE,1,0.167,independent
2023-05-08,MW,1,0.163,independent
2023-05-08,MT,1,0.169,independent
2023-05-08,WE,1,0.161,independent
2023-05-15,NE,0,0.0,none
2023-05-15,MA,0,0.0,none
2023-05-15,SE,0,0.0,none
2023-05-15,MW,0,0.0,none
2023-05-15,MT,0,0.0,none
2023-05-15,WE,0,0.0,none
2023-05-22,NE,0,0.0,none
2023-05-22,MA,0,0.0,none
2023-05-22,SE,0,0.0,none
2023-05-22,MW,0,0.0,none
2023-05-22,MT,0,0.0,none
2023-05-22,WE,0,0.0,none
2023-05-29,NE,0,0.0,none
2023-05-29,MA,0,0.0,none
2023-05-29,SE,0,0.0,none
2023-05-29,MW,0,0.0,none
2023-05-29,MT,0,0.0,none
2023-05-29,WE,0,0.0,none
2023-06-05,NE,0,0.0,none
2023-06-05,MA,0,0.0,none
2023-06-05,SE,0,0.0,none
2023-06-05,MW,0,0.0,none
2023-06-05,MT,0,0.0,none
2023-06-05,WE,0,0.0,none
2023-06-12,NE,1,0.242,coordinated_with_media
2023-06-12,MA,1,0.243,coordinated_with_media
2023-06-12,SE,1,0.298,coordinated_with_media
2023-06-12,MW,1,0.293,coordinated_with_media
2023-06-12,MT,1,0.284,coordinated_with_media
2023-06-12,WE,1,0.255,coordinated_with_media
2023-06-19,NE,0,0.0,none
2023-06-19,MA,0,0.0,none
2023-06-19,SE,0,0.0,none
2023-06-19,MW,0,0.0,none
2023-06-19,MT,0,0.0,none
2023-06-19,WE,0,0.0,none
2023-06-26,NE,0,0.0,none
2023-06-26,MA,0,0.0,none
2023-06-26,SE,0,0.0,none
2023-06-26,MW,0,0.0,none
