week_start,geo,orders,net_revenue,average_order_value
2023-01-02,NE,466,55686.98,119.5
2023-01-02,MA,475,57866.26,121.82
2023-01-02,SE,397,48537.49,122.26
2023-01-02,MW,443,54346.66,122.68
2023-01-02,MT,338,40205.17,118.95
2023-01-02,WE,517,60056.49,116.16
2023-01-09,NE,464,54710.21,117.91
2023-01-09,MA,448,51778.19,115.58
2023-01-09,SE,414,51023.76,123.25
2023-01-09,MW,432,50537.25,116.98
2023-01-09,MT,380,45981.21,121.0
2023-01-09,WE,488,59392.43,121.71
2023-01-16,NE,496,59337.33,119.63
2023-01-16,MA,447,54450.11,121.81
2023-01-16,SE,398,47853.33,120.23
2023-01-16,MW,456,55120.48,120.88
2023-01-16,MT,330,38543.17,116.8
2023-01-16,WE,522,64211.82,123.01
2023-01-23,NE,582,71166.75,122.28
2023-01-23,MA,543,63713.78,117.34
2023-01-23,SE,495,60022.41,121.26
2023-01-23,MW,506,60506.46,119.58
2023-01-23,MT,441,53669.78,121.7
2023-01-23,WE,615,75170.03,122.23
2023-01-30,NE,470,57447.56,122.23
2023-01-30,MA,450,53815.65,119.59
2023-01-30,SE,408,50865.43,124.67
2023-01-30,MW,424,49998.08,117.92
2023-01-30,MT,353,43787.23,124.04
2023-01-30,WE,517,63676.33,123.17
2023-02-06,NE,500,62362.4,124.72
2023-02-06,MA,454,55740.83,122.78
2023-02-06,SE,403,49746.74,123.44
2023-02-06,MW,451,54517.63,120.88
2023-02-06,MT,349,41470.2,118.83
2023-02-06,WE,558,69647.81,124.82
2023-02-13,NE,506,61881.93,122.3
2023-02-13,MA,472,56525.64,119.76
2023-02-13,SE,429,52113.73,121.48
2023-02-13,MW,445,54229.05,121.86
2023-02-13,MT,361,44761.77,123.99
2023-02-13,WE,499,59382.62,119.0
2023-02-20,NE,574,71007.07,123.71
2023-02-20,MA,536,67576.6,126.08
2023-02-20,SE,491,61823.26,125.91
2023-02-20,MW,520,64114.95,123.3
2023-02-20,MT,413,50101.32,121.31
2023-02-20,WE,615,76093.41,123.73
2023-02-27,NE,514,64222.65,124.95
2023-02-27,MA,493,61664.42,125.08
2023-02-27,SE,447,53948.72,120.69
2023-02-27,MW,453,54389.37,120.06
2023-02-27,MT,369,44180.63,119.73
2023-02-27,WE,541,65925.64,121.86
2023-03-06,NE,578,70898.57,122.66
2023-03-06,MA,585,70618.93,120.72
2023-03-06,SE,487,61233.72,125.74
2023-03-06,MW,496,60281.75,121.54
2023-03-06,MT,450,53983.87,119.96
2023-03-06,WE,640,76836.19,120.06
2023-03-13,NE,592,69188.15,116.87
2023-03-13,MA,528,63966.38,121.15
2023-03-13,SE,500,59953.32,119.91
2023-03-13,MW,513,61024.58,118.96
2023-03-13,MT,441,52201.19,118.37
2023-03-13,WE,639,76971.65,120.46
2023-03-20,NE,602,73172.62,121.55
2023-03-20,MA,549,65464.75,119.24
2023-03-20,SE,518,63966.91,123.49
2023-03-20,MW,556,67638.61,121.65
2023-03-20,MT,414,48894.82,118.1
2023-03-20,WE,641,74720.88,116.57
2023-03-27,NE,612,73370.11,119.89
2023-03-27,MA,569,66467.1,116.81
2023-03-27,SE,501,59352.36,118.47
2023-03-27,MW,545,66787.07,122.55
2023-03-27,MT,473,56284.91,119.0
2023-03-27,WE,641,74895.02,116.84
2023-04-03,NE,749,86362.39,115.3
2023-04-03,MA,685,82212.28,120.02
2023-04-03,SE,617,72216.18,117.04
2023-04-03,MW,620,71489.17,115.31
2023-04-03,MT,560,64778.04,115.68
2023-04-03,WE,770,94216.54,122.36
2023-04-10,NE,637,73789.48,115.84
2023-04-10,MA,562,64438.54,114.66
2023-04-10,SE,524,60272.66,115.02
2023-04-10,MW,547,66244.51,121.11
2023-04-10,MT,447,54301.54,121.48
2023-04-10,WE,618,71215.82,115.24
2023-04-17,NE,610,73370.92,120.28
2023-04-17,MA,584,67299.22,115.24
2023-04-17,SE,530,60090.78,113.38
2023-04-17,MW,500,59587.92,119.18
2023-04-17,MT,459,52889.3,115.23
2023-04-17,WE,676,77251.59,114.28
2023-04-24,NE,599,68682.75,114.66
2023-04-24,MA,559,66007.7,118.08
2023-04-24,SE,545,62913.68,115.44
2023-04-24,MW,546,64905.7,118.87
2023-04-24,MT,490,55781.18,113.84
2023-04-24,WE,666,78546.31,117.94
2023-05-01,NE,637,71350.26,112.01
2023-05-01,MA,613,71930.93,117.34
2023-05-01,SE,582,67083.73,115.26
2023-05-01,MW,556,62720.03,112.81
2023-05-01,MT,473,55098.23,116.49
2023-05-01,WE,711,82037.44,115.38
2023-05-08,NE,652,72861.54,111.75
2023-05-08,MA,659,76964.31,116.79
2023-05-08,SE,588,66410.84,112.94
2023-05-08,MW,607,70922.58,116.84
2023-05-08,MT,507,59875.64,118.1
2023-05-08,WE,727,83579.35,114.96
2023-05-15,NE,588,69181.37,117.66
2023-05-15,MA,605,71424.14,118.06
2023-05-15,SE,566,64337.8,113.67
2023-05-15,MW,569,63302.77,111.25
2023-05-15,MT,494,54992.28,111.32
2023-05-15,WE,671,79093.49,117.87
2023-05-22,NE,648,72160.71,111.36
2023-05-22,MA,601,67763.09,112.75
2023-05-22,SE,559,65744.13,117.61
2023-05-22,MW,542,64263.31,118.57
2023-05-22,MT,456,52883.96,115.97
2023-05-22,WE,678,75699.3,111.65
2023-05-29,NE,636,75315.01,118.42
2023-05-29,MA,640,72845.7,113.82
2023-05-29,SE,531,59770.03,112.56
2023-05-29,MW,578,66876.47,115.7
2023-05-29,MT,468,53534.63,114.39
2023-05-29,WE,674,78885.97,117.04
2023-06-05,NE,625,73725.07,117.96
2023-06-05,MA,539,62402.94,115.78
2023-06-05,SE,521,58596.73,112.47
2023-06-05,MW,550,64383.55,117.06
2023-06-05,MT,434,49489.4,114.03
2023-06-05,WE,674,75835.97,112.52
2023-06-12,NE,762,86991.38,114.16
2023-06-12,MA,669,77758.69,116.23
2023-06-12,SE,600,72068.97,120.11
2023-06-12,MW,624,73994.8,118.58
2023-06-12,MT,536,61417.29,114.58
2023-06-12,WE,727,83306.23,114.59
2023-06-19,NE,598,68091.86,113.87
2023-06-19,MA,597,70069.14,117.37
2023-06-19,SE,494,58242.23,117.9
2023-06-19,MW,474,56418.22,119.03
2023-06-19,MT,433,52324.61,120.84
2023-06-19,WE,619,74195.74,119.86
2023-06-26,NE,539,63564.61,117.93
2023-06-26,MA,567,65125.27,114.86
2023-06-26,SE,514,60520.44,117.74
2023-06-26,MW,501,60662.13,121.08
2023-06-26,MT,444,53108.77,119.61
2023-06-26,WE,598,72554.75,121.33
2023-07-03,NE,585,68098.61,116.41
2023-07-03,MA,523,61780.9,118.13
2023-07-03,SE,455,52256.79,114.85
2023-07-03,MW,488,57217.84,117.25
2023-07-03,MT,462,55180.74,119.44
2023-07-03,WE,680,80004.67,117.65
