date,geo,campaign_name,impressions,clicks,spend,ctr
2022-10-24,NE,Prospecting | Trail,10632,127,98.31,0.011945
2022-10-25,NE,Prospecting | Trail,7306,114,90.22,0.015604
2022-10-26,NE,Prospecting | Trail,10988,109,96.3,0.00992
2022-10-27,NE,Prospecting | Trail,9601,107,107.36,0.011145
2022-10-28,NE,Prospecting | Trail,8577,112,90.42,0.013058
2022-10-29,NE,Prospecting | Trail,9290,124,89.21,0.013348
2022-10-30,NE,Prospecting | Trail,10167,108,80.46,0.010623
2022-10-24,NE,Retargeting | Site Visitors,5790,84,71.41,0.014508
2022-10-25,NE,Retargeting | Site Visitors,5863,107,62.37,0.01825
2022-10-26,NE,Retargeting | Site Visitors,5567,103,64.09,0.018502
2022-10-27,NE,Retargeting | Site Visitors,4951,100,60.66,0.020198
2022-10-28,NE,Retargeting | Site Visitors,6248,101,60.72,0.016165
2022-10-29,NE,Retargeting | Site Visitors,4946,115,72.67,0.023251
2022-10-30,NE,Retargeting | Site Visitors,5147,84,50.99,0.01632
2022-10-24,MA,Prospecting | Trail,8369,90,90.84,0.010754
2022-10-25,MA,Prospecting | Trail,11547,116,87.29,0.010046
2022-10-26,MA,Prospecting | Trail,7575,108,88.88,0.014257
2022-10-27,MA,Prospecting | Trail,11689,105,73.97,0.008983
2022-10-28,MA,Prospecting | Trail,8057,125,89.62,0.015514
2022-10-29,MA,Prospecting | Trail,8395,125,93.79,0.01489
2022-10-30,MA,Prospecting | Trail,8555,89,104.64,0.010403
2022-10-24,MA,Retargeting | Site Visitors,5004,89,44.46,0.017786
2022-10-25,MA,Retargeting | Site Visitors,4573,80,52.57,0.017494
2022-10-26,MA,Retargeting | Site Visitors,4676,87,58.37,0.018606
2022-10-27,MA,Retargeting | Site Visitors,4777,101,43.22,0.021143
2022-10-28,MA,Retargeting | Site Visitors,5001,107,65.75,0.021396
2022-10-29,MA,Retargeting | Site Visitors,3870,88,55.18,0.022739
2022-10-30,MA,Retargeting | Site Visitors,4772,83,56.2,0.017393
2022-10-24,SE,Prospecting | Trail,6831,99,66.61,0.014493
2022-10-25,SE,Prospecting | Trail,9377,116,84.75,0.012371
2022-10-26,SE,Prospecting | Trail,6970,116,88.49,0.016643
2022-10-27,SE,Prospecting | Trail,7598,118,85.18,0.01553
2022-10-28,SE,Prospecting | Trail,9838,87,65.17,0.008843
2022-10-29,SE,Prospecting | Trail,7206,81,82.36,0.011241
2022-10-30,SE,Prospecting | Trail,7890,89,73.4,0.01128
