week_start,geo,weather_index
2023-01-02,NE,31.786
2023-01-02,MA,31.19
2023-01-02,SE,30.183
2023-01-02,MW,33.672
2023-01-02,MT,35.121
2023-01-02,WE,29.238
2023-01-09,NE,32.944
2023-01-09,MA,32.165
2023-01-09,SE,30.999
2023-01-09,MW,31.77
2023-01-09,MT,36.036
2023-01-09,WE,30.34
2023-01-16,NE,36.207
2023-01-16,MA,33.578
2023-01-16,SE,31.952
2023-01-16,MW,34.748
2023-01-16,MT,38.47
2023-01-16,WE,31.777
2023-01-23,NE,33.997
2023-01-23,MA,36.709
2023-01-23,SE,36.158
2023-01-23,MW,33.687
2023-01-23,MT,38.773
2023-01-23,WE,34.355
2023-01-30,NE,38.644
2023-01-30,MA,37.34
2023-01-30,SE,38.899
2023-01-30,MW,38.193
2023-01-30,MT,41.666
2023-01-30,WE,39.2
2023-02-06,NE,40.169
2023-02-06,MA,37.359
2023-02-06,SE,40.355
2023-02-06,MW,41.364
2023-02-06,MT,40.831
2023-02-06,WE,39.103
2023-02-13,NE,43.928
2023-02-13,MA,42.231
2023-02-13,SE,44.105
2023-02-13,MW,40.421
2023-02-13,MT,44.004
2023-02-13,WE,41.384
2023-02-20,NE,46.241
2023-02-20,MA,44.65
2023-02-20,SE,44.689
2023-02-20,MW,42.429
2023-02-20,MT,45.675
2023-02-20,WE,42.087
2023-02-27,NE,45.055
2023-02-27,MA,46.719
2023-02-27,SE,48.189
2023-02-27,MW,47.234
2023-02-27,MT,51.454
2023-02-27,WE,48.496
2023-03-06,NE,48.82
2023-03-06,MA,47.077
2023-03-06,SE,51.432
2023-03-06,MW,50.404
2023-03-06,MT,52.181
2023-03-06,WE,50.742
2023-03-13,NE,52.609
2023-03-13,MA,50.272
2023-03-13,SE,52.297
2023-03-13,MW,51.684
2023-03-13,MT,58.123
2023-03-13,WE,53.963
2023-03-20,NE,56.114
2023-03-20,MA,54.171
2023-03-20,SE,56.487
2023-03-20,MW,53.781
2023-03-20,MT,59.335
2023-03-20,WE,56.732
2023-03-27,NE,59.409
2023-03-27,MA,57.043
2023-03-27,SE,59.556
2023-03-27,MW,59.272
2023-03-27,MT,58.979
2023-03-27,WE,59.108
2023-04-03,NE,60.434
2023-04-03,MA,59.988
2023-04-03,SE,58.817
2023-04-03,MW,59.542
2023-04-03,MT,67.622
2023-04-03,WE,58.931
2023-04-10,NE,62.488
2023-04-10,MA,59.951
2023-04-10,SE,61.496
2023-04-10,MW,64.281
2023-04-10,MT,66.904
2023-04-10,WE,63.928
2023-04-17,NE,66.088
2023-04-17,MA,63.3
2023-04-17,SE,62.202
2023-04-17,MW,65.319
2023-04-17,MT,69.802
2023-04-17,WE,64.436
2023-04-24,NE,65.048
2023-04-24,MA,65.44
2023-04-24,SE,65.096
2023-04-24,MW,68.357
2023-04-24,MT,68.848
2023-04-24,WE,67.312
2023-05-01,NE,69.127
2023-05-01,MA,69.272
2023-05-01,SE,69.8
2023-05-01,MW,70.674
2023-05-01,MT,73.989
2023-05-01,WE,69.773
2023-05-08,NE,71.696
2023-05-08,MA,72.162
2023-05-08,SE,71.368
2023-05-08,MW,67.756
2023-05-08,MT,75.014
2023-05-08,WE,68.662
2023-05-15,NE,73.355
2023-05-15,MA,72.739
2023-05-15,SE,70.492
2023-05-15,MW,72.842
2023-05-15,MT,75.716
2023-05-15,WE,71.137
2023-05-22,NE,70.244
2023-05-22,MA,72.244
2023-05-22,SE,74.694
2023-05-22,MW,72.377
2023-05-22,MT,74.684
2023-05-22,WE,72.657
2023-05-29,NE,71.732
2023-05-29,MA,71.528
2023-05-29,SE,74.875
2023-05-29,MW,74.531
2023-05-29,MT,75.707
2023-05-29,WE,73.351
2023-06-05,NE,73.532
2023-06-05,MA,76.139
2023-06-05,SE,72.562
2023-06-05,MW,73.51
2023-06-05,MT,78.857
2023-06-05,WE,75.549
2023-06-12,NE,74.106
2023-06-12,MA,73.233
2023-06-12,SE,72.686
2023-06-12,MW,72.285
2023-06-12,MT,78.652
2023-06-12,WE,73.174
2023-06-19,NE,75.155
2023-06-19,MA,74.207
2023-06-19,SE,74.887
2023-06-19,MW,74.628
2023-06-19,MT,76.934
2023-06-19,WE,75.03
2023-06-26,NE,74.261
2023-06-26,MA,71.489
2023-06-26,SE,75.422
2023-06-26,MW,73.702
2023-06-26,MT,78.329
2023-06-26,WE,71.858
2023-07-03,NE,74.708
2023-07-03,MA,72.883
2023-07-03,SE,73.497
2023-07-03,MW,73.421
2023-07-03,MT,78.14
2023-07-03,WE,73.155
2023-07-10,NE,70.228
2023-07-10,MA,71.406
2023-07-10,SE,71.295
2023-07-10,MW,72.169
2023-07-10,MT,76.299
2023-07-10,WE,71.718
2023-07-17,NE,70.47
2023-07-17,MA,70.792
2023-07-17,SE,70.098
2023-07-17,MW,68.403
2023-07-17,MT,74.968
2023-07-17,WE,70.387
2023-07-24,NE,66.189
2023-07-24,MA,68.117
2023-07-24,SE,67.762
2023-07-24,MW,70.667
2023-07-24,MT,73.61
2023-07-24,WE,68.694
2023-07-31,NE,68.302
2023-07-31,MA,67.93
2023-07-31,SE,68.263
2023-07-31,MW,66.149
2023-07-31,MT,68.061
2023-07-31,WE,67.643
2023-08-07,NE,62.434
2023-08-07,MA,66.845
2023-08-07,SE,62.392
2023-08-07,MW,62.703
2023-08-07,MT,67.853
2023-08-07,WE,66.663
2023-08-14,NE,63.128
2023-08-14,MA,62.2
2023-08-14,SE,63.209
2023-08-14,MW,61.472
2023-08-14,MT,66.429
2023-08-14,WE,61.621
2023-08-21,NE,60.598
2023-08-21,MA,58.255
2023-08-21,SE,57.64
2023-08-21,MW,59.684
2023-08-21,MT,65.8
2023-08-21,WE,58.44
2023-08-28,NE,56.336
2023-08-28,MA,58.642
2023-08-28,SE,59.219
2023-08-28,MW,58.469
2023-08-28,MT,62.592
2023-08-28,WE,58.548
2023-09-04,NE,52.653
2023-09-04,MA,55.677
2023-09-04,SE,54.764
2023-09-04,MW,54.274
2023-09-04,MT,57.642
2023-09-04,WE,55.032
2023-09-11,NE,50.606
2023-09-11,MA,51.508
2023-09-11,SE,53.441
2023-09-11,MW,52.641
2023-09-11,MT,57.348
2023-09-11,WE,53.193
2023-09-18,NE,49.971
2023-09-18,MA,47.902
2023-09-18,SE,47.158
2023-09-18,MW,47.8
2023-09-18,MT,50.336
2023-09-18,WE,49.195
2023-09-25,NE,46.917
2023-09-25,MA,47.27
2023-09-25,SE,48.288
2023-09-25,MW,47.266
2023-09-25,MT,48.678
2023-09-25,WE,45.168
2023-10-02,NE,42.746
2023-10-02,MA,45.989
2023-10-02,SE,44.919
2023-10-02,MW,44.502
2023-10-02,MT,45.937
2023-10-02,WE,42.898
2023-10-09,NE,40.252
2023-10-09,MA,43.878
2023-10-09,SE,42.566
2023-10-09,MW,40.163
2023-10-09,MT,44.926
2023-10-09,WE,40.836
2023-10-16,NE,38.615
2023-10-16,MA,41.72
2023-10-16,SE,37.644
2023-10-16,MW,38.322
2023-10-16,MT,40.812
2023-10-16,WE,37.306
2023-10-23,NE,38.471
2023-10-23,MA,36.314
2023-10-23,SE,38.821
2023-10-23,MW,36.917
2023-10-23,MT,42.321
2023-10-23,WE,39.537
2023-10-30,NE,37.868
2023-10-30,MA,36.761
2023-10-30,SE,37.138
2023-10-30,MW,34.762
2023-10-30,MT,40.921
2023-10-30,WE,35.337
2023-11-06,NE,32.724
2023-11-06,MA,35.206
2023-11-06,SE,36.192
2023-11-06,MW,33.246
2023-11-06,MT,37.55
2023-11-06,WE,31.742
2023-11-13,NE,30.524
2023-11-13,MA,32.933
2023-11-13,SE,31.059
2023-11-13,MW,31.876
2023-11-13,MT,35.11
2023-11-13,WE,34.723
2023-11-20,NE,30.993
2023-11-20,MA,29.26
2023-11-20,SE,30.546
2023-11-20,MW,29.865
2023-11-20,MT,35.351
2023-11-20,WE,31.952
2023-11-27,NE,31.537
2023-11-27,MA,32.06
2023-11-27,SE,30.861
2023-11-27,MW,28.885
2023-11-27,MT,36.013
2023-11-27,WE,29.663
2023-12-04,NE,30.371
2023-12-04,MA,30.534
2023-12-04,SE,31.379
2023-12-04,MW,31.266
2023-12-04,MT,35.59
2023-12-04,WE,30.02
2023-12-11,NE,30.945
2023-12-11,MA,31.169
2023-12-11,SE,30.426
2023-12-11,MW,29.629
2023-12-11,MT,31.653
2023-12-11,WE,32.036
2023-12-18,NE,30.314
2023-12-18,MA,32.449
2023-12-18,SE,30.997
2023-12-18,MW,32.237
2023-12-18,MT,34.476
2023-12-18,WE,30.052
2023-12-25,NE,32.891
2023-12-25,MA,31.999
2023-12-25,SE,29.225
2023-12-25,MW,28.999
2023-12-25,MT,37.073
2023-12-25,WE,31.212
2024-01-01,NE,31.194
2024-01-01,MA,30.671
2024-01-01,SE,32.507
2024-01-01,MW,29.4
2024-01-01,MT,29.991
2024-01-01,WE,32.967
2024-01-08,NE,33.37
2024-01-08,MA,31.4
2024-01-08,SE,31.848
2024-01-08,MW,32.074
2024-01-08,MT,30.298
2024-01-08,WE,31.039
2024-01-15,NE,35.304
2024-01-15,MA,35.124
2024-01-15,SE,34.042
2024-01-15,MW,35.041
2024-01-15,MT,35.203
2024-01-15,WE,33.282
2024-01-22,NE,37.916
2024-01-22,MA,37.926
2024-01-22,SE,33.723
2024-01-22,MW,36.104
2024-01-22,MT,34.918
2024-01-22,WE,34.114
2024-01-29,NE,38.525
2024-01-29,MA,39.217
2024-01-29,SE,35.5
2024-01-29,MW,38.926
2024-01-29,MT,39.744
2024-01-29,WE,37.308
2024-02-05,NE,38.486
2024-02-05,MA,40.723
2024-02-05,SE,41.125
2024-02-05,MW,41.458
2024-02-05,MT,45.015
2024-02-05,WE,41.084
2024-02-12,NE,39.941
2024-02-12,MA,39.782
2024-02-12,SE,42.575
2024-02-12,MW,44.016
2024-02-12,MT,46.701
2024-02-12,WE,43.082
2024-02-19,NE,42.86
2024-02-19,MA,45.286
2024-02-19,SE,41.917
2024-02-19,MW,45.585
2024-02-19,MT,46.263
2024-02-19,WE,42.996
2024-02-26,NE,48.334
2024-02-26,MA,44.612
2024-02-26,SE,45.245
2024-02-26,MW,45.649
2024-02-26,MT,51.724
2024-02-26,WE,47.983
2024-03-04,NE,49.361
2024-03-04,MA,48.235
2024-03-04,SE,51.673
2024-03-04,MW,48.918
2024-03-04,MT,52.418
2024-03-04,WE,49.466
2024-03-11,NE,53.988
2024-03-11,MA,49.631
2024-03-11,SE,53.598
2024-03-11,MW,50.776
2024-03-11,MT,56.487
2024-03-11,WE,51.713
2024-03-18,NE,56.83
2024-03-18,MA,55.74
2024-03-18,SE,56.204
2024-03-18,MW,53.055
2024-03-18,MT,60.802
2024-03-18,WE,55.542
2024-03-25,NE,59.472
2024-03-25,MA,59.152
2024-03-25,SE,56.51
2024-03-25,MW,55.094
2024-03-25,MT,60.186
2024-03-25,WE,57.913
2024-04-01,NE,57.667
2024-04-01,MA,57.982
2024-04-01,SE,61.841
2024-04-01,MW,61.574
2024-04-01,MT,62.769
2024-04-01,WE,61.713
2024-04-08,NE,64.154
2024-04-08,MA,60.985
2024-04-08,SE,64.045
2024-04-08,MW,61.243
2024-04-08,MT,68.443
2024-04-08,WE,63.537
2024-04-15,NE,64.105
2024-04-15,MA,62.788
2024-04-15,SE,63.697
2024-04-15,MW,64.14
2024-04-15,MT,68.906
2024-04-15,WE,63.608
2024-04-22,NE,68.432
2024-04-22,MA,66.374
2024-04-22,SE,68.717
2024-04-22,MW,67.267
2024-04-22,MT,72.824
2024-04-22,WE,64.358
2024-04-29,NE,68.743
2024-04-29,MA,68.626
2024-04-29,SE,66.454
2024-04-29,MW,70.368
2024-04-29,MT,73.278
2024-04-29,WE,70.001
2024-05-06,NE,71.438
2024-05-06,MA,72.005
2024-05-06,SE,71.177
2024-05-06,MW,69.841
2024-05-06,MT,76.912
2024-05-06,WE,71.101
2024-05-13,NE,70.647
2024-05-13,MA,73.452
2024-05-13,SE,72.54
2024-05-13,MW,70.796
2024-05-13,MT,76.36
2024-05-13,WE,70.584
2024-05-20,NE,70.612
2024-05-20,MA,71.106
2024-05-20,SE,72.072
2024-05-20,MW,71.858
2024-05-20,MT,77.117
2024-05-20,WE,74.289
2024-05-27,NE,75.037
2024-05-27,MA,74.325
2024-05-27,SE,73.427
2024-05-27,MW,73.501
2024-05-27,MT,79.066
2024-05-27,WE,72.094
2024-06-03,NE,74.084
2024-06-03,MA,73.453
2024-06-03,SE,73.126
2024-06-03,MW,75.643
2024-06-03,MT,76.756
2024-06-03,WE,75.016
2024-06-10,NE,75.644
2024-06-10,MA,72.209
2024-06-10,SE,75.49
2024-06-10,MW,73.331
2024-06-10,MT,78.301
2024-06-10,WE,76.216
2024-06-17,NE,73.34
2024-06-17,MA,72.553
2024-06-17,SE,74.101
2024-06-17,MW,72.959
2024-06-17,MT,75.641
2024-06-17,WE,74.801
2024-06-24,NE,71.104
2024-06-24,MA,72.692
2024-06-24,SE,75.015
2024-06-24,MW,74.581
2024-06-24,MT,79.053
2024-06-24,WE,75.714
2024-07-01,NE,70.961
2024-07-01,MA,74.805
2024-07-01,SE,72.957
2024-07-01,MW,72.317
2024-07-01,WE,73.865
2024-07-08,NE,71.172
2024-07-08,MA,71.385
2024-07-08,SE,70.258
2024-07-08,MW,73.653
2024-07-08,MT,76.613
2024-07-08,WE,71.009
2024-07-15,NE,70.034
2024-07-15,MA,69.024
2024-07-15,SE,71.733
2024-07-15,MW,67.879
2024-07-15,MT,72.596
2024-07-15,WE,68.353
2024-07-22,NE,69.864
2024-07-22,MA,66.334
2024-07-22,SE,68.523
2024-07-22,MW,68.983
2024-07-22,MT,69.94
2024-07-22,WE,67.959
2024-07-29,NE,65.705
2024-07-29,MA,68.885
2024-07-29,SE,66.253
2024-07-29,MW,66.344
2024-07-29,MT,68.222
2024-07-29,WE,68.884
2024-08-05,NE,63.947
2024-08-05,MA,66.574
2024-08-05,SE,62.891
2024-08-05,MW,64.254
2024-08-05,MT,69.35
2024-08-05,WE,63.35
2024-08-12,NE,63.941
2024-08-12,MA,60.665
2024-08-12,SE,61.181
2024-08-12,MW,64.554
2024-08-12,MT,66.142
2024-08-12,WE,64.445
2024-08-19,NE,57.924
2024-08-19,MA,60.112
2024-08-19,SE,60.76
2024-08-19,MW,58.46
2024-08-19,MT,61.793
2024-08-19,WE,60.883
2024-08-26,NE,56.802
2024-08-26,MA,58.46
2024-08-26,SE,59.429
2024-08-26,MW,54.905
2024-08-26,MT,61.212
2024-08-26,WE,57.733
2024-09-02,NE,55.85
2024-09-02,MA,55.472
2024-09-02,SE,57.028
2024-09-02,MW,55.249
2024-09-02,MT,58.117
2024-09-02,WE,55.786
2024-09-09,NE,49.926
2024-09-09,MA,54.272
2024-09-09,SE,49.952
2024-09-09,MW,50.796
2024-09-09,MT,56.298
2024-09-09,WE,50.705
2024-09-16,NE,50.003
2024-09-16,MA,48.964
2024-09-16,SE,49.122
2024-09-16,MW,49.2
2024-09-16,MT,53.18
2024-09-16,WE,48.3
2024-09-23,NE,46.662
2024-09-23,MA,47.215
2024-09-23,SE,47.396
2024-09-23,MW,46.973
2024-09-23,MT,50.005
2024-09-23,WE,45.703
2024-09-30,NE,44.185
2024-09-30,MA,43.236
2024-09-30,SE,42.877
2024-09-30,MW,44.742
2024-09-30,MT,45.243
2024-09-30,WE,43.1
2024-10-07,NE,40.004
2024-10-07,MA,40.671
2024-10-07,SE,43.422
2024-10-07,MW,41.423
2024-10-07,MT,46.725
2024-10-07,WE,43.369
2024-10-14,NE,37.89
2024-10-14,MA,40.065
2024-10-14,SE,39.871
2024-10-14,MW,40.829
2024-10-14,MT,45.742
2024-10-14,WE,39.555
2024-10-21,NE,36.943
2024-10-21,MA,38.802
2024-10-21,SE,39.283
2024-10-21,MW,35.047
2024-10-21,MT,40.718
2024-10-21,WE,39.652
2024-10-28,NE,36.615
2024-10-28,MA,37.182
2024-10-28,SE,36.411
2024-10-28,MW,35.478
2024-10-28,MT,40.186
2024-10-28,WE,34.74
2024-11-04,NE,33.903
2024-11-04,MA,35.22
2024-11-04,SE,36.036
2024-11-04,MW,35.617
2024-11-04,MT,38.248
2024-11-04,WE,35.614
2024-11-11,NE,32.999
2024-11-11,MA,32.252
2024-11-11,SE,32.784
2024-11-11,MW,32.096
2024-11-11,MT,34.964
2024-11-11,WE,32.679
2024-11-18,NE,32.318
2024-11-18,MA,30.2
2024-11-18,SE,31.717
2024-11-18,MW,29.582
2024-11-18,MT,37.323
2024-11-18,WE,31.386
2024-11-25,NE,30.596
2024-11-25,MA,31.325
2024-11-25,SE,31.06
2024-11-25,MW,28.535
2024-11-25,MT,35.892
2024-11-25,WE,28.377
2024-12-02,NE,31.725
2024-12-02,MA,28.678
2024-12-02,SE,32.273
2024-12-02,MW,27.845
2024-12-02,MT,35.705
2024-12-02,WE,32.04
2024-12-09,NE,30.12
2024-12-09,MA,31.003
2024-12-09,SE,27.884
2024-12-09,MW,31.11
2024-12-09,MT,32.119
2024-12-09,WE,31.765
2024-12-16,NE,28.894
2024-12-16,MA,30.833
2024-12-16,SE,30.241
2024-12-16,MW,28.838
2024-12-16,MT,33.561
2024-12-16,WE,31.491
2024-12-23,NE,32.579
2024-12-23,MA,31.272
2024-12-23,SE,30.297
2024-12-23,MW,32.33
2024-12-23,MT,37.303
2024-12-23,WE,30.535
2024-12-30,NE,29.847
2024-12-30,MA,32.907
2024-12-30,SE,32.148
2024-12-30,MW,30.38
2024-12-30,MT,37.443
2024-12-30,WE,31.94
2025-01-06,NE,31.436
2025-01-06,MA,32.695
2025-01-06,MW,34.238
2025-01-06,MT,37.913
2025-01-06,WE,31.448
2025-01-13,NE,31.629
2025-01-13,MA,35.527
2025-01-13,SE,34.616
2025-01-13,MW,33.375
2025-01-13,MT,34.889
2025-01-13,WE,31.601
2025-01-20,NE,34.476
2025-01-20,MA,33.577
2025-01-20,SE,34.633
2025-01-20,MW,36.068
2025-01-20,MT,38.663
2025-01-20,WE,36.437
2025-01-27,NE,35.303
2025-01-27,MA,38.145
2025-01-27,SE,39.441
2025-01-27,MW,35.425
2025-01-27,MT,38.241
2025-01-27,WE,36.669
2025-02-03,NE,40.618
2025-02-03,MA,37.541
2025-02-03,SE,39.46
2025-02-03,MW,40.63
2025-02-03,MT,43.255
2025-02-03,WE,41.721
2025-02-10,NE,41.446
2025-02-10,MA,41.585
2025-02-10,SE,44.143
2025-02-10,MW,40.062
2025-02-10,MT,44.676
2025-02-10,WE,41.085
2025-02-17,NE,46.204
2025-02-17,MA,44.736
2025-02-17,SE,41.995
2025-02-17,MW,46.338
2025-02-17,MT,49.438
2025-02-17,WE,45.881
2025-02-24,NE,47.478
2025-02-24,MA,44.535
2025-02-24,SE,48.485
2025-02-24,MW,48.846
2025-02-24,MT,49.724
2025-02-24,WE,47.287
2025-03-03,NE,48.152
2025-03-03,MA,51.103
2025-03-03,SE,50.164
2025-03-03,MW,48.031
2025-03-03,MT,53.466
2025-03-03,WE,47.769
2025-03-10,NE,49.634
2025-03-10,MA,50.233
2025-03-10,SE,50.768
2025-03-10,MW,49.965
2025-03-10,MT,54.628
2025-03-10,WE,53.908
2025-03-17,NE,52.869
2025-03-17,MA,56.548
2025-03-17,SE,55.014
2025-03-17,MW,55.209
2025-03-17,MT,58.991
2025-03-17,WE,53.087
2025-03-24,NE,57.823
2025-03-24,MA,58.768
2025-03-24,SE,56.633
2025-03-24,MW,57.128
2025-03-24,MT,61.431
2025-03-24,WE,58.422
2025-03-31,NE,57.79
2025-03-31,MA,59.138
2025-03-31,SE,58.372
2025-03-31,MW,61.596
2025-03-31,MT,65.537
2025-03-31,WE,58.87
2025-04-07,NE,61.257
2025-04-07,MA,62.07
2025-04-07,SE,62.253
2025-04-07,MW,60.808
2025-04-07,MT,65.061
2025-04-07,WE,62.837
2025-04-14,NE,62.674
2025-04-14,MA,64.823
2025-04-14,SE,63.84
2025-04-14,MW,64.406
2025-04-14,MT,68.099
2025-04-14,WE,65.419
2025-04-21,NE,67.013
2025-04-21,MA,66.08
2025-04-21,SE,64.967
2025-04-21,MW,67.599
2025-04-21,MT,69.671
2025-04-21,WE,67.296
2025-04-28,NE,69.498
2025-04-28,MA,66.959
2025-04-28,SE,66.223
2025-04-28,MW,69.514
2025-04-28,MT,74.971
2025-04-28,WE,67.54
2025-05-05,NE,71.727
2025-05-05,MA,68.694
2025-05-05,SE,67.817
2025-05-05,MW,68.313
2025-05-05,MT,73.201
2025-05-05,WE,71.678
2025-05-12,NE,70.428
2025-05-12,MA,71.918
2025-05-12,SE,72.773
2025-05-12,MW,70.797
2025-05-12,MT,77.504
2025-05-12,WE,69.52
2025-05-19,NE,73.826
2025-05-19,MA,74.68
2025-05-19,SE,70.361
2025-05-19,MW,73.921
2025-05-19,MT,76.883
2025-05-19,WE,74.138
2025-05-26,NE,71.539
2025-05-26,MA,74.531
2025-05-26,SE,74.784
2025-05-26,MW,74.064
2025-05-26,MT,76.958
2025-05-26,WE,75.312
2025-06-02,NE,73.138
2025-06-02,MA,72.323
2025-06-02,SE,72.46
2025-06-02,MW,74.832
2025-06-02,MT,79.133
2025-06-02,WE,73.693
2025-06-09,NE,75.183
2025-06-09,MA,75.031
2025-06-09,SE,73.538
2025-06-09,MW,73.34
2025-06-09,MT,78.794
