time,geo,kpi_orders,kpi_revenue,revenue_per_kpi,population,paid_search_impressions,paid_search_spend,paid_social_video_impressions,paid_social_video_spend,retail_media_impressions,retail_media_spend,organic_sessions,email_sends,weather_index,competitor_price_index,promotional_event,holiday_flag
2023-01-02,NE,466,55686.98,119.5,55200000,227685,1846.43,89163,924.76,0.0,0.0,4274,10109,31.786,110.022,0,0
2023-01-02,MA,475,57866.26,121.82,31800000,207642,1664.37,102622,1056.28,0.0,0.0,3958,8972,31.19,108.322,0,0
2023-01-02,SE,397,48537.49,122.26,47400000,181233,1470.35,73633,763.31,0.0,0.0,3573,8109,30.183,109.815,0,0
2023-01-02,MW,443,54346.66,122.68,40100000,202883,1632.99,87051,902.76,0.0,0.0,3977,8497,33.672,110.359,0,0
2023-01-02,MT,338,40205.17,118.95,17600000,169752,1372.31,59025,610.59,0.0,0.0,2945,7176,35.121,110.539,0,0
2023-01-02,WE,517,60056.49,116.16,51900000,249011,2018.73,108771,1124.94,0.0,0.0,4279,10332,29.238,109.987,0,0
2023-01-09,NE,464,54710.21,117.91,55200000,235647,1898.79,108675,1119.87,0.0,0.0,4704,10127,32.944,109.543,0,0
2023-01-09,MA,448,51778.19,115.58,31800000,223828,1805.38,94520,986.44,0.0,0.0,4051,8759,32.165,109.861,0,0
2023-01-09,SE,414,51023.76,123.25,47400000,178734,1443.58,82133,856.77,0.0,0.0,3732,7778,30.999,108.426,0,0
2023-01-09,MW,432,50537.25,116.98,40100000,204363,1656.63,95764,992.94,0.0,0.0,3581,8303,31.77,111.084,0,0
2023-01-09,MT,380,45981.21,121.0,17600000,167890,1362.21,72790,755.18,0.0,0.0,3120,6901,36.036,109.922,0,0
2023-01-09,WE,488,59392.43,121.71,51900000,243005,1982.35,115990,1203.35,0.0,0.0,4542,10798,30.34,110.228,0,0
2023-01-16,NE,496,59337.33,119.63,55200000,241717,1971.8,102596,1069.15,0.0,0.0,4731,9944,36.207,111.4,0,0
2023-01-16,MA,447,54450.11,121.81,31800000,216946,1761.52,100796,1035.92,0.0,0.0,4158,9035,33.578,111.162,0,0
2023-01-16,SE,398,47853.33,120.23,47400000,193598,1558.3,94117,972.47,0.0,0.0,3953,8480,31.952,109.634,0,0
2023-01-16,MW,456,55120.48,120.88,40100000,195843,1582.52,86903,905.47,0.0,0.0,4124,8423,34.748,109.001,0,0
2023-01-16,MT,330,38543.17,116.8,17600000,157703,1277.89,73306,754.03,0.0,0.0,3124,7403,38.47,110.101,0,0
2023-01-16,WE,522,64211.82,123.01,51900000,260975,2104.46,97710,1009.1,0.0,0.0,4932,10783,31.777,110.29,0,0
2023-01-23,NE,582,71166.75,122.28,55200000,264213,2151.53,142945,1471.88,0.0,0.0,4557,13506,33.997,111.953,1,0
2023-01-23,MA,543,63713.78,117.34,31800000,233753,1886.17,136044,1405.85,0.0,0.0,4529,11761,36.709,111.988,1,0
