week_start,geo,adr_price_index
2022-11-07,CO,107.947
2022-11-07,UT,108.479
2022-11-07,CA,107.203
2022-11-07,PN,108.585
2022-11-07,NE,108.262
2022-11-14,CO,110.262
2022-11-14,UT,109.575
2022-11-14,CA,109.051
2022-11-14,PN,110.372
2022-11-14,NE,108.449
2022-11-21,CO,108.087
2022-11-21,UT,108.787
2022-11-21,CA,111.496
2022-11-21,PN,111.168
2022-11-21,NE,109.484
2022-11-28,CO,118.216
2022-11-28,UT,116.887
2022-11-28,CA,117.469
2022-11-28,PN,116.565
2022-11-28,NE,116.775
2022-12-05,CO,111.64
2022-12-05,UT,114.457
2022-12-05,CA,112.926
2022-12-05,PN,113.815
2022-12-05,NE,114.597
2022-12-12,CO,113.269
2022-12-12,UT,114.893
2022-12-12,CA,114.645
2022-12-12,PN,115.261
2022-12-12,NE,113.261
2022-12-19,CO,114.174
2022-12-19,UT,113.225
2022-12-19,CA,113.99
2022-12-19,PN,114.162
2022-12-19,NE,113.486
2022-12-26,CO,121.179
2022-12-26,UT,119.72
2022-12-26,CA,119.468
2022-12-26,PN,118.428
2022-12-26,NE,118.547
2023-01-02,CO,114.896
2023-01-02,UT,112.938
2023-01-02,CA,115.741
2023-01-02,PN,115.228
2023-01-02,NE,114.194
2023-01-09,CO,116.848
2023-01-09,UT,116.123
2023-01-09,CA,116.26
2023-01-09,PN,115.037
2023-01-09,NE,114.838
2023-01-16,CO,116.891
2023-01-16,UT,116.051
2023-01-16,CA,115.456
2023-01-16,PN,115.662
2023-01-16,NE,116.522
2023-01-23,CO,109.944
2023-01-23,UT,109.065
2023-01-23,CA,110.466
2023-01-23,PN,109.955
2023-01-23,NE,108.84
2023-01-30,CO,114.976
2023-01-30,UT,113.479
2023-01-30,CA,116.237
2023-01-30,PN,116.29
2023-01-30,NE,116.279
2023-02-06,CO,115.129
2023-02-06,UT,115.429
2023-02-06,CA,113.96
2023-02-06,PN,113.258
2023-02-06,NE,113.667
2023-02-13,CO,117.889
2023-02-13,UT,118.265
2023-02-13,CA,118.189
2023-02-13,PN,117.941
2023-02-13,NE,118.259
2023-02-20,CO,116.472
2023-02-20,UT,117.428
2023-02-20,CA,116.509
2023-02-20,PN,118.11
2023-02-20,NE,118.76
2023-02-27,CO,112.554
2023-02-27,UT,110.864
2023-02-27,CA,111.333
2023-02-27,PN,110.575
2023-02-27,NE,111.767
2023-03-06,CO,111.356
2023-03-06,UT,111.005
2023-03-06,CA,109.408
2023-03-06,PN,109.043
2023-03-06,NE,108.874
2023-03-13,CO,109.881
2023-03-13,UT,110.296
2023-03-13,CA,108.429
2023-03-13,PN,110.12
2023-03-13,NE,110.046
2023-03-20,CO,105.903
2023-03-20,UT,107.404
2023-03-20,CA,106.389
2023-03-20,PN,107.879
2023-03-20,NE,108.099
2023-03-27,CO,100.869
2023-03-27,UT,99.096
2023-03-27,CA,100.831
2023-03-27,PN,99.31
2023-03-27,NE,99.742
2023-04-03,CO,103.58
2023-04-03,UT,103.373
2023-04-03,CA,105.263
2023-04-03,PN,103.059
2023-04-03,NE,104.741
2023-04-10,CO,101.302
2023-04-10,UT,103.124
2023-04-10,CA,101.008
2023-04-10,PN,102.031
2023-04-10,NE,102.286
2023-04-17,CO,101.176
2023-04-17,UT,101.433
2023-04-17,CA,99.752
2023-04-17,PN,101.26
2023-04-17,NE,100.763
2023-04-24,CO,98.411
2023-04-24,UT,97.846
2023-04-24,CA,97.74
2023-04-24,PN,100.113
2023-04-24,NE,99.797
2023-05-01,CO,96.073
2023-05-01,UT,97.468
2023-05-01,CA,97.332
2023-05-01,PN,96.473
2023-05-01,NE,98.423
2023-05-08,CO,96.436
2023-05-08,UT,95.206
2023-05-08,CA,94.984
2023-05-08,PN,95.937
2023-05-08,NE,94.508
2023-05-15,CO,93.591
2023-05-15,UT,95.247
2023-05-15,CA,95.358
2023-05-15,PN,93.573
2023-05-15,NE,95.431
2023-05-22,CO,93.471
2023-05-22,UT,93.024
2023-05-22,CA,93.139
2023-05-22,PN,92.791
2023-05-22,NE,93.687
2023-05-29,CO,97.565
2023-05-29,UT,94.784
2023-05-29,CA,96.448
2023-05-29,PN,96.959
2023-05-29,NE,96.513
2023-06-05,CO,91.925
2023-06-05,UT,91.95
2023-06-05,CA,91.35
2023-06-05,PN,90.968
2023-06-05,NE,91.292
2023-06-12,CO,90.674
2023-06-12,UT,89.636
2023-06-12,CA,90.066
2023-06-12,PN,88.836
2023-06-12,NE,88.714
2023-06-19,CO,90.288
2023-06-19,UT,88.561
2023-06-19,CA,87.907
2023-06-19,PN,90.431
2023-06-19,NE,88.151
2023-06-26,CO,88.126
2023-06-26,UT,88.675
2023-06-26,CA,87.742
2023-06-26,PN,89.043
2023-06-26,NE,89.712
2023-07-03,CO,81.942
2023-07-03,UT,80.338
2023-07-03,CA,81.889
2023-07-03,PN,82.276
2023-07-03,NE,82.741
2023-07-10,CO,89.306
2023-07-10,UT,87.839
2023-07-10,CA,86.727
2023-07-10,PN,87.477
2023-07-10,NE,88.677
2023-07-17,CO,87.073
2023-07-17,UT,88.599
2023-07-17,CA,88.435
2023-07-17,PN,89.308
2023-07-17,NE,87.827
2023-07-24,CO,89.518
2023-07-24,UT,87.465
2023-07-24,CA,88.995
2023-07-24,PN,88.823
2023-07-24,NE,87.603
2023-07-31,CO,87.404
2023-07-31,UT,88.501
2023-07-31,CA,87.951
2023-07-31,PN,88.995
2023-07-31,NE,89.731
2023-08-07,CO,87.722
2023-08-07,UT,89.627
2023-08-07,CA,90.892
2023-08-07,PN,89.628
2023-08-07,NE,88.205
2023-08-14,CO,91.321
2023-08-14,UT,89.448
2023-08-14,CA,91.421
2023-08-14,PN,91.526
2023-08-14,NE,89.475
2023-08-21,CO,89.956
2023-08-21,UT,89.916
2023-08-21,CA,90.215
2023-08-21,PN,90.232
2023-08-21,NE,91.929
