week_start,geo,availability_index,bookable_room_nights
2022-11-07,CO,0.5392,2672
2022-11-07,UT,0.5789,2553
2022-11-07,CA,0.5316,2500
2022-11-07,PN,0.527,2169
2022-11-07,NE,0.5367,1984
2022-11-14,CO,0.5563,2757
2022-11-14,UT,0.5479,2416
2022-11-14,CA,0.5289,2488
2022-11-14,PN,0.5758,2370
2022-11-14,NE,0.5588,2065
2022-11-21,CO,0.6076,3011
2022-11-21,UT,0.6018,2654
2022-11-21,CA,0.5505,2590
2022-11-21,PN,0.5643,2323
2022-11-21,NE,0.5343,1975
2022-11-28,CO,0.6098,3022
2022-11-28,UT,0.6115,2697
2022-11-28,CA,0.5567,2619
2022-11-28,PN,0.5601,2305
2022-11-28,NE,0.6204,2293
2022-12-05,CO,0.6881,3410
2022-12-05,UT,0.6755,2979
2022-12-05,CA,0.6325,2976
2022-12-05,PN,0.6545,2694
2022-12-05,NE,0.683,2524
2022-12-12,CO,0.711,3524
2022-12-12,UT,0.6782,2991
2022-12-12,CA,0.6632,3120
2022-12-12,PN,0.641,2638
2022-12-12,NE,0.6909,2554
2022-12-19,CO,0.6842,3391
2022-12-19,UT,0.7215,3182
2022-12-19,CA,0.7186,3380
2022-12-19,PN,0.6646,2736
2022-12-19,NE,0.683,2524
2022-12-26,CO,0.7015,3476
2022-12-26,UT,0.6926,3054
2022-12-26,CA,0.7408,3485
2022-12-26,PN,0.7173,2952
2022-12-26,NE,0.731,2702
2023-01-02,CO,0.7641,3787
2023-01-02,UT,0.7117,3139
2023-01-02,CA,0.7308,3438
2023-01-02,PN,0.7012,2886
2023-01-02,NE,0.7119,2631
2023-01-09,CO,0.7831,3881
2023-01-09,UT,0.7647,3372
2023-01-09,CA,0.7593,3572
2023-01-09,PN,0.7445,3064
2023-01-09,NE,0.732,2706
2023-01-16,CO,0.753,3732
2023-01-16,UT,0.7692,3392
2023-01-16,CA,0.797,3749
2023-01-16,PN,0.788,3244
2023-01-16,NE,0.7723,2854
2023-01-23,CO,0.7888,3909
2023-01-23,UT,0.8282,3652
2023-01-23,CA,0.7748,3645
2023-01-23,PN,0.8077,3324
2023-01-23,NE,0.8201,3031
2023-01-30,CO,0.8012,3971
2023-01-30,UT,0.8503,3750
2023-01-30,CA,0.8099,3810
2023-01-30,PN,0.834,3433
2023-01-30,NE,0.8439,3119
2023-02-06,CO,0.8166,4047
2023-02-06,UT,0.8274,3649
2023-02-06,CA,0.8661,4074
2023-02-06,PN,0.8584,3533
2023-02-06,NE,0.862,3186
2023-02-13,CO,0.833,4128
2023-02-13,UT,0.8735,3852
