week_start_date,geo,sessions,users,organic_sessions,availability_searches,abandoned_reservations
2022-11-07,CO,17942,13400,2731,593,144
2022-11-07,UT,15522,11807,2433,673,254
2022-11-07,CA,19388,14133,2554,491,156
2022-11-07,PN,15954,12338,2239,603,205
2022-11-07,NE,13263,9120,1922,495,116
2022-11-14,CO,20115,15674,2506,701,155
2022-11-14,UT,17836,12390,2500,523,138
2022-11-14,CA,19321,14062,2701,552,133
2022-11-14,PN,14898,10474,2176,572,208
2022-11-14,NE,13481,10171,1839,458,170
2022-11-21,CO,28909,20866,3358,660,248
2022-11-21,UT,22453,15866,2951,557,143
2022-11-21,CA,23423,16876,3021,557,148
2022-11-21,PN,20770,15404,2839,659,249
2022-11-21,NE,19381,14873,2488,559,145
2022-11-28,CO,23387,16475,2761,754,220
2022-11-28,UT,20663,15092,2860,743,218
2022-11-28,CA,22350,16670,3016,567,214
2022-11-28,PN,20025,14202,2567,475,139
2022-11-28,NE,16601,12360,2223,431,96
2022-12-05,CO,19555,13991,2813,543,168
2022-12-05,UT,17654,13344,2774,629,154
2022-12-05,CA,19892,15282,3051,626,178
2022-12-05,PN,15649,10646,2359,492,127
2022-12-05,NE,15598,11197,2233,405,108
2022-12-12,CO,19813,15064,2963,612,173
2022-12-12,UT,18250,14165,2951,769,207
2022-12-12,CA,17614,12205,3023,651,199
2022-12-12,PN,16630,12067,2462,481,182
2022-12-12,NE,16606,12281,2479,636,185
2022-12-19,CO,22276,16239,3124,736,216
2022-12-19,UT,18879,12871,2603,638,165
2022-12-19,CA,19933,14917,2944,607,145
2022-12-19,PN,17041,12107,2511,597,218
2022-12-19,NE,15612,11308,2203,443,168
2022-12-26,CO,26007,17755,3381,792,180
2022-12-26,UT,20905,14475,2835,572,193
2022-12-26,CA,22688,17507,3237,808,237
2022-12-26,PN,20408,15740,2651,638,208
2022-12-26,NE,18166,12696,2395,611,182
2023-01-02,CO,34252,25652,3993,732,175
2023-01-02,UT,26869,20578,3281,828,256
2023-01-02,CA,26410,18299,3974,825,250
2023-01-02,PN,21231,14943,3204,756,226
2023-01-02,NE,21243,14887,2773,700,223
2023-01-09,CO,20560,14911,3157,624,152
2023-01-09,UT,19573,14580,3033,624,167
2023-01-09,CA,20031,14905,3404,757,171
2023-01-09,PN,18647,13702,2704,689,209
2023-01-09,NE,16655,11793,2378,585,203
2023-01-16,CO,25038,17289,3362,832,222
2023-01-16,UT,18346,13285,3245,614,206
2023-01-16,CA,20247,13957,3130,738,167
2023-01-16,PN,18630,14303,3040,682,225
2023-01-16,NE,15588,10787,2353,455,102
2023-01-23,CO,23416,15978,3576,819,206
2023-01-23,UT,22271,16493,3252,820,269
2023-01-23,CA,24285,17446,3296,849,190
2023-01-23,PN,22849,16547,3102,721,188
2023-01-23,NE,17431,11886,2810,750,166
2023-01-30,CO,21027,14495,3634,664,169
2023-01-30,UT,21190,16289,3186,787,273
2023-01-30,CA,20443,14204,3361,634,144
2023-01-30,PN,18228,12599,2888,747,280
2023-01-30,NE,18383,13608,2802,653,164
2023-02-06,CO,24765,18900,3560,683,163
2023-02-06,UT,22816,16088,3111,673,236
2023-02-06,CA,23329,17731,3280,716,230
2023-02-06,PN,19016,13180,2755,493,187
2023-02-06,NE,16555,11995,2395,628,167
2023-02-13,CO,28906,22251,3918,686,172
2023-02-13,UT,28951,20398,3583,913,303
2023-02-13,CA,29091,21204,3274,744,211
2023-02-13,PN,23803,17317,3112,754,220
2023-02-13,NE,22477,17528,2910,713,255
2023-02-20,CO,29849,21249,3582,841,241
2023-02-20,UT,24957,19175,3103,554,138
2023-02-20,CA,29195,21114,3774,946,228
2023-02-20,PN,21203,14484,3048,582,164
2023-02-20,NE,23591,18107,2999,527,185
2023-02-27,CO,24812,17329,3590,951,344
2023-02-27,UT,20730,15571,3013,562,207
2023-02-27,CA,21598,15900,3252,602,229
2023-02-27,PN,21470,15512,2660,627,237
2023-02-27,NE,18407,12868,2504,466,167
2023-03-06,CO,24568,16831,3507,829,285
2023-03-06,UT,22911,16634,3177,585,199
2023-03-06,CA,21272,14545,2955,549,176
2023-03-06,PN,20450,13956,2869,615,137
2023-03-06,NE,18897,13914,2486,528,185
2023-03-13,CO,24550,18101,3131,616,199
2023-03-13,UT,21795,16989,3116,561,212
2023-03-13,CA,21478,16461,2931,754,241
2023-03-13,PN,21935,15680,2681,600,202
2023-03-13,NE,16866,12882,2559,639,230
2023-03-20,CO,26084,19160,3107,710,180
2023-03-20,UT,20235,15648,2836,528,199
2023-03-20,CA,24079,17009,2999,781,262
2023-03-20,PN,21316,16098,3001,564,156
2023-03-20,NE,17418,12747,2468,457,143
2023-03-27,CO,26583,20385,3367,813,216
2023-03-27,UT,24952,17653,3205,799,180
2023-03-27,CA,26937,18802,3533,836,297
2023-03-27,PN,23505,16354,3152,592,156
2023-03-27,NE,22538,16377,2899,694,256
2023-04-03,CO,26350,19163,3488,762,265
2023-04-03,UT,21157,15451,2705,693,214
2023-04-03,CA,24132,18032,3303,685,242
2023-04-03,PN,18464,13114,2563,579,213
2023-04-03,NE,18920,14000,2512,458,165
2023-04-10,CO,26219,20225,3121,797,191
2023-04-10,UT,21857,16771,2792,714,237
2023-04-10,CA,23284,17837,2949,727,168
2023-04-10,PN,19514,14194,2601,623,185
2023-04-10,NE,17853,13606,2414,631,177
2023-04-17,CO,25038,18093,2985,766,194
2023-04-17,UT,20083,15076,2978,571,136
2023-04-17,CA,23842,16283,2862,567,160
2023-04-17,PN,18107,13448,2834,716,200
2023-04-17,NE,16701,12904,2468,682,178
2023-04-24,CO,21831,17017,3074,637,187
2023-04-24,UT,19865,15194,2677,603,162
2023-04-24,CA,22829,16256,3087,730,221
2023-04-24,PN,18845,14297,2467,458,146
2023-04-24,NE,17078,13169,2463,507,165
2023-05-01,CO,22205,16563,3268,767,247
2023-05-01,UT,21580,16104,2806,555,149
2023-05-01,CA,22070,16777,2790,569,187
2023-05-01,PN,18986,13349,2562,701,257
2023-05-01,NE,17891,13583,2478,605,178
2023-05-08,CO,21384,15659,3005,721,160
2023-05-08,UT,19850,14960,2674,562,209
2023-05-08,CA,21213,15958,3046,787,207
2023-05-08,PN,17243,11990,2380,541,120
2023-05-08,NE,16621,12642,2460,510,177
2023-05-15,CO,23660,18253,3124,632,191
2023-05-15,UT,21570,16090,2710,535,170
2023-05-15,CA,22066,15029,2998,810,250
2023-05-15,PN,20659,15580,2462,527,159
2023-05-15,NE,17086,12856,2166,499,169
2023-05-22,CO,22067,16615,3191,842,225
2023-05-22,UT,21214,16133,2526,553,194
2023-05-22,CA,18960,14371,2749,688,166
2023-05-22,PN,20798,15814,2693,575,144
2023-05-22,NE,15677,10744,2075,398,148
2023-05-29,CO,28481,20659,3140,597,134
2023-05-29,UT,21315,14989,2871,767,248
2023-05-29,CA,24925,18861,3110,582,185
2023-05-29,PN,20639,15660,2820,750,227
2023-05-29,NE,19112,13379,2175,429,147
2023-06-05,CO,23414,15928,3104,816,291
2023-06-05,UT,18680,13715,2462,463,119
2023-06-05,CA,18088,13054,2674,524,132
2023-06-05,PN,16701,11772,2540,685,163
2023-06-05,NE,14628,10900,2342,487,109
2023-06-12,CO,22199,15852,2882,581,187
2023-06-12,UT,19416,14179,2499,458,136
2023-06-12,CA,20290,14779,2540,639,202
2023-06-12,PN,16762,12556,2418,445,130
2023-06-12,NE,17544,13594,2214,586,187
2023-06-19,CO,22218,15257,2864,681,209
2023-06-19,UT,17404,13292,2456,569,185
2023-06-19,CA,20591,14151,2460,446,98
2023-06-19,PN,18053,13490,2283,619,142
2023-06-19,NE,14747,11369,2045,484,133
2023-06-26,CO,20509,14171,2589,621,149
2023-06-26,UT,19513,14106,2558,531,158
2023-06-26,CA,18796,13731,2483,562,154
2023-06-26,PN,16479,12242,2482,493,170
2023-06-26,NE,15755,11588,2001,475,172
2023-07-03,CO,20659,15470,2607,732,230
2023-07-03,UT,19337,14907,2537,691,159
2023-07-03,CA,19382,13563,2509,589,153
2023-07-03,PN,19062,14198,2238,536,120
2023-07-03,NE,16387,12188,1877,393,121
2023-07-10,CO,17751,12899,2553,532,140
2023-07-10,UT,19578,13791,2076,410,111
2023-07-10,CA,20159,14965,2393,690,231
2023-07-10,PN,17789,12399,2226,592,205
2023-07-10,NE,15419,10502,2013,568,148
2023-07-17,CO,22150,15915,2560,702,250
2023-07-17,UT,18696,13683,2143,506,159
2023-07-17,CA,19328,14165,2363,538,135
2023-07-17,PN,15840,11118,2119,517,190
2023-07-17,NE,13472,9178,1756,440,107
2023-07-24,CO,21062,15060,2631,651,181
2023-07-24,UT,16405,12057,2240,650,171
