date,geo,campaign,impressions,clicks,cost_micros,ctr,cpa
2022-08-29,CO Rockies,Brand | Lodge,10042,901,64917349,0.089723,0.0721
2022-08-30,CO Rockies,Brand | Lodge,12947,892,65947344,0.068896,0.0739
2022-08-31,CO Rockies,Brand | Lodge,10191,1090,69351430,0.106957,0.0636
2022-09-01,CO Rockies,Brand | Lodge,12408,1122,67564484,0.090426,0.0602
2022-09-02,CO Rockies,Brand | Lodge,9590,1180,66708663,0.123045,0.0565
2022-09-03,CO Rockies,Brand | Lodge,12859,897,61153331,0.069757,0.0682
2022-09-04,CO Rockies,Brand | Lodge,11487,1152,73540827,0.100287,0.0638
2022-08-29,CO Rockies,Nonbrand | Ski Weekend,15089,814,84348737,0.053947,0.1036
2022-08-30,CO Rockies,Nonbrand | Ski Weekend,12970,942,123513065,0.072629,0.1311
2022-08-31,CO Rockies,Nonbrand | Ski Weekend,13321,724,114601543,0.05435,0.1583
2022-09-01,CO Rockies,Nonbrand | Ski Weekend,15793,790,83457741,0.050022,0.1056
2022-09-02,CO Rockies,Nonbrand | Ski Weekend,15634,838,113193019,0.053601,0.1351
2022-09-03,CO Rockies,Nonbrand | Ski Weekend,12397,967,120352618,0.078003,0.1245
2022-09-04,CO Rockies,Nonbrand | Ski Weekend,11913,937,118044738,0.078654,0.126
2022-08-29,CO Rockies,Nonbrand | Cabin Stay,13576,508,92025779,0.037419,0.1812
2022-08-30,CO Rockies,Nonbrand | Cabin Stay,10127,560,78365381,0.055298,0.1399
2022-08-31,CO Rockies,Nonbrand | Cabin Stay,14198,613,110988759,0.043175,0.1811
2022-09-01,CO Rockies,Nonbrand | Cabin Stay,10473,610,105969754,0.058245,0.1737
2022-09-02,CO Rockies,Nonbrand | Cabin Stay,10659,456,112323239,0.042781,0.2463
2022-09-03,CO Rockies,Nonbrand | Cabin Stay,12176,610,76879657,0.050099,0.126
2022-09-04,CO Rockies,Nonbrand | Cabin Stay,10269,465,107864624,0.045282,0.232
2022-08-29,Utah,Branded | Destination,8965,1065,67444352,0.118795,0.0633
2022-08-30,Utah,Branded | Destination,12540,1278,76578099,0.101914,0.0599
2022-08-31,Utah,Branded | Destination,13155,1183,66373402,0.089928,0.0561
