week_start,geo,send_count,delivered,open_rate,click_rate
2022-11-07,Colorado Rockies,4218,4125,0.1946,0.0238
2022-11-07,Utah Wasatch,3942,3801,0.1844,0.0214
2022-11-07,Northern California,4341,4206,0.1772,0.0229
2022-11-07,Pacific Northwest,3994,3842,0.1797,0.0248
2022-11-07,New England,3265,3160,0.1779,0.0208
2022-11-14,Colorado Rockies,4591,4528,0.2141,0.0228
2022-11-14,Utah Wasatch,3944,3895,0.2132,0.0234
2022-11-14,Northern California,4181,4108,0.2158,0.023
2022-11-14,Pacific Northwest,4014,3902,0.2073,0.0226
2022-11-14,New England,3392,3300,0.2169,0.0264
2022-11-21,Colorado Rockies,6081,5925,0.1956,0.0262
2022-11-21,Utah Wasatch,5813,5690,0.2002,0.0269
2022-11-21,Northern California,6396,6319,0.1954,0.0247
2022-11-21,Pacific Northwest,5353,5228,0.2165,0.0287
2022-11-21,New England,5149,5042,0.2179,0.025
2022-11-28,Colorado Rockies,5386,5197,0.2178,0.025
2022-11-28,Utah Wasatch,4475,4380,0.2061,0.0294
2022-11-28,Northern California,5094,4989,0.2099,0.0281
2022-11-28,Pacific Northwest,4430,4371,0.2414,0.0269
2022-11-28,New England,3568,3481,0.2137,0.0285
2022-12-05,Colorado Rockies,4569,4416,0.2242,0.0267
2022-12-05,Utah Wasatch,4445,4389,0.2477,0.0279
2022-12-05,Northern California,4846,4724,0.2452,0.0297
2022-12-05,Pacific Northwest,3877,3766,0.231,0.029
2022-12-05,New England,3461,3382,0.2125,0.028
2022-12-12,Colorado Rockies,4758,4601,0.2342,0.0282
2022-12-12,Utah Wasatch,4435,4305,0.2402,0.0261
2022-12-12,Northern California,4668,4574,0.237,0.0284
2022-12-12,Pacific Northwest,4232,4097,0.2433,0.0266
2022-12-12,New England,3937,3872,0.2274,0.0251
2022-12-19,Colorado Rockies,4758,4611,0.2215,0.0289
2022-12-19,Utah Wasatch,4464,4333,0.2329,0.0271
2022-12-19,Northern California,4731,4639,0.2496,0.0258
2022-12-19,Pacific Northwest,4297,4156,0.2516,0.0251
2022-12-19,New England,3970,3898,0.2451,0.0246
2022-12-26,Colorado Rockies,5276,5066,0.2429,0.0276
2022-12-26,Utah Wasatch,4666,4496,0.2452,0.0229
2022-12-26,Northern California,5475,5367,0.2389,0.0239
2022-12-26,Pacific Northwest,4419,4303,0.221,0.0276
2022-12-26,New England,4072,3969,0.2522,0.0239
2023-01-02,Colorado Rockies,7757,7511,0.2453,0.0262
2023-01-02,Utah Wasatch,6731,6555,0.2272,0.027
2023-01-02,Northern California,7249,7149,0.2404,0.0249
2023-01-02,Pacific Northwest,5773,5623,0.242,0.0257
2023-01-02,New England,5379,5170,0.2284,0.0256
2023-01-09,Colorado Rockies,5566,5436,0.219,0.0228
2023-01-09,Utah Wasatch,5041,4912,0.2509,0.0196
2023-01-09,Northern California,4854,4767,0.2407,0.0219
2023-01-09,Pacific Northwest,4714,4601,0.2429,0.0247
2023-01-09,New England,4278,4119,0.2202,0.0244
2023-01-16,Colorado Rockies,5585,5482,0.2294,0.0177
2023-01-16,Utah Wasatch,4519,4384,0.2161,0.0201
2023-01-16,Northern California,4843,4658,0.2363,0.0206
2023-01-16,Pacific Northwest,4486,4310,0.2317,0.0183
2023-01-16,New England,4054,3999,0.2213,0.0225
2023-01-23,Colorado Rockies,6955,6831,0.2166,0.0154
2023-01-23,Utah Wasatch,6023,5906,0.2176,0.0184
2023-01-23,Northern California,6242,6154,0.1942,0.0182
2023-01-23,Pacific Northwest,5803,5662,0.1946,0.0163
2023-01-23,New England,5457,5289,0.1994,0.0198
2023-01-30,Colorado Rockies,5585,5432,0.2189,0.0187
2023-01-30,Utah Wasatch,4680,4587,0.1979,0.0174
2023-01-30,Northern California,5015,4901,0.1933,0.0175
2023-01-30,Pacific Northwest,4924,4749,0.2057,0.0164
2023-01-30,New England,4391,4265,0.1906,0.0166
2023-02-06,Colorado Rockies,5797,5701,0.1932,0.0141
2023-02-06,Utah Wasatch,5252,5086,0.1915,0.0189
2023-02-06,Northern California,5676,5591,0.2009,0.0189
2023-02-06,Pacific Northwest,4909,4736,0.1879,0.0174
2023-02-06,New England,4076,3923,0.2033,0.0183
2023-02-13,Colorado Rockies,6336,6183,0.1639,0.0164
2023-02-13,Utah Wasatch,5095,5036,0.1765,0.0135
2023-02-13,Northern California,6119,6038,0.1727,0.0149
2023-02-13,Pacific Northwest,5190,4992,0.1884,0.0173
2023-02-13,New England,4275,4112,0.1743,0.0157
2023-02-20,Colorado Rockies,6362,6235,0.174,0.0174
2023-02-20,Utah Wasatch,5580,5380,0.1784,0.0141
2023-02-20,Northern California,5363,5305,0.1552,0.0161
2023-02-20,Pacific Northwest,5224,5093,0.1674,0.0168
2023-02-20,New England,4535,4437,0.1596,0.0146
2023-02-27,Colorado Rockies,5550,5356,0.1537,0.0155
2023-02-27,Utah Wasatch,4836,4649,0.1714,0.0188
2023-02-27,Northern California,5458,5386,0.1514,0.0186
2023-02-27,Pacific Northwest,4836,4748,0.1375,0.0189
2023-02-27,New England,4244,4197,0.1523,0.0177
2023-03-06,Colorado Rockies,5385,5188,0.1682,0.0224
2023-03-06,Utah Wasatch,5411,5337,0.1553,0.0214
2023-03-06,Northern California,5344,5216,0.1651,0.0182
2023-03-06,Pacific Northwest,5044,4927,0.1681,0.0188
2023-03-06,New England,4095,4039,0.1553,0.0217
2023-03-13,Colorado Rockies,5893,5745,0.156,0.021
2023-03-13,Utah Wasatch,5176,5047,0.1253,0.0237
2023-03-13,Northern California,5155,5080,0.1494,0.0211
2023-03-13,Pacific Northwest,4775,4675,0.1362,0.0203
2023-03-13,New England,4418,4373,0.1286,0.0193
2023-03-20,Colorado Rockies,5706,5498,0.1375,0.0213
2023-03-20,Utah Wasatch,5207,5051,0.154,0.0214
2023-03-20,Northern California,5324,5267,0.1258,0.0221
2023-03-20,Pacific Northwest,4638,4517,0.1217,0.022
2023-03-20,New England,4331,4245,0.1369,0.0242
2023-03-27,Colorado Rockies,7659,7368,0.1431,0.024
2023-03-27,Utah Wasatch,6796,6678,0.1509,0.024
2023-03-27,Northern California,7190,7026,0.1381,0.0269
2023-03-27,Pacific Northwest,6052,5900,0.139,0.0264
2023-03-27,New England,5759,5668,0.1462,0.0282
2023-04-03,Colorado Rockies,5621,5450,0.1525,0.0297
2023-04-03,Utah Wasatch,5339,5218,0.1482,0.0262
2023-04-03,Northern California,5368,5271,0.1347,0.0243
