week_start,geo,campaign_name,adset_name,impressions,clicks,amount_spent
2022-11-07,CO,Prospecting | Destination,Destination,57655,845,530.42
2022-11-07,CO,Prospect | Awareness,Awareness,46712,534,401.72
2022-11-07,UT,Prospecting | Destination,Destination,50516,664,464.75
2022-11-07,UT,Prospect | Awareness,Awareness,41117,486,353.61
2022-11-07,CA,Prospecting | Destination,Destination,52466,700,482.69
2022-11-07,CA,Prospect | Awareness,Awareness,38554,458,331.56
2022-11-07,PN,Prospecting | Destination,Destination,42569,591,391.64
2022-11-07,PN,Prospect | Awareness,Awareness,29996,349,257.96
2022-11-07,NE,Prospecting | Destination,Destination,41809,579,384.64
2022-11-07,NE,Prospect | Awareness,Awareness,32634,376,280.66
2022-11-14,CO,Prospecting | Destination,Destination,46571,696,428.45
2022-11-14,CO,Prospect | Awareness,Awareness,47082,599,404.9
2022-11-14,UT,Prospecting | Destination,Destination,53322,705,490.57
2022-11-14,UT,Prospect | Awareness,Awareness,42328,480,364.02
2022-11-14,CA,Prospecting | Destination,Destination,54621,753,502.51
2022-11-14,CA,Prospect | Awareness,Awareness,45694,531,392.97
2022-11-14,PN,Prospecting | Destination,Destination,45287,622,416.64
2022-11-14,PN,Prospect | Awareness,Awareness,33574,375,288.74
2022-11-14,NE,Prospecting | Destination,Destination,44038,621,405.15
2022-11-14,NE,Prospect | Awareness,Awareness,34144,394,293.64
2022-11-21,CO,Prospecting | Destination,Destination,77732,1162,715.13
2022-11-21,CO,Prospect | Awareness,Awareness,65914,750,566.86
2022-11-21,UT,Prospecting | Destination,Destination,59972,826,551.74
2022-11-21,UT,Prospect | Awareness,Awareness,54385,685,467.71
2022-11-21,CA,Prospecting | Destination,Destination,74603,980,686.35
2022-11-21,CA,Prospect | Awareness,Awareness,56464,700,485.59
2022-11-21,PN,Prospecting | Destination,Destination,58439,865,537.64
2022-11-21,PN,Prospect | Awareness,Awareness,46727,596,401.85
2022-11-21,NE,Prospecting | Destination,Destination,50565,683,465.2
2022-11-21,NE,Prospect | Awareness,Awareness,48504,559,417.13
2022-11-28,CO,Prospecting | Destination,Destination,66218,950,609.2
2022-11-28,CO,Prospect | Awareness,Awareness,45164,525,388.41
2022-11-28,UT,Prospecting | Destination,Destination,55154,822,507.41
2022-11-28,UT,Prospect | Awareness,Awareness,46190,544,397.23
2022-11-28,CA,Prospecting | Destination,Destination,59709,867,549.32
2022-11-28,CA,Prospect | Awareness,Awareness,43565,499,374.66
2022-11-28,PN,Prospecting | Destination,Destination,51967,748,478.09
2022-11-28,PN,Prospect | Awareness,Awareness,44286,544,380.86
2022-11-28,NE,Prospecting | Destination,Destination,39297,535,361.54
2022-11-28,NE,Prospect | Awareness,Awareness,35579,416,305.98
2022-12-05,CO,Prospecting | Destination,Destination,51043,694,469.59
2022-12-05,CO,Prospect | Awareness,Awareness,47875,556,411.73
2022-12-05,UT,Prospecting | Destination,Destination,50741,712,466.82
2022-12-05,UT,Prospect | Awareness,Awareness,38327,435,329.61
2022-12-05,CA,Prospecting | Destination,Destination,49001,647,450.81
2022-12-05,CA,Prospect | Awareness,Awareness,43329,508,372.63
2022-12-05,PN,Prospecting | Destination,Destination,47951,693,441.15
2022-12-05,PN,Prospect | Awareness,Awareness,38800,493,333.68
2022-12-05,NE,Prospecting | Destination,Destination,38999,535,358.79
2022-12-05,NE,Prospect | Awareness,Awareness,37727,439,324.45
2022-12-12,CO,Prospecting | Destination,Destination,64834,926,596.48
2022-12-12,CO,Prospect | Awareness,Awareness,50353,597,433.03
2022-12-12,UT,Prospecting | Destination,Destination,52720,782,485.03
2022-12-12,UT,Prospect | Awareness,Awareness,45799,517,393.87
2022-12-12,CA,Prospecting | Destination,Destination,53899,749,495.88
2022-12-12,CA,Prospect | Awareness,Awareness,38325,454,329.59
2022-12-12,PN,Prospecting | Destination,Destination,45724,640,420.67
2022-12-12,PN,Prospect | Awareness,Awareness,38395,445,330.2
2022-12-12,NE,Prospecting | Destination,Destination,37638,547,346.27
2022-12-12,NE,Prospect | Awareness,Awareness,37889,440,325.85
2022-12-19,CO,Prospecting | Destination,Destination,51450,712,473.34
2022-12-19,CO,Prospect | Awareness,Awareness,50744,595,436.4
2022-12-19,UT,Prospecting | Destination,Destination,49144,692,452.12
2022-12-19,UT,Prospect | Awareness,Awareness,43059,512,370.31
2022-12-19,CA,Prospecting | Destination,Destination,49985,653,459.86
2022-12-19,CA,Prospect | Awareness,Awareness,45290,528,389.5
2022-12-19,PN,Prospecting | Destination,Destination,46379,635,426.69
2022-12-19,PN,Prospect | Awareness,Awareness,33856,421,291.16
2022-12-19,NE,Prospecting | Destination,Destination,44989,637,413.9
2022-12-19,NE,Prospect | Awareness,Awareness,37258,454,320.42
2022-12-26,CO,Prospecting | Destination,Destination,59148,812,544.16
2022-12-26,CO,Prospect | Awareness,Awareness,47258,594,406.42
2022-12-26,UT,Prospecting | Destination,Destination,60017,845,552.16
2022-12-26,UT,Prospect | Awareness,Awareness,39974,474,343.78
2022-12-26,CA,Prospecting | Destination,Destination,64534,900,593.71
2022-12-26,CA,Prospect | Awareness,Awareness,42770,533,367.82
2022-12-26,PN,Prospecting | Destination,Destination,50980,689,469.01
2022-12-26,PN,Prospect | Awareness,Awareness,36911,464,317.44
2022-12-26,NE,Prospecting | Destination,Destination,49754,690,457.74
2022-12-26,NE,Prospect | Awareness,Awareness,36245,434,311.71
2023-01-02,CO,Prospecting | Destination,Destination,86456,1262,795.39
2023-01-02,CO,Prospect | Awareness,Awareness,62094,728,534.01
2023-01-02,UT,Prospecting | Destination,Destination,79791,1146,734.08
2023-01-02,UT,Prospect | Awareness,Awareness,60105,717,516.9
2023-01-02,CA,Prospecting | Destination,Destination,70540,927,648.97
2023-01-02,CA,Prospect | Awareness,Awareness,57112,727,491.16
2023-01-02,PN,Prospecting | Destination,Destination,75720,1092,696.63
2023-01-02,PN,Prospect | Awareness,Awareness,54548,620,469.11
2023-01-02,NE,Prospecting | Destination,Destination,60989,910,561.1
2023-01-02,NE,Prospect | Awareness,Awareness,48349,614,415.8
2023-01-09,CO,Prospecting | Destination,Destination,54721,734,503.43
2023-01-09,CO,Prospect | Awareness,Awareness,50985,577,438.47
2023-01-09,UT,Prospecting | Destination,Destination,49215,716,452.78
2023-01-09,UT,Prospect | Awareness,Awareness,41616,472,357.9
2023-01-09,CA,Prospecting | Destination,Destination,66067,975,607.82
2023-01-09,CA,Prospect | Awareness,Awareness,48898,586,420.52
2023-01-09,PN,Prospecting | Destination,Destination,50392,661,463.61
2023-01-09,PN,Prospect | Awareness,Awareness,40860,471,351.39
2023-01-09,NE,Prospecting | Destination,Destination,46230,685,425.32
2023-01-09,NE,Prospect | Awareness,Awareness,32504,415,279.53
2023-01-16,CO,Prospecting | Destination,Destination,56371,746,518.61
2023-01-16,CO,Prospect | Awareness,Awareness,47217,579,406.06
2023-01-16,UT,Prospecting | Destination,Destination,54775,744,503.93
2023-01-16,UT,Prospect | Awareness,Awareness,44625,567,383.77
2023-01-16,CA,Prospecting | Destination,Destination,56834,796,522.87
2023-01-16,CA,Prospect | Awareness,Awareness,47650,548,409.79
2023-01-16,PN,Prospecting | Destination,Destination,55909,783,514.37
2023-01-16,PN,Prospect | Awareness,Awareness,37403,444,321.67
2023-01-16,NE,Prospecting | Destination,Destination,43525,612,400.43
2023-01-16,NE,Prospect | Awareness,Awareness,40035,468,344.3
2023-01-23,CO,Prospecting | Destination,Destination,91940,1230,845.85
2023-01-23,CO,Prospect | Awareness,Awareness,69320,774,596.15
2023-01-23,UT,Prospecting | Destination,Destination,81200,1213,747.04
2023-01-23,UT,Prospect | Awareness,Awareness,60537,720,520.62
2023-01-23,CA,Prospecting | Destination,Destination,75542,1036,694.99
2023-01-23,CA,Prospect | Awareness,Awareness,68955,842,593.01
2023-01-23,PN,Prospecting | Destination,Destination,70288,984,646.65
2023-01-23,PN,Prospect | Awareness,Awareness,54038,690,464.73
2023-01-23,NE,Prospecting | Destination,Destination,68186,894,627.31
2023-01-23,NE,Prospect | Awareness,Awareness,42359,534,364.29
2023-01-30,CO,Prospecting | Destination,Destination,59546,859,547.82
2023-01-30,CO,Prospect | Awareness,Awareness,55170,646,474.46
2023-01-30,UT,Prospecting | Destination,Destination,54645,754,502.73
2023-01-30,UT,Prospect | Awareness,Awareness,51223,587,440.52
2023-01-30,CA,Prospecting | Destination,Destination,59655,805,548.82
2023-01-30,CA,Prospect | Awareness,Awareness,48442,564,416.6
2023-01-30,PN,Prospecting | Destination,Destination,46253,639,425.53
2023-01-30,PN,Prospect | Awareness,Awareness,46290,552,398.09
2023-01-30,NE,Prospecting | Destination,Destination,43163,575,397.1
2023-01-30,NE,Prospect | Awareness,Awareness,37016,444,318.34
2023-02-06,CO,Prospecting | Destination,Destination,61431,801,565.16
2023-02-06,CO,Prospect | Awareness,Awareness,57004,692,490.23
2023-02-06,UT,Prospecting | Destination,Destination,54764,769,503.83
2023-02-06,UT,Prospect | Awareness,Awareness,51670,603,444.36
2023-02-06,CA,Prospecting | Destination,Destination,69781,933,641.99
2023-02-06,CA,Prospect | Awareness,Awareness,55047,689,473.4
2023-02-06,PN,Prospecting | Destination,Destination,53656,727,493.64
2023-02-06,PN,Prospect | Awareness,Awareness,37220,438,320.09
2023-02-06,NE,Prospecting | Destination,Destination,50433,674,463.98
2023-02-06,NE,Prospect | Awareness,Awareness,41474,501,356.68
2023-02-13,CO,Prospecting | Destination,Destination,79085,1058,727.59
2023-02-13,CO,Prospect | Awareness,Awareness,50708,628,436.09
2023-02-13,UT,Prospecting | Destination,Destination,68731,955,632.32
2023-02-13,UT,Prospect | Awareness,Awareness,47078,581,404.87
2023-02-13,CA,Prospecting | Destination,Destination,58442,875,537.67
2023-02-13,CA,Prospect | Awareness,Awareness,48282,561,415.22
2023-02-13,PN,Prospecting | Destination,Destination,56531,781,520.09
2023-02-13,PN,Prospect | Awareness,Awareness,44499,512,382.7
2023-02-13,NE,Prospecting | Destination,Destination,57819,829,531.94
2023-02-13,NE,Prospect | Awareness,Awareness,40351,483,347.02
2023-02-20,CO,Prospecting | Destination,Destination,71255,1053,655.54
2023-02-20,CO,Prospect | Awareness,Awareness,50145,636,431.25
2023-02-20,UT,Prospecting | Destination,Destination,71333,945,656.26
2023-02-20,UT,Prospect | Awareness,Awareness,52972,598,455.56
2023-02-20,CA,Prospecting | Destination,Destination,60597,884,557.5
2023-02-20,CA,Prospect | Awareness,Awareness,55642,622,478.52
2023-02-20,PN,Prospecting | Destination,Destination,54691,803,503.16
2023-02-20,PN,Prospect | Awareness,Awareness,41819,473,359.65
2023-02-20,NE,Prospecting | Destination,Destination,50742,708,466.83
2023-02-20,NE,Prospect | Awareness,Awareness,42430,530,364.9
2023-02-27,CO,Prospecting | Destination,Destination,74301,994,683.57
2023-02-27,CO,Prospect | Awareness,Awareness,49066,564,421.97
2023-02-27,UT,Prospecting | Destination,Destination,60721,896,558.63
2023-02-27,UT,Prospect | Awareness,Awareness,49448,586,425.25
2023-02-27,CA,Prospecting | Destination,Destination,60796,850,559.32
2023-02-27,CA,Prospect | Awareness,Awareness,51459,587,442.55
2023-02-27,PN,Prospecting | Destination,Destination,54192,793,498.56
2023-02-27,PN,Prospect | Awareness,Awareness,48577,581,417.76
2023-02-27,NE,Prospecting | Destination,Destination,55105,787,506.97
2023-02-27,NE,Prospect | Awareness,Awareness,43990,494,378.32
2023-03-06,CO,Prospecting | Destination,Destination,60286,900,554.63
2023-03-06,CO,Prospect | Awareness,Awareness,56719,723,487.78
2023-03-06,UT,Prospecting | Destination,Destination,58458,785,537.81
2023-03-06,UT,Prospect | Awareness,Awareness,42475,527,365.28
2023-03-06,CA,Prospecting | Destination,Destination,61162,841,562.69
2023-03-06,CA,Prospect | Awareness,Awareness,52718,612,453.37
2023-03-06,PN,Prospecting | Destination,Destination,54989,718,505.9
2023-03-06,PN,Prospect | Awareness,Awareness,44252,550,380.57
2023-03-06,NE,Prospecting | Destination,Destination,56200,817,517.04
2023-03-06,NE,Prospect | Awareness,Awareness,39267,457,337.7
2023-03-13,CO,Prospecting | Destination,Destination,70794,1059,651.3
2023-03-13,CO,Prospect | Awareness,Awareness,46512,552,400.0
2023-03-13,UT,Prospecting | Destination,Destination,65031,889,598.29
2023-03-13,UT,Prospect | Awareness,Awareness,49981,606,429.84
2023-03-13,CA,Prospecting | Destination,Destination,65714,929,604.57
2023-03-13,CA,Prospect | Awareness,Awareness,55626,699,478.38
2023-03-13,PN,Prospecting | Destination,Destination,61177,806,562.83
2023-03-13,PN,Prospect | Awareness,Awareness,47589,611,409.27
2023-03-13,NE,Prospecting | Destination,Destination,46412,687,426.99
2023-03-13,NE,Prospect | Awareness,Awareness,34308,406,295.05
2023-03-20,CO,Prospecting | Destination,Destination,74987,1012,689.88
2023-03-20,CO,Prospect | Awareness,Awareness,48163,609,414.2
2023-03-20,UT,Prospecting | Destination,Destination,58449,797,537.73
2023-03-20,UT,Prospect | Awareness,Awareness,41238,510,354.64
2023-03-20,CA,Prospecting | Destination,Destination,61771,866,568.29
2023-03-20,CA,Prospect | Awareness,Awareness,53360,671,458.89
2023-03-20,PN,Prospecting | Destination,Destination,57522,763,529.2
2023-03-20,PN,Prospect | Awareness,Awareness,48486,616,416.98
2023-03-20,NE,Prospecting | Destination,Destination,43610,612,401.21
2023-03-20,NE,Prospect | Awareness,Awareness,36569,427,314.49
2023-03-27,CO,Prospecting | Destination,Destination,87506,1152,805.05
2023-03-27,CO,Prospect | Awareness,Awareness,60535,750,520.6
