week_start,geo,campaign_name,adset_name,impressions,clicks,amount_spent
2022-11-07,CO,Retargeting | Abandoned Search,Abandoned Search,33336,900,380.03
2022-11-07,CO,Remarketing | Site Visitors,Site Visitors,27961,687,301.98
2022-11-07,UT,Retargeting | Abandoned Search,Abandoned Search,31489,860,358.97
2022-11-07,UT,Remarketing | Site Visitors,Site Visitors,28184,711,304.39
2022-11-07,CA,Retargeting | Abandoned Search,Abandoned Search,29991,848,341.9
2022-11-07,CA,Remarketing | Site Visitors,Site Visitors,28017,704,302.59
2022-11-07,PN,Retargeting | Abandoned Search,Abandoned Search,28946,828,329.99
2022-11-07,PN,Remarketing | Site Visitors,Site Visitors,21783,526,235.25
2022-11-07,NE,Retargeting | Abandoned Search,Abandoned Search,19523,558,222.57
2022-11-07,NE,Remarketing | Site Visitors,Site Visitors,17196,412,185.72
2022-11-14,CO,Retargeting | Abandoned Search,Abandoned Search,36483,1072,415.9
2022-11-14,CO,Remarketing | Site Visitors,Site Visitors,33213,782,358.7
2022-11-14,UT,Retargeting | Abandoned Search,Abandoned Search,26356,758,300.45
2022-11-14,UT,Remarketing | Site Visitors,Site Visitors,22896,555,247.28
2022-11-14,CA,Retargeting | Abandoned Search,Abandoned Search,33467,955,381.52
2022-11-14,CA,Remarketing | Site Visitors,Site Visitors,25429,644,274.63
2022-11-14,PN,Retargeting | Abandoned Search,Abandoned Search,28474,824,324.6
2022-11-14,PN,Remarketing | Site Visitors,Site Visitors,21419,523,231.32
2022-11-14,NE,Retargeting | Abandoned Search,Abandoned Search,19180,565,218.66
2022-11-14,NE,Remarketing | Site Visitors,Site Visitors,17278,419,186.6
2022-11-21,CO,Retargeting | Abandoned Search,Abandoned Search,43181,1174,492.26
2022-11-21,CO,Remarketing | Site Visitors,Site Visitors,37029,938,399.92
2022-11-21,UT,Retargeting | Abandoned Search,Abandoned Search,32009,906,364.91
2022-11-21,UT,Remarketing | Site Visitors,Site Visitors,25895,623,279.67
2022-11-21,CA,Retargeting | Abandoned Search,Abandoned Search,38583,1032,439.85
2022-11-21,CA,Remarketing | Site Visitors,Site Visitors,30241,715,326.6
2022-11-21,PN,Retargeting | Abandoned Search,Abandoned Search,30654,814,349.46
2022-11-21,PN,Remarketing | Site Visitors,Site Visitors,27216,625,293.94
2022-11-21,NE,Retargeting | Abandoned Search,Abandoned Search,22469,598,256.14
2022-11-21,NE,Remarketing | Site Visitors,Site Visitors,21655,491,233.88
2022-11-28,CO,Retargeting | Abandoned Search,Abandoned Search,38450,1070,438.33
2022-11-28,CO,Remarketing | Site Visitors,Site Visitors,30820,784,332.85
2022-11-28,UT,Retargeting | Abandoned Search,Abandoned Search,39649,1148,452.0
2022-11-28,UT,Remarketing | Site Visitors,Site Visitors,31644,759,341.75
2022-11-28,CA,Retargeting | Abandoned Search,Abandoned Search,37971,1031,432.87
2022-11-28,CA,Remarketing | Site Visitors,Site Visitors,29509,732,318.69
2022-11-28,PN,Retargeting | Abandoned Search,Abandoned Search,29184,836,332.7
2022-11-28,PN,Remarketing | Site Visitors,Site Visitors,23189,563,250.44
2022-11-28,NE,Retargeting | Abandoned Search,Abandoned Search,22308,639,254.32
2022-11-28,NE,Remarketing | Site Visitors,Site Visitors,17485,439,188.84
2022-12-05,CO,Retargeting | Abandoned Search,Abandoned Search,32425,899,369.65
2022-12-05,CO,Remarketing | Site Visitors,Site Visitors,29600,701,319.68
2022-12-05,UT,Retargeting | Abandoned Search,Abandoned Search,32824,958,374.2
2022-12-05,UT,Remarketing | Site Visitors,Site Visitors,24377,555,263.28
2022-12-05,CA,Retargeting | Abandoned Search,Abandoned Search,35385,996,403.39
2022-12-05,CA,Remarketing | Site Visitors,Site Visitors,30885,722,333.55
2022-12-05,PN,Retargeting | Abandoned Search,Abandoned Search,22909,620,261.17
2022-12-05,PN,Remarketing | Site Visitors,Site Visitors,19490,459,210.49
2022-12-05,NE,Retargeting | Abandoned Search,Abandoned Search,21137,574,240.96
2022-12-05,NE,Remarketing | Site Visitors,Site Visitors,16357,402,176.66
2022-12-12,CO,Retargeting | Abandoned Search,Abandoned Search,37545,1079,428.01
2022-12-12,CO,Remarketing | Site Visitors,Site Visitors,32545,781,351.48
2022-12-12,UT,Retargeting | Abandoned Search,Abandoned Search,36991,978,421.69
2022-12-12,UT,Remarketing | Site Visitors,Site Visitors,27814,635,300.39
2022-12-12,CA,Retargeting | Abandoned Search,Abandoned Search,39154,1042,446.35
2022-12-12,CA,Remarketing | Site Visitors,Site Visitors,31391,711,339.02
2022-12-12,PN,Retargeting | Abandoned Search,Abandoned Search,23892,691,272.37
2022-12-12,PN,Remarketing | Site Visitors,Site Visitors,21116,527,228.05
2022-12-12,NE,Retargeting | Abandoned Search,Abandoned Search,24685,652,281.41
2022-12-12,NE,Remarketing | Site Visitors,Site Visitors,22854,555,246.83
2022-12-19,CO,Retargeting | Abandoned Search,Abandoned Search,40513,1084,461.85
2022-12-19,CO,Remarketing | Site Visitors,Site Visitors,32759,785,353.8
2022-12-19,UT,Retargeting | Abandoned Search,Abandoned Search,28248,774,322.02
2022-12-19,UT,Remarketing | Site Visitors,Site Visitors,27496,688,296.96
2022-12-19,CA,Retargeting | Abandoned Search,Abandoned Search,31400,837,357.96
2022-12-19,CA,Remarketing | Site Visitors,Site Visitors,31059,706,335.44
2022-12-19,PN,Retargeting | Abandoned Search,Abandoned Search,28968,788,330.23
2022-12-19,PN,Remarketing | Site Visitors,Site Visitors,22872,569,247.02
2022-12-19,NE,Retargeting | Abandoned Search,Abandoned Search,20875,603,237.98
2022-12-19,NE,Remarketing | Site Visitors,Site Visitors,17770,415,191.91
2022-12-26,CO,Retargeting | Abandoned Search,Abandoned Search,40456,1179,461.2
2022-12-26,CO,Remarketing | Site Visitors,Site Visitors,39818,919,430.03
2022-12-26,UT,Retargeting | Abandoned Search,Abandoned Search,34590,987,394.33
2022-12-26,UT,Remarketing | Site Visitors,Site Visitors,25461,636,274.97
2022-12-26,CA,Retargeting | Abandoned Search,Abandoned Search,44247,1257,504.42
2022-12-26,CA,Remarketing | Site Visitors,Site Visitors,37785,930,408.07
2022-12-26,PN,Retargeting | Abandoned Search,Abandoned Search,30389,892,346.43
2022-12-26,PN,Remarketing | Site Visitors,Site Visitors,24374,554,263.24
2022-12-26,NE,Retargeting | Abandoned Search,Abandoned Search,23244,619,264.98
2022-12-26,NE,Remarketing | Site Visitors,Site Visitors,19330,482,208.76
2023-01-02,CO,Retargeting | Abandoned Search,Abandoned Search,43508,1238,495.99
2023-01-02,CO,Remarketing | Site Visitors,Site Visitors,40698,1006,439.54
2023-01-02,UT,Retargeting | Abandoned Search,Abandoned Search,37890,1019,431.95
2023-01-02,UT,Remarketing | Site Visitors,Site Visitors,34526,878,372.89
2023-01-02,CA,Retargeting | Abandoned Search,Abandoned Search,45063,1298,513.72
2023-01-02,CA,Remarketing | Site Visitors,Site Visitors,36341,840,392.48
2023-01-02,PN,Retargeting | Abandoned Search,Abandoned Search,36763,999,419.1
2023-01-02,PN,Remarketing | Site Visitors,Site Visitors,28129,638,303.79
2023-01-02,NE,Retargeting | Abandoned Search,Abandoned Search,30148,864,343.69
2023-01-02,NE,Remarketing | Site Visitors,Site Visitors,23328,585,251.95
2023-01-09,CO,Retargeting | Abandoned Search,Abandoned Search,39007,1055,444.68
2023-01-09,CO,Remarketing | Site Visitors,Site Visitors,30077,715,324.84
2023-01-09,UT,Retargeting | Abandoned Search,Abandoned Search,35277,1008,402.16
2023-01-09,UT,Remarketing | Site Visitors,Site Visitors,29939,730,323.34
2023-01-09,CA,Retargeting | Abandoned Search,Abandoned Search,42253,1204,481.68
2023-01-09,CA,Remarketing | Site Visitors,Site Visitors,31051,778,335.35
2023-01-09,PN,Retargeting | Abandoned Search,Abandoned Search,32874,881,374.76
2023-01-09,PN,Remarketing | Site Visitors,Site Visitors,26687,636,288.22
2023-01-09,NE,Retargeting | Abandoned Search,Abandoned Search,22923,671,261.32
2023-01-09,NE,Remarketing | Site Visitors,Site Visitors,21951,526,237.07
2023-01-16,CO,Retargeting | Abandoned Search,Abandoned Search,44508,1302,507.39
2023-01-16,CO,Remarketing | Site Visitors,Site Visitors,35558,842,384.03
2023-01-16,UT,Retargeting | Abandoned Search,Abandoned Search,36072,1059,411.22
2023-01-16,UT,Remarketing | Site Visitors,Site Visitors,30695,772,331.51
2023-01-16,CA,Retargeting | Abandoned Search,Abandoned Search,38565,1127,439.64
2023-01-16,CA,Remarketing | Site Visitors,Site Visitors,29332,737,316.78
2023-01-16,PN,Retargeting | Abandoned Search,Abandoned Search,36196,1060,412.64
2023-01-16,PN,Remarketing | Site Visitors,Site Visitors,30576,708,330.23
2023-01-16,NE,Retargeting | Abandoned Search,Abandoned Search,21600,590,246.24
2023-01-16,NE,Remarketing | Site Visitors,Site Visitors,16105,385,173.93
2023-01-23,CO,Retargeting | Abandoned Search,Abandoned Search,48373,1425,551.46
2023-01-23,CO,Remarketing | Site Visitors,Site Visitors,38945,974,420.61
2023-01-23,UT,Retargeting | Abandoned Search,Abandoned Search,39079,1119,445.51
2023-01-23,UT,Remarketing | Site Visitors,Site Visitors,32446,755,350.41
2023-01-23,CA,Retargeting | Abandoned Search,Abandoned Search,42739,1154,487.22
2023-01-23,CA,Remarketing | Site Visitors,Site Visitors,32290,758,348.73
2023-01-23,PN,Retargeting | Abandoned Search,Abandoned Search,35724,1052,407.25
2023-01-23,PN,Remarketing | Site Visitors,Site Visitors,29091,736,314.19
2023-01-23,NE,Retargeting | Abandoned Search,Abandoned Search,31575,897,359.95
2023-01-23,NE,Remarketing | Site Visitors,Site Visitors,26743,656,288.82
2023-01-30,CO,Retargeting | Abandoned Search,Abandoned Search,43729,1202,498.51
2023-01-30,CO,Remarketing | Site Visitors,Site Visitors,37952,896,409.88
2023-01-30,UT,Retargeting | Abandoned Search,Abandoned Search,40432,1112,460.93
2023-01-30,UT,Remarketing | Site Visitors,Site Visitors,31876,750,344.27
2023-01-30,CA,Retargeting | Abandoned Search,Abandoned Search,39807,1091,453.8
2023-01-30,CA,Remarketing | Site Visitors,Site Visitors,28686,704,309.81
2023-01-30,PN,Retargeting | Abandoned Search,Abandoned Search,33513,942,382.04
2023-01-30,PN,Remarketing | Site Visitors,Site Visitors,26499,622,286.19
2023-01-30,NE,Retargeting | Abandoned Search,Abandoned Search,28369,828,323.41
2023-01-30,NE,Remarketing | Site Visitors,Site Visitors,20862,498,225.31
2023-02-06,CO,Retargeting | Abandoned Search,Abandoned Search,43251,1203,493.07
2023-02-06,CO,Remarketing | Site Visitors,Site Visitors,39087,901,422.14
2023-02-06,UT,Retargeting | Abandoned Search,Abandoned Search,37184,980,423.9
2023-02-06,UT,Remarketing | Site Visitors,Site Visitors,28843,718,311.51
2023-02-06,CA,Retargeting | Abandoned Search,Abandoned Search,42248,1178,481.62
2023-02-06,CA,Remarketing | Site Visitors,Site Visitors,33327,798,359.93
2023-02-06,PN,Retargeting | Abandoned Search,Abandoned Search,28706,842,327.25
2023-02-06,PN,Remarketing | Site Visitors,Site Visitors,25727,601,277.85
2023-02-06,NE,Retargeting | Abandoned Search,Abandoned Search,26650,788,303.81
2023-02-06,NE,Remarketing | Site Visitors,Site Visitors,20736,509,223.95
2023-02-13,CO,Retargeting | Abandoned Search,Abandoned Search,47892,1310,545.97
2023-02-13,CO,Remarketing | Site Visitors,Site Visitors,40598,1011,438.46
2023-02-13,UT,Retargeting | Abandoned Search,Abandoned Search,41181,1154,469.46
2023-02-13,UT,Remarketing | Site Visitors,Site Visitors,34320,857,370.65
2023-02-13,CA,Retargeting | Abandoned Search,Abandoned Search,44157,1186,503.39
2023-02-13,CA,Remarketing | Site Visitors,Site Visitors,33674,819,363.68
2023-02-13,PN,Retargeting | Abandoned Search,Abandoned Search,35816,991,408.3
2023-02-13,PN,Remarketing | Site Visitors,Site Visitors,28708,670,310.04
2023-02-13,NE,Retargeting | Abandoned Search,Abandoned Search,29532,788,336.67
2023-02-13,NE,Remarketing | Site Visitors,Site Visitors,27299,652,294.83
2023-02-20,CO,Retargeting | Abandoned Search,Abandoned Search,46292,1315,527.73
2023-02-20,CO,Remarketing | Site Visitors,Site Visitors,43285,1054,467.48
2023-02-20,UT,Retargeting | Abandoned Search,Abandoned Search,33914,994,386.62
2023-02-20,UT,Remarketing | Site Visitors,Site Visitors,28675,653,309.69
2023-02-20,CA,Retargeting | Abandoned Search,Abandoned Search,50068,1437,570.77
2023-02-20,CA,Remarketing | Site Visitors,Site Visitors,38379,948,414.49
2023-02-20,PN,Retargeting | Abandoned Search,Abandoned Search,28137,821,320.76
2023-02-20,PN,Remarketing | Site Visitors,Site Visitors,25024,589,270.26
2023-02-20,NE,Retargeting | Abandoned Search,Abandoned Search,25307,704,288.5
2023-02-20,NE,Remarketing | Site Visitors,Site Visitors,23434,566,253.08
2023-02-27,CO,Retargeting | Abandoned Search,Abandoned Search,56621,1586,645.48
2023-02-27,CO,Remarketing | Site Visitors,Site Visitors,43330,1059,467.97
2023-02-27,UT,Retargeting | Abandoned Search,Abandoned Search,35599,1050,405.82
2023-02-27,UT,Remarketing | Site Visitors,Site Visitors,27987,652,302.25
2023-02-27,CA,Retargeting | Abandoned Search,Abandoned Search,40927,1137,466.56
2023-02-27,CA,Remarketing | Site Visitors,Site Visitors,34419,786,371.72
2023-02-27,PN,Retargeting | Abandoned Search,Abandoned Search,33225,957,378.77
2023-02-27,PN,Remarketing | Site Visitors,Site Visitors,25660,590,277.13
2023-02-27,NE,Retargeting | Abandoned Search,Abandoned Search,22963,654,261.77
2023-02-27,NE,Remarketing | Site Visitors,Site Visitors,18661,430,201.54
2023-03-06,CO,Retargeting | Abandoned Search,Abandoned Search,50825,1344,579.41
2023-03-06,CO,Remarketing | Site Visitors,Site Visitors,42040,1001,454.03
2023-03-06,UT,Retargeting | Abandoned Search,Abandoned Search,35196,958,401.23
2023-03-06,UT,Remarketing | Site Visitors,Site Visitors,29636,672,320.07
2023-03-06,CA,Retargeting | Abandoned Search,Abandoned Search,32183,925,366.89
2023-03-06,CA,Remarketing | Site Visitors,Site Visitors,27184,647,293.59
2023-03-06,PN,Retargeting | Abandoned Search,Abandoned Search,29399,776,335.15
2023-03-06,PN,Remarketing | Site Visitors,Site Visitors,25522,601,275.64
2023-03-06,NE,Retargeting | Abandoned Search,Abandoned Search,27344,749,311.72
2023-03-06,NE,Remarketing | Site Visitors,Site Visitors,19566,494,211.31
2023-03-13,CO,Retargeting | Abandoned Search,Abandoned Search,40564,1177,462.43
2023-03-13,CO,Remarketing | Site Visitors,Site Visitors,32360,753,349.49
2023-03-13,UT,Retargeting | Abandoned Search,Abandoned Search,38196,1043,435.43
2023-03-13,UT,Remarketing | Site Visitors,Site Visitors,32165,739,347.38
2023-03-13,CA,Retargeting | Abandoned Search,Abandoned Search,42483,1214,484.3
2023-03-13,CA,Remarketing | Site Visitors,Site Visitors,34382,811,371.32
2023-03-13,PN,Retargeting | Abandoned Search,Abandoned Search,28275,771,322.33
2023-03-13,PN,Remarketing | Site Visitors,Site Visitors,28113,690,303.62
2023-03-13,NE,Retargeting | Abandoned Search,Abandoned Search,26953,742,307.26
2023-03-13,NE,Remarketing | Site Visitors,Site Visitors,21538,502,232.61
2023-03-20,CO,Retargeting | Abandoned Search,Abandoned Search,43084,1175,491.16
2023-03-20,CO,Remarketing | Site Visitors,Site Visitors,33454,833,361.3
2023-03-20,UT,Retargeting | Abandoned Search,Abandoned Search,31841,906,362.99
2023-03-20,UT,Remarketing | Site Visitors,Site Visitors,29029,719,313.51
2023-03-20,CA,Retargeting | Abandoned Search,Abandoned Search,40267,1063,459.04
2023-03-20,CA,Remarketing | Site Visitors,Site Visitors,35219,816,380.36
2023-03-20,PN,Retargeting | Abandoned Search,Abandoned Search,33238,960,378.91
2023-03-20,PN,Remarketing | Site Visitors,Site Visitors,28066,681,303.11
2023-03-20,NE,Retargeting | Abandoned Search,Abandoned Search,22599,625,257.63
2023-03-20,NE,Remarketing | Site Visitors,Site Visitors,19070,442,205.95
2023-03-27,CO,Retargeting | Abandoned Search,Abandoned Search,50164,1397,571.87
2023-03-27,CO,Remarketing | Site Visitors,Site Visitors,35820,910,386.86
2023-03-27,UT,Retargeting | Abandoned Search,Abandoned Search,35754,1045,407.6
2023-03-27,UT,Remarketing | Site Visitors,Site Visitors,35592,899,384.39
2023-03-27,CA,Retargeting | Abandoned Search,Abandoned Search,42902,1184,489.09
2023-03-27,CA,Remarketing | Site Visitors,Site Visitors,41444,966,447.6
2023-03-27,PN,Retargeting | Abandoned Search,Abandoned Search,31350,928,357.39
2023-03-27,PN,Remarketing | Site Visitors,Site Visitors,25993,653,280.72
2023-03-27,NE,Retargeting | Abandoned Search,Abandoned Search,33771,897,384.99
2023-03-27,NE,Remarketing | Site Visitors,Site Visitors,25770,652,278.32
2023-04-03,CO,Retargeting | Abandoned Search,Abandoned Search,48444,1312,552.26
2023-04-03,CO,Remarketing | Site Visitors,Site Visitors,42636,1028,460.47
2023-04-03,UT,Retargeting | Abandoned Search,Abandoned Search,38088,1054,434.21
2023-04-03,UT,Remarketing | Site Visitors,Site Visitors,28528,703,308.1
2023-04-03,CA,Retargeting | Abandoned Search,Abandoned Search,44390,1232,506.05
2023-04-03,CA,Remarketing | Site Visitors,Site Visitors,37347,929,403.34
2023-04-03,PN,Retargeting | Abandoned Search,Abandoned Search,27804,746,316.97
2023-04-03,PN,Remarketing | Site Visitors,Site Visitors,23222,567,250.8
2023-04-03,NE,Retargeting | Abandoned Search,Abandoned Search,22885,645,260.89
2023-04-03,NE,Remarketing | Site Visitors,Site Visitors,18067,459,195.12
2023-04-10,CO,Retargeting | Abandoned Search,Abandoned Search,45557,1276,519.35
2023-04-10,CO,Remarketing | Site Visitors,Site Visitors,35469,867,383.06
2023-04-10,UT,Retargeting | Abandoned Search,Abandoned Search,34258,959,390.54
2023-04-10,UT,Remarketing | Site Visitors,Site Visitors,28538,659,308.21
2023-04-10,CA,Retargeting | Abandoned Search,Abandoned Search,39417,1097,449.35
2023-04-10,CA,Remarketing | Site Visitors,Site Visitors,28965,690,312.83
2023-04-10,PN,Retargeting | Abandoned Search,Abandoned Search,29593,811,337.37
2023-04-10,PN,Remarketing | Site Visitors,Site Visitors,26431,635,285.45
2023-04-10,NE,Retargeting | Abandoned Search,Abandoned Search,26720,755,304.6
2023-04-10,NE,Remarketing | Site Visitors,Site Visitors,22555,570,243.59
2023-04-17,CO,Retargeting | Abandoned Search,Abandoned Search,39623,1098,451.7
2023-04-17,CO,Remarketing | Site Visitors,Site Visitors,32711,785,353.28
2023-04-17,UT,Retargeting | Abandoned Search,Abandoned Search,30517,863,347.9
2023-04-17,UT,Remarketing | Site Visitors,Site Visitors,26126,603,282.16
2023-04-17,CA,Retargeting | Abandoned Search,Abandoned Search,33612,916,383.18
2023-04-17,CA,Remarketing | Site Visitors,Site Visitors,28944,734,312.6
2023-04-17,PN,Retargeting | Abandoned Search,Abandoned Search,30044,818,342.5
2023-04-17,PN,Remarketing | Site Visitors,Site Visitors,25875,645,279.45
2023-04-17,NE,Retargeting | Abandoned Search,Abandoned Search,25858,742,294.78
2023-04-17,NE,Remarketing | Site Visitors,Site Visitors,20995,494,226.75
2023-04-24,CO,Retargeting | Abandoned Search,Abandoned Search,38477,1129,438.64
2023-04-24,CO,Remarketing | Site Visitors,Site Visitors,32558,791,351.62
2023-04-24,UT,Retargeting | Abandoned Search,Abandoned Search,32748,939,373.32
2023-04-24,UT,Remarketing | Site Visitors,Site Visitors,25873,602,279.43
2023-04-24,CA,Retargeting | Abandoned Search,Abandoned Search,37623,1107,428.91
2023-04-24,CA,Remarketing | Site Visitors,Site Visitors,34271,848,370.12
2023-04-24,PN,Retargeting | Abandoned Search,Abandoned Search,27285,779,311.05
2023-04-24,PN,Remarketing | Site Visitors,Site Visitors,22678,535,244.92
2023-04-24,NE,Retargeting | Abandoned Search,Abandoned Search,25572,697,291.52
2023-04-24,NE,Remarketing | Site Visitors,Site Visitors,20033,463,216.35
2023-05-01,CO,Retargeting | Abandoned Search,Abandoned Search,49508,1464,564.4
2023-05-01,CO,Remarketing | Site Visitors,Site Visitors,38201,908,412.57
2023-05-01,UT,Retargeting | Abandoned Search,Abandoned Search,29101,780,331.75
2023-05-01,UT,Remarketing | Site Visitors,Site Visitors,28684,713,309.78
2023-05-01,CA,Retargeting | Abandoned Search,Abandoned Search,38179,1092,435.24
2023-05-01,CA,Remarketing | Site Visitors,Site Visitors,30626,704,330.76
2023-05-01,PN,Retargeting | Abandoned Search,Abandoned Search,33850,933,385.89
2023-05-01,PN,Remarketing | Site Visitors,Site Visitors,28345,698,306.12
2023-05-01,NE,Retargeting | Abandoned Search,Abandoned Search,24494,689,279.23
2023-05-01,NE,Remarketing | Site Visitors,Site Visitors,20497,474,221.37
2023-05-08,CO,Retargeting | Abandoned Search,Abandoned Search,37483,1049,427.31
2023-05-08,CO,Remarketing | Site Visitors,Site Visitors,31151,773,336.44
2023-05-08,UT,Retargeting | Abandoned Search,Abandoned Search,32945,938,375.58
2023-05-08,UT,Remarketing | Site Visitors,Site Visitors,29312,740,316.57
2023-05-08,CA,Retargeting | Abandoned Search,Abandoned Search,41802,1195,476.54
2023-05-08,CA,Remarketing | Site Visitors,Site Visitors,31298,720,338.02
2023-05-08,PN,Retargeting | Abandoned Search,Abandoned Search,26321,709,300.06
2023-05-08,PN,Remarketing | Site Visitors,Site Visitors,21838,547,235.85
2023-05-08,NE,Retargeting | Abandoned Search,Abandoned Search,22778,672,259.67
2023-05-08,NE,Remarketing | Site Visitors,Site Visitors,18691,467,201.86
2023-05-15,CO,Retargeting | Abandoned Search,Abandoned Search,39615,1093,451.61
2023-05-15,CO,Remarketing | Site Visitors,Site Visitors,37015,866,399.76
2023-05-15,UT,Retargeting | Abandoned Search,Abandoned Search,31373,916,357.65
2023-05-15,UT,Remarketing | Site Visitors,Site Visitors,24223,609,261.6
2023-05-15,CA,Retargeting | Abandoned Search,Abandoned Search,41586,1173,474.09
2023-05-15,CA,Remarketing | Site Visitors,Site Visitors,32113,770,346.82
2023-05-15,PN,Retargeting | Abandoned Search,Abandoned Search,26148,765,298.09
2023-05-15,PN,Remarketing | Site Visitors,Site Visitors,23608,592,254.97
2023-05-15,NE,Retargeting | Abandoned Search,Abandoned Search,21054,569,240.02
2023-05-15,NE,Remarketing | Site Visitors,Site Visitors,20538,506,221.81
2023-05-22,CO,Retargeting | Abandoned Search,Abandoned Search,45304,1247,516.47
2023-05-22,CO,Remarketing | Site Visitors,Site Visitors,37701,875,407.18
2023-05-22,UT,Retargeting | Abandoned Search,Abandoned Search,30444,853,347.06
2023-05-22,UT,Remarketing | Site Visitors,Site Visitors,27592,686,297.99
2023-05-22,CA,Retargeting | Abandoned Search,Abandoned Search,38518,1018,439.1
2023-05-22,CA,Remarketing | Site Visitors,Site Visitors,27715,654,299.32
2023-05-22,PN,Retargeting | Abandoned Search,Abandoned Search,31460,869,358.64
2023-05-22,PN,Remarketing | Site Visitors,Site Visitors,22539,542,243.42
2023-05-22,NE,Retargeting | Abandoned Search,Abandoned Search,19380,538,220.93
2023-05-22,NE,Remarketing | Site Visitors,Site Visitors,16757,407,180.98
2023-05-29,CO,Retargeting | Abandoned Search,Abandoned Search,41291,1185,470.72
2023-05-29,CO,Remarketing | Site Visitors,Site Visitors,35395,898,382.27
2023-05-29,UT,Retargeting | Abandoned Search,Abandoned Search,39979,1090,455.76
2023-05-29,UT,Remarketing | Site Visitors,Site Visitors,34337,871,370.84
2023-05-29,CA,Retargeting | Abandoned Search,Abandoned Search,37125,1067,423.22
2023-05-29,CA,Remarketing | Site Visitors,Site Visitors,28847,669,311.54
2023-05-29,PN,Retargeting | Abandoned Search,Abandoned Search,36842,982,420.0
2023-05-29,PN,Remarketing | Site Visitors,Site Visitors,28591,722,308.78
2023-05-29,NE,Retargeting | Abandoned Search,Abandoned Search,20963,562,238.98
2023-05-29,NE,Remarketing | Site Visitors,Site Visitors,17684,408,190.98
2023-06-05,CO,Retargeting | Abandoned Search,Abandoned Search,47799,1354,544.91
2023-06-05,CO,Remarketing | Site Visitors,Site Visitors,38602,918,416.9
2023-06-05,UT,Retargeting | Abandoned Search,Abandoned Search,29573,784,337.13
2023-06-05,UT,Remarketing | Site Visitors,Site Visitors,23532,547,254.15
2023-06-05,CA,Retargeting | Abandoned Search,Abandoned Search,29472,797,335.98
2023-06-05,CA,Remarketing | Site Visitors,Site Visitors,25747,640,278.07
2023-06-05,PN,Retargeting | Abandoned Search,Abandoned Search,28328,839,322.94
2023-06-05,PN,Remarketing | Site Visitors,Site Visitors,25360,601,273.89
2023-06-05,NE,Retargeting | Abandoned Search,Abandoned Search,22652,624,258.23
2023-06-05,NE,Remarketing | Site Visitors,Site Visitors,18802,445,203.06
2023-06-12,CO,Retargeting | Abandoned Search,Abandoned Search,39657,1067,452.08
2023-06-12,CO,Remarketing | Site Visitors,Site Visitors,28718,729,310.16
2023-06-12,UT,Retargeting | Abandoned Search,Abandoned Search,29398,780,335.14
2023-06-12,UT,Remarketing | Site Visitors,Site Visitors,23671,600,255.65
2023-06-12,CA,Retargeting | Abandoned Search,Abandoned Search,36657,1031,417.89
2023-06-12,CA,Remarketing | Site Visitors,Site Visitors,26867,683,290.17
2023-06-12,PN,Retargeting | Abandoned Search,Abandoned Search,25991,768,296.3
2023-06-12,PN,Remarketing | Site Visitors,Site Visitors,21328,532,230.35
2023-06-12,NE,Retargeting | Abandoned Search,Abandoned Search,26468,777,301.73
