date,geo,campaign_name,impressions,clicks,spend,ctr
2023-02-06,CO,Inspiration | Winter,8642,125,75.44,0.014464
2023-02-07,CO,Inspiration | Winter,8586,126,57.26,0.014675
2023-02-08,CO,Inspiration | Winter,9533,107,54.77,0.011224
2023-02-09,CO,Inspiration | Winter,10445,87,66.08,0.008329
2023-02-10,CO,Inspiration | Winter,9817,118,60.84,0.01202
2023-02-11,CO,Inspiration | Winter,9863,93,51.84,0.009429
2023-02-12,CO,Inspiration | Winter,12407,117,77.25,0.00943
2023-02-06,CO,Inspiration | Summer,9206,90,45.65,0.009776
2023-02-07,CO,Inspiration | Summer,6644,113,46.46,0.017008
2023-02-08,CO,Inspiration | Summer,6818,122,44.67,0.017894
2023-02-09,CO,Inspiration | Summer,7488,120,38.98,0.016026
2023-02-10,CO,Inspiration | Summer,6408,102,49.2,0.015918
2023-02-11,CO,Inspiration | Summer,8041,86,39.83,0.010695
2023-02-12,CO,Inspiration | Summer,9675,113,50.03,0.01168
2023-02-06,UT,Inspiration | Winter,7795,108,52.92,0.013855
2023-02-07,UT,Inspiration | Winter,8421,75,63.52,0.008906
2023-02-08,UT,Inspiration | Winter,8635,92,61.97,0.010654
2023-02-09,UT,Inspiration | Winter,10786,96,47.86,0.0089
2023-02-10,UT,Inspiration | Winter,9608,80,53.89,0.008326
2023-02-11,UT,Inspiration | Winter,9196,94,57.49,0.010222
2023-02-12,UT,Inspiration | Winter,7856,114,61.06,0.014511
2023-02-06,UT,Inspiration | Summer,8206,93,46.08,0.011333
2023-02-07,UT,Inspiration | Summer,6324,85,40.88,0.013441
2023-02-08,UT,Inspiration | Summer,7337,94,37.28,0.012812
2023-02-09,UT,Inspiration | Summer,5974,125,39.16,0.020924
2023-02-10,UT,Inspiration | Summer,7950,101,53.64,0.012704
2023-02-11,UT,Inspiration | Summer,8136,111,40.28,0.013643
2023-02-12,UT,Inspiration | Summer,7207,90,39.25,0.012488
2023-02-06,CA,Inspiration | Winter,11794,135,69.49,0.011446
2023-02-07,CA,Inspiration | Winter,10857,114,62.07,0.0105
2023-02-08,CA,Inspiration | Winter,11741,107,70.28,0.009113
2023-02-09,CA,Inspiration | Winter,10694,124,76.5,0.011595
2023-02-10,CA,Inspiration | Winter,10188,130,56.84,0.01276
2023-02-11,CA,Inspiration | Winter,10481,145,82.39,0.013835
2023-02-12,CA,Inspiration | Winter,9905,126,66.68,0.012721
2023-02-06,CA,Inspiration | Summer,9202,91,44.38,0.009889
2023-02-07,CA,Inspiration | Summer,6709,111,35.98,0.016545
2023-02-08,CA,Inspiration | Summer,6944,99,47.82,0.014257
2023-02-09,CA,Inspiration | Summer,6543,99,32.89,0.015131
2023-02-10,CA,Inspiration | Summer,7260,82,44.04,0.011295
2023-02-11,CA,Inspiration | Summer,6742,107,39.54,0.015871
2023-02-12,CA,Inspiration | Summer,7292,107,49.36,0.014674
2023-02-06,PN,Inspiration | Winter,9328,83,49.5,0.008898
2023-02-07,PN,Inspiration | Winter,8618,86,57.9,0.009979
2023-02-08,PN,Inspiration | Winter,9033,90,60.17,0.009963
2023-02-09,PN,Inspiration | Winter,7489,81,51.12,0.010816
2023-02-10,PN,Inspiration | Winter,8761,104,53.79,0.011871
2023-02-11,PN,Inspiration | Winter,6433,97,58.77,0.015079
2023-02-12,PN,Inspiration | Winter,8596,91,41.6,0.010586
2023-02-06,PN,Inspiration | Summer,7762,99,35.81,0.012754
2023-02-07,PN,Inspiration | Summer,5722,75,47.6,0.013107
2023-02-08,PN,Inspiration | Summer,7261,98,35.45,0.013497
2023-02-09,PN,Inspiration | Summer,8789,76,35.57,0.008647
2023-02-10,PN,Inspiration | Summer,6027,80,45.17,0.013274
2023-02-11,PN,Inspiration | Summer,6501,82,39.38,0.012613
2023-02-12,PN,Inspiration | Summer,5973,91,39.63,0.015235
2023-02-06,NE,Inspiration | Winter,10041,95,47.38,0.009461
2023-02-07,NE,Inspiration | Winter,7969,102,58.98,0.0128
2023-02-08,NE,Inspiration | Winter,9866,106,49.88,0.010744
2023-02-09,NE,Inspiration | Winter,8636,76,42.01,0.0088
2023-02-10,NE,Inspiration | Winter,7260,99,64.56,0.013636
2023-02-11,NE,Inspiration | Winter,7715,112,62.22,0.014517
2023-02-12,NE,Inspiration | Winter,8248,103,57.27,0.012488
2023-02-06,NE,Inspiration | Summer,4595,74,38.78,0.016104
2023-02-07,NE,Inspiration | Summer,6035,81,33.36,0.013422
2023-02-08,NE,Inspiration | Summer,4657,79,29.98,0.016964
2023-02-09,NE,Inspiration | Summer,6697,68,31.57,0.010154
2023-02-10,NE,Inspiration | Summer,5928,57,35.77,0.009615
2023-02-11,NE,Inspiration | Summer,5325,85,34.08,0.015962
2023-02-12,NE,Inspiration | Summer,6398,81,26.34,0.01266
2023-02-13,CO,Inspiration | Winter,16130,128,97.38,0.007936
2023-02-14,CO,Inspiration | Winter,10607,146,110.25,0.013764
2023-02-15,CO,Inspiration | Winter,15185,124,71.48,0.008166
2023-02-16,CO,Inspiration | Winter,10749,150,81.79,0.013955
2023-02-17,CO,Inspiration | Winter,13962,136,87.69,0.009741
2023-02-18,CO,Inspiration | Winter,11065,155,72.47,0.014008
2023-02-19,CO,Inspiration | Winter,16447,157,81.47,0.009546
2023-02-13,CO,Inspiration | Summer,11383,118,66.01,0.010366
2023-02-14,CO,Inspiration | Summer,11803,118,57.09,0.009997
2023-02-15,CO,Inspiration | Summer,7705,146,52.76,0.018949
2023-02-16,CO,Inspiration | Summer,10432,139,47.44,0.013324
2023-02-17,CO,Inspiration | Summer,8959,114,65.03,0.012725
2023-02-18,CO,Inspiration | Summer,8784,131,48.08,0.014913
