week_ending,geo,bookings,occupancy_index
2022-11-13,CO,207,0.5392
2022-11-13,UT,179,0.5789
2022-11-13,CA,216,0.5316
2022-11-13,PN,177,0.527
2022-11-13,NE,157,0.5367
2022-11-20,CO,213,0.5563
2022-11-20,UT,211,0.5479
2022-11-20,CA,208,0.5289
2022-11-20,PN,184,0.5758
2022-11-20,NE,158,0.5588
2022-11-27,CO,311,0.6076
2022-11-27,UT,263,0.6018
2022-11-27,CA,253,0.5505
2022-11-27,PN,238,0.5643
2022-11-27,NE,218,0.5343
2022-12-04,CO,265,0.6098
2022-12-04,UT,221,0.6115
2022-12-04,CA,248,0.5567
2022-12-04,PN,212,0.5601
2022-12-04,NE,191,0.6204
2022-12-11,CO,241,0.6881
2022-12-11,UT,204,0.6755
2022-12-11,CA,207,0.6325
2022-12-11,PN,194,0.6545
2022-12-11,NE,176,0.683
2022-12-18,CO,249,0.711
2022-12-18,UT,202,0.6782
2022-12-18,CA,215,0.6632
2022-12-18,PN,194,0.641
2022-12-18,NE,172,0.6909
2022-12-25,CO,247,0.6842
2022-12-25,UT,216,0.7215
2022-12-25,CA,224,0.7186
2022-12-25,PN,192,0.6646
2022-12-25,NE,181,0.683
2023-01-01,CO,290,0.7015
2023-01-01,UT,255,0.6926
2023-01-01,CA,272,0.7408
2023-01-01,PN,226,0.7173
2023-01-01,NE,204,0.731
2023-01-08,CO,367,0.7641
2023-01-08,UT,325,0.7117
2023-01-08,CA,305,0.7308
2023-01-08,PN,270,0.7012
2023-01-08,NE,269,0.7119
2023-01-15,CO,268,0.7831
2023-01-15,UT,217,0.7647
2023-01-15,CA,245,0.7593
2023-01-15,PN,225,0.7445
2023-01-15,NE,187,0.732
2023-01-22,CO,279,0.753
2023-01-22,UT,235,0.7692
2023-01-22,CA,239,0.797
2023-01-22,PN,215,0.788
2023-01-22,NE,192,0.7723
2023-01-29,CO,307,0.7888
2023-01-29,UT,271,0.8282
2023-01-29,CA,280,0.7748
2023-01-29,PN,255,0.8077
2023-01-29,NE,226,0.8201
2023-02-05,CO,266,0.8012
2023-02-05,UT,241,0.8503
2023-02-05,CA,241,0.8099
2023-02-05,PN,235,0.834
2023-02-05,NE,214,0.8439
2023-02-12,CO,277,0.8166
2023-02-12,UT,248,0.8274
2023-02-12,CA,259,0.8661
2023-02-12,PN,227,0.8584
2023-02-12,NE,201,0.862
2023-02-19,CO,327,0.833
2023-02-19,UT,308,0.8735
2023-02-19,CA,317,0.8256
2023-02-19,PN,262,0.8256
2023-02-19,NE,247,0.824
2023-02-26,CO,333,0.8483
2023-02-26,UT,314,0.8926
2023-02-26,CA,318,0.9006
2023-02-26,PN,253,0.9183
2023-02-26,NE,250,0.8441
2023-03-05,CO,303,0.8853
2023-03-05,UT,259,0.9217
2023-03-05,CA,255,0.9147
2023-03-05,PN,242,0.8732
2023-03-05,NE,205,0.9317
2023-03-12,CO,284,0.882
2023-03-12,UT,258,0.8825
2023-03-12,CA,268,0.8215
2023-03-12,PN,233,0.8491
2023-03-12,NE,211,0.8833
2023-03-19,CO,294,0.8416
2023-03-19,UT,270,0.9071
2023-03-19,CA,268,0.8636
2023-03-19,PN,234,0.8581
2023-03-19,NE,218,0.8375
2023-03-26,CO,306,0.8875
2023-03-26,UT,249,0.8474
2023-03-26,CA,262,0.8496
2023-03-26,PN,234,0.8699
2023-03-26,NE,210,0.8646
2023-04-02,CO,346,0.8861
2023-04-02,UT,296,0.863
2023-04-02,CA,301,0.8532
2023-04-02,PN,272,0.9207
2023-04-02,NE,244,0.8944
2023-04-09,CO,287,0.9067
2023-04-09,UT,256,0.878
2023-04-09,CA,280,0.8711
2023-04-09,PN,234,0.9041
2023-04-09,NE,198,0.8688
2023-04-16,CO,291,0.8888
2023-04-16,UT,254,0.8697
2023-04-16,CA,267,0.889
2023-04-16,PN,230,0.8929
2023-04-16,NE,214,0.8977
2023-04-23,CO,285,0.8993
2023-04-23,UT,239,0.9314
2023-04-23,CA,269,0.9339
2023-04-23,PN,210,0.8864
2023-04-23,NE,207,0.8882
2023-04-30,CO,261,0.8688
2023-04-30,UT,246,0.8673
2023-04-30,CA,256,0.9024
2023-04-30,PN,233,0.8851
2023-04-30,NE,202,0.9027
2023-05-07,CO,266,0.8768
2023-05-07,UT,255,0.8955
2023-05-07,CA,259,0.8821
2023-05-07,PN,218,0.8819
2023-05-07,NE,199,0.8642
2023-05-14,CO,266,0.9108
2023-05-14,UT,214,0.9128
2023-05-14,CA,255,0.8671
2023-05-14,PN,208,0.8617
2023-05-14,NE,197,0.8796
2023-05-21,CO,264,0.9043
2023-05-21,UT,232,0.8615
2023-05-21,CA,253,0.8418
2023-05-21,PN,222,0.8788
2023-05-21,NE,187,0.8409
2023-05-28,CO,255,0.8561
2023-05-28,UT,241,0.8288
2023-05-28,CA,234,0.9006
2023-05-28,PN,213,0.8499
2023-05-28,NE,186,0.8706
2023-06-04,CO,307,0.8556
2023-06-04,UT,256,0.8784
2023-06-04,CA,275,0.8182
2023-06-04,PN,238,0.857
2023-06-04,NE,211,0.889
2023-06-11,CO,255,0.8294
2023-06-11,UT,229,0.8723
2023-06-11,CA,227,0.8264
2023-06-11,PN,210,0.8054
2023-06-11,NE,172,0.8448
2023-06-18,CO,251,0.825
2023-06-18,UT,219,0.785
2023-06-18,CA,220,0.8425
2023-06-18,PN,198,0.8584
2023-06-18,NE,187,0.8311
2023-06-25,CO,249,0.8198
2023-06-25,UT,199,0.8033
2023-06-25,CA,232,0.7719
2023-06-25,PN,206,0.8351
2023-06-25,NE,173,0.8325
2023-07-02,CO,222,0.7719
2023-07-02,UT,211,0.7518
2023-07-02,CA,224,0.8217
2023-07-02,PN,186,0.8036
2023-07-02,NE,179,0.8178
2023-07-09,CO,262,0.81
2023-07-09,UT,235,0.857
2023-07-09,CA,245,0.8191
2023-07-09,PN,226,0.7836
2023-07-09,NE,204,0.7938
2023-07-16,CO,222,0.7753
2023-07-16,UT,216,0.8404
2023-07-16,CA,220,0.7666
2023-07-16,PN,188,0.832
2023-07-16,NE,152,0.7845
2023-07-23,CO,224,0.7527
2023-07-23,UT,194,0.7871
2023-07-23,CA,208,0.7933
2023-07-23,PN,175,0.7697
2023-07-23,NE,163,0.7874
2023-07-30,CO,206,0.7252
2023-07-30,UT,182,0.7406
2023-07-30,CA,216,0.7731
2023-07-30,PN,183,0.7645
2023-07-30,NE,156,0.7447
2023-08-06,CO,200,0.747
2023-08-06,UT,196,0.7353
2023-08-06,CA,191,0.7639
2023-08-06,PN,177,0.7211
2023-08-06,NE,144,0.7092
2023-08-13,CO,233,0.7214
2023-08-13,UT,170,0.749
2023-08-13,CA,194,0.6925
2023-08-13,PN,174,0.7233
2023-08-13,NE,160,0.7479
2023-08-20,CO,207,0.6658
2023-08-20,UT,195,0.6601
2023-08-20,CA,189,0.6627
2023-08-20,PN,175,0.6941
2023-08-20,NE,155,0.6995
2023-08-27,CO,206,0.6836
2023-08-27,UT,168,0.6861
2023-08-27,CA,185,0.6735
2023-08-27,PN,160,0.7135
2023-08-27,NE,160,0.6841
2023-09-03,CO,211,0.6407
2023-09-03,UT,185,0.6903
2023-09-03,CA,178,0.6652
2023-09-03,PN,154,0.6774
2023-09-03,NE,155,0.6212
2023-09-10,CO,220,0.5916
2023-09-10,UT,211,0.5987
2023-09-10,CA,222,0.6148
2023-09-10,PN,211,0.6051
2023-09-10,NE,168,0.5821
2023-09-17,CO,203,0.6044
2023-09-17,UT,161,0.5611
2023-09-17,CA,191,0.576
2023-09-17,PN,160,0.5633
2023-09-17,NE,144,0.5691
2023-09-24,CO,206,0.5732
2023-09-24,UT,179,0.5395
2023-09-24,CA,187,0.5612
2023-09-24,PN,178,0.544
2023-09-24,NE,148,0.5664
2023-10-01,CO,197,0.5286
2023-10-01,UT,173,0.5698
