week_start,geo,promotional_package,package_name,package_class
2022-11-07,CO,0,none,none
2022-11-07,UT,0,none,none
2022-11-07,CA,0,none,none
2022-11-07,PN,0,none,none
2022-11-07,NE,0,none,none
2022-11-14,CO,0,none,none
2022-11-14,UT,0,none,none
2022-11-14,CA,0,none,none
2022-11-14,PN,0,none,none
2022-11-14,NE,0,none,none
2022-11-21,CO,1,Holiday Escape,coordinated_with_media
2022-11-21,UT,1,Holiday Escape,coordinated_with_media
2022-11-21,CA,1,Holiday Escape,coordinated_with_media
2022-11-21,PN,1,Holiday Escape,coordinated_with_media
2022-11-21,NE,1,Holiday Escape,coordinated_with_media
2022-11-28,CO,0,none,none
2022-11-28,UT,0,none,none
2022-11-28,CA,0,none,none
2022-11-28,PN,0,none,none
2022-11-28,NE,0,none,none
2022-12-05,CO,0,none,none
2022-12-05,UT,0,none,none
2022-12-05,CA,0,none,none
2022-12-05,PN,0,none,none
2022-12-05,NE,0,none,none
2022-12-12,CO,0,none,none
2022-12-12,UT,0,none,none
2022-12-12,CA,0,none,none
2022-12-12,PN,0,none,none
2022-12-12,NE,0,none,none
2022-12-19,CO,0,none,none
2022-12-19,UT,0,none,none
2022-12-19,CA,0,none,none
2022-12-19,PN,0,none,none
2022-12-19,NE,0,none,none
2022-12-26,CO,0,none,none
2022-12-26,UT,0,none,none
2022-12-26,CA,0,none,none
2022-12-26,PN,0,none,none
2022-12-26,NE,0,none,none
2023-01-02,CO,1,Holiday Escape,coordinated_with_media
2023-01-02,UT,1,Holiday Escape,coordinated_with_media
2023-01-02,CA,1,Holiday Escape,coordinated_with_media
2023-01-02,PN,1,Holiday Escape,coordinated_with_media
2023-01-02,NE,1,Holiday Escape,coordinated_with_media
2023-01-09,CO,0,none,none
2023-01-09,UT,0,none,none
2023-01-09,CA,0,none,none
2023-01-09,PN,0,none,none
2023-01-09,NE,0,none,none
2023-01-16,CO,0,none,none
2023-01-16,UT,0,none,none
2023-01-16,CA,0,none,none
2023-01-16,PN,0,none,none
2023-01-16,NE,0,none,none
2023-01-23,CO,1,Ski & Stay,coordinated_with_media
2023-01-23,UT,1,Ski & Stay,coordinated_with_media
2023-01-23,CA,1,Ski & Stay,coordinated_with_media
2023-01-23,PN,1,Ski & Stay,coordinated_with_media
2023-01-23,NE,1,Ski & Stay,coordinated_with_media
2023-01-30,CO,0,none,none
2023-01-30,UT,0,none,none
2023-01-30,CA,0,none,none
2023-01-30,PN,0,none,none
2023-01-30,NE,0,none,none
2023-02-06,CO,0,none,none
2023-02-06,UT,0,none,none
2023-02-06,CA,0,none,none
2023-02-06,PN,0,none,none
2023-02-06,NE,0,none,none
2023-02-13,CO,0,none,none
2023-02-13,UT,0,none,none
2023-02-13,CA,0,none,none
2023-02-13,PN,0,none,none
2023-02-13,NE,0,none,none
2023-02-20,CO,0,none,none
2023-02-20,UT,0,none,none
2023-02-20,CA,0,none,none
2023-02-20,PN,0,none,none
2023-02-20,NE,0,none,none
2023-02-27,CO,0,none,none
2023-02-27,UT,0,none,none
2023-02-27,CA,0,none,none
2023-02-27,PN,0,none,none
2023-02-27,NE,0,none,none
2023-03-06,CO,0,none,none
2023-03-06,UT,0,none,none
2023-03-06,CA,0,none,none
2023-03-06,PN,0,none,none
2023-03-06,NE,0,none,none
2023-03-13,CO,0,none,none
2023-03-13,UT,0,none,none
2023-03-13,CA,0,none,none
2023-03-13,PN,0,none,none
2023-03-13,NE,0,none,none
2023-03-20,CO,0,none,none
2023-03-20,UT,0,none,none
2023-03-20,CA,0,none,none
2023-03-20,PN,0,none,none
2023-03-20,NE,0,none,none
2023-03-27,CO,1,Ski & Stay,coordinated_with_media
2023-03-27,UT,1,Ski & Stay,coordinated_with_media
2023-03-27,CA,1,Ski & Stay,coordinated_with_media
2023-03-27,PN,1,Ski & Stay,coordinated_with_media
2023-03-27,NE,1,Ski & Stay,coordinated_with_media
2023-04-03,CO,0,none,none
2023-04-03,UT,0,none,none
2023-04-03,CA,0,none,none
2023-04-03,PN,0,none,none
2023-04-03,NE,0,none,none
2023-04-10,CO,0,none,none
2023-04-10,UT,0,none,none
2023-04-10,CA,0,none,none
2023-04-10,PN,0,none,none
2023-04-10,NE,0,none,none
2023-04-17,CO,0,none,none
2023-04-17,UT,0,none,none
2023-04-17,CA,0,none,none
2023-04-17,PN,0,none,none
2023-04-17,NE,0,none,none
2023-04-24,CO,0,none,none
2023-04-24,UT,0,none,none
2023-04-24,CA,0,none,none
2023-04-24,PN,0,none,none
2023-04-24,NE,0,none,none
2023-05-01,CO,0,none,none
2023-05-01,UT,0,none,none
2023-05-01,CA,0,none,none
2023-05-01,PN,0,none,none
2023-05-01,NE,0,none,none
2023-05-08,CO,0,none,none
2023-05-08,UT,0,none,none
2023-05-08,CA,0,none,none
2023-05-08,PN,0,none,none
2023-05-08,NE,0,none,none
2023-05-15,CO,0,none,none
2023-05-15,UT,0,none,none
2023-05-15,CA,0,none,none
2023-05-15,PN,0,none,none
2023-05-15,NE,0,none,none
2023-05-22,CO,0,none,none
2023-05-22,UT,0,none,none
2023-05-22,CA,0,none,none
2023-05-22,PN,0,none,none
2023-05-22,NE,0,none,none
2023-05-29,CO,0,none,none
2023-05-29,UT,0,none,none
2023-05-29,CA,0,none,none
2023-05-29,PN,0,none,none
2023-05-29,NE,0,none,none
2023-06-05,CO,0,none,none
2023-06-05,UT,0,none,none
2023-06-05,CA,0,none,none
2023-06-05,PN,0,none,none
2023-06-05,NE,0,none,none
2023-06-12,CO,0,none,none
2023-06-12,UT,0,none,none
2023-06-12,CA,0,none,none
2023-06-12,PN,0,none,none
2023-06-12,NE,0,none,none
2023-06-19,CO,0,none,none
2023-06-19,UT,0,none,none
2023-06-19,CA,0,none,none
2023-06-19,PN,0,none,none
