week_start,geo,booking_revenue,successful_charges
2022-11-07,CO,47517.24,207
2022-11-07,UT,49859.25,179
2022-11-07,CA,"$55,312.69",216
2022-11-07,PN,49808.63,177
2022-11-07,NE,44074.01,157
2022-11-14,CO,55060.74,213
2022-11-14,UT,58328.9,211
2022-11-14,CA,"$50,334.74",208
2022-11-14,PN,42773.42,184
2022-11-14,NE,42519.39,158
2022-11-21,CO,86706.68,311
2022-11-21,UT,60747.86,263
2022-11-21,CA,"$65,612.94",253
2022-11-21,PN,63744.32,238
2022-11-21,NE,60792.84,218
2022-11-28,CO,79222.42,265
2022-11-28,UT,62766.32,221
2022-11-28,CA,"$65,227.53",248
2022-11-28,PN,56272.33,212
2022-11-28,NE,51828.12,191
2022-12-05,CO,69735.38,241
2022-12-05,UT,52654.42,204
2022-12-05,CA,"$51,478.67",207
2022-12-05,PN,46399.53,194
2022-12-05,NE,43574.62,176
2022-12-12,CO,71448.37,249
2022-12-12,UT,58453.35,202
2022-12-12,CA,"$55,015.41",215
2022-12-12,PN,54172.15,194
2022-12-12,NE,47993.96,172
2022-12-19,CO,67510.81,247
2022-12-19,UT,52038.27,216
2022-12-19,CA,"$60,677.72",224
2022-12-19,PN,55501.46,192
2022-12-19,NE,44029.36,181
2022-12-26,CO,85777.42,290
2022-12-26,UT,69531.03,255
2022-12-26,CA,"$70,581.15",272
2022-12-26,PN,59904.94,226
2022-12-26,NE,51538.06,204
2023-01-02,CO,88610.6,367
2023-01-02,UT,95205.53,325
2023-01-02,CA,"$88,161.90",305
2023-01-02,PN,73747.28,270
2023-01-02,NE,79604.02,269
2023-01-09,CO,79591.61,268
2023-01-09,UT,61612.71,217
2023-01-09,CA,"$60,923.46",245
2023-01-09,PN,66424.19,225
2023-01-09,NE,53551.12,187
2023-01-16,CO,81146.41,279
2023-01-16,UT,65294.72,235
2023-01-16,CA,"$64,521.35",239
2023-01-16,PN,61435.27,215
2023-01-16,NE,57440.04,192
2023-01-23,CO,80029.08,307
2023-01-23,UT,75234.57,271
2023-01-23,CA,"$76,894.14",280
2023-01-23,PN,66014.1,255
2023-01-23,NE,58611.06,226
2023-01-30,CO,78016.69,266
2023-01-30,UT,65547.81,241
2023-01-30,CA,"$64,841.16",241
2023-01-30,PN,63499.72,235
2023-01-30,NE,52343.48,214
2023-02-06,CO,80497.65,277
2023-02-06,UT,63882.59,248
2023-02-06,CA,"$69,140.73",259
2023-02-06,PN,55807.29,227
2023-02-06,NE,58579.76,201
2023-02-13,CO,81521.13,327
2023-02-13,UT,90667.39,308
2023-02-13,CA,"$93,908.59",317
2023-02-13,PN,74921.97,262
2023-02-13,NE,73105.97,247
2023-02-20,CO,95085.94,333
2023-02-20,UT,87533.27,314
2023-02-20,CA,"$91,546.94",318
2023-02-20,PN,69038.49,253
2023-02-20,NE,65535.06,250
2023-02-27,CO,83820.09,303
2023-02-27,UT,60966.26,259
2023-02-27,CA,"$72,659.88",255
2023-02-27,PN,63323.36,242
2023-02-27,NE,57274.43,205
2023-03-06,CO,73571.51,284
2023-03-06,UT,73509.47,258
2023-03-06,CA,"$74,065.50",268
2023-03-06,PN,53458.93,233
2023-03-06,NE,50034.24,211
2023-03-13,CO,68224.22,294
2023-03-13,UT,69450.4,270
2023-03-13,CA,"$62,451.68",268
2023-03-13,PN,64369.01,234
2023-03-13,NE,51464.44,218
2023-03-20,CO,83949.49,306
2023-03-20,UT,68363.43,249
2023-03-20,CA,"$59,696.99",262
2023-03-20,PN,61989.78,234
2023-03-20,NE,52250.02,210
2023-03-27,CO,77276.09,346
2023-03-27,UT,72772.03,296
2023-03-27,CA,"$65,696.80",301
2023-03-27,PN,63966.79,272
2023-03-27,NE,51310.6,244
2023-04-03,CO,68715.44,287
2023-04-03,UT,56630.67,256
2023-04-03,CA,"$62,791.30",280
2023-04-03,PN,60575.17,234
2023-04-03,NE,43679.93,198
2023-04-10,CO,66183.75,291
2023-04-10,UT,60572.11,254
2023-04-10,CA,"$64,101.44",267
2023-04-10,PN,57458.75,230
2023-04-10,NE,47877.79,214
2023-04-17,CO,70769.24,285
2023-04-17,UT,52236.51,239
2023-04-17,CA,"$57,244.79",269
2023-04-17,PN,50511.05,210
2023-04-17,NE,53480.01,207
2023-04-24,CO,65126.01,261
2023-04-24,UT,60224.47,246
2023-04-24,CA,"$53,285.54",256
2023-04-24,PN,59558.46,233
2023-04-24,NE,47823.32,202
2023-05-01,CO,59352.69,266
2023-05-01,UT,59888.18,255
2023-05-01,CA,"$65,329.21",259
2023-05-01,PN,47186.6,218
2023-05-01,NE,45393.5,199
2023-05-08,CO,59102.51,266
2023-05-08,UT,44198.06,214
2023-05-08,CA,"$55,663.63",255
2023-05-08,PN,44730.55,208
2023-05-08,NE,39320.26,197
2023-05-15,CO,59857.41,264
2023-05-15,UT,53012.19,232
2023-05-15,CA,"$60,370.63",253
2023-05-15,PN,51749.63,222
2023-05-15,NE,38463.83,187
2023-05-22,CO,56329.0,255
2023-05-22,UT,52740.91,241
2023-05-22,CA,"$48,066.31",234
2023-05-22,PN,44514.45,213
2023-05-22,NE,42955.91,186
2023-05-29,CO,75311.03,307
2023-05-29,UT,51180.28,256
2023-05-29,CA,"$59,901.03",275
2023-05-29,PN,59889.0,238
2023-05-29,NE,44669.36,211
2023-06-05,CO,53668.51,255
2023-06-05,UT,46094.86,229
2023-06-05,CA,"$45,591.06",227
2023-06-05,PN,46970.83,210
2023-06-05,NE,34693.65,172
2023-06-12,CO,57256.8,251
2023-06-12,UT,46101.57,219
2023-06-12,CA,"$47,897.38",220
2023-06-12,PN,42084.59,198
2023-06-12,NE,38214.56,187
2023-06-19,CO,57024.9,249
2023-06-19,UT,42221.94,199
2023-06-19,CA,"$44,977.35",232
2023-06-19,PN,46312.97,206
2023-06-19,NE,35879.92,173
2023-06-26,CO,41265.86,222
2023-06-26,UT,45777.76,211
2023-06-26,CA,"$48,549.96",224
2023-06-26,PN,35795.69,186
2023-06-26,NE,39798.6,179
2023-07-03,CO,53177.71,262
2023-07-03,UT,43481.38,235
2023-07-03,CA,"$44,511.32",245
2023-07-03,PN,42197.87,226
2023-07-03,NE,36882.22,204
2023-07-10,CO,47874.89,222
2023-07-10,UT,46295.41,216
2023-07-10,CA,"$48,367.34",220
2023-07-10,PN,35222.03,188
2023-07-10,NE,29190.7,152
2023-07-17,CO,45406.95,224
2023-07-17,UT,40235.77,194
2023-07-17,CA,"$42,081.71",208
2023-07-17,PN,33750.33,175
2023-07-17,NE,31536.03,163
2023-07-24,CO,47222.77,206
2023-07-24,UT,34477.19,182
2023-07-24,CA,"$44,827.10",216
2023-07-24,PN,41699.29,183
2023-07-24,NE,35167.78,156
2023-07-31,CO,41600.82,200
2023-07-31,UT,42476.06,196
2023-07-31,CA,"$39,754.15",191
2023-07-31,PN,33944.75,177
2023-07-31,NE,33574.64,144
2023-08-07,CO,48608.75,233
2023-08-07,UT,36080.59,170
2023-08-07,CA,"$40,781.52",194
2023-08-07,PN,33530.42,174
2023-08-07,NE,30141.33,160
2023-08-14,CO,43337.33,207
2023-08-14,UT,39315.46,195
2023-08-14,CA,"$42,575.77",189
2023-08-14,PN,38677.33,175
2023-08-14,NE,32102.58,155
2023-08-21,CO,41339.6,206
2023-08-21,UT,32086.57,168
2023-08-21,CA,"$35,203.13",185
2023-08-21,PN,36650.4,160
2023-08-21,NE,32782.3,160
2023-08-28,CO,43454.09,211
2023-08-28,UT,43624.48,185
2023-08-28,CA,"$41,457.41",178
2023-08-28,PN,35559.42,154
2023-08-28,NE,37510.94,155
2023-09-04,CO,46519.91,220
2023-09-04,UT,45449.06,211
2023-09-04,CA,"$51,097.87",222
2023-09-04,PN,46646.55,211
2023-09-04,NE,40522.24,168
2023-09-11,CO,42350.42,203
2023-09-11,UT,39442.99,161
2023-09-11,CA,"$39,163.72",191
2023-09-11,PN,34690.55,160
2023-09-11,NE,35306.73,144
2023-09-18,CO,44294.07,206
2023-09-18,UT,44506.08,179
2023-09-18,CA,"$41,136.32",187
2023-09-18,PN,38761.38,178
2023-09-18,NE,30608.86,148
2023-09-25,CO,48961.5,197
2023-09-25,UT,41935.34,173
2023-09-25,CA,"$42,558.72",181
2023-09-25,PN,37149.4,172
2023-09-25,NE,39542.83,156
2023-10-02,CO,46445.66,216
2023-10-02,UT,42344.81,172
2023-10-02,CA,"$47,126.19",185
2023-10-02,PN,36746.93,172
2023-10-02,NE,37766.33,149
2023-10-09,CO,47864.22,182
2023-10-09,UT,43356.67,177
2023-10-09,CA,"$48,329.21",207
2023-10-09,PN,43545.52,171
2023-10-09,NE,35005.29,139
2023-10-16,CO,53387.77,203
2023-10-16,UT,51005.67,202
2023-10-16,CA,"$43,692.26",182
2023-10-16,PN,41077.41,176
2023-10-16,NE,38417.3,156
2023-10-23,CO,48221.69,224
2023-10-23,UT,48933.49,193
2023-10-23,CA,"$54,740.69",216
2023-10-23,PN,49413.56,208
2023-10-23,NE,38802.71,166
2023-10-30,CO,54731.21,208
2023-10-30,UT,41823.38,181
2023-10-30,CA,"$55,346.69",206
2023-10-30,PN,41392.45,174
2023-10-30,NE,41160.86,154
2023-11-06,CO,55316.92,223
2023-11-06,UT,55030.48,195
2023-11-06,CA,"$49,410.55",211
2023-11-06,PN,51226.07,183
2023-11-06,NE,42572.93,168
2023-11-13,CO,65614.18,238
2023-11-13,UT,48773.31,192
2023-11-13,CA,"$49,866.33",206
2023-11-13,PN,44883.66,164
2023-11-13,NE,44196.15,157
2023-11-20,CO,88192.88,312
2023-11-20,UT,80203.48,293
2023-11-20,CA,"$73,161.83",303
2023-11-20,PN,63922.71,276
2023-11-20,NE,59872.86,217
2023-11-27,CO,73180.82,252
2023-11-27,UT,69305.4,255
2023-11-27,CA,"$66,732.42",240
2023-11-27,PN,63975.76,234
2023-11-27,NE,58682.72,210
2023-12-04,CO,77825.16,287
2023-12-04,UT,58521.13,243
2023-12-04,CA,"$71,715.96",263
2023-12-04,PN,62736.72,228
2023-12-04,NE,50967.63,211
2023-12-11,CO,70044.76,236
2023-12-11,UT,56632.12,228
2023-12-11,CA,"$65,293.44",228
2023-12-11,PN,63405.6,212
2023-12-11,NE,52662.77,176
2023-12-18,CO,66524.81,250
