week_start,geo,snowfall_index,temperature_f,precipitation_index
2022-11-07,CO,35.864,37.17,0.631
2022-11-07,UT,34.907,34.74,0.829
2022-11-07,CA,22.957,41.63,0.905
2022-11-07,PN,25.788,40.23,0.792
2022-11-07,NE,28.128,41.24,1.026
2022-11-14,CO,34.376,37.22,1.019
2022-11-14,UT,37.617,36.22,1.103
2022-11-14,CA,31.879,36.73,0.613
2022-11-14,PN,33.905,39.39,1.048
2022-11-14,NE,30.267,40.36,0.563
2022-11-21,CO,37.295,40.37,0.676
2022-11-21,UT,35.581,34.95,1.081
2022-11-21,CA,28.923,39.97,1.083
2022-11-21,PN,31.835,38.93,0.933
2022-11-21,NE,35.46,37.75,1.16
2022-11-28,CO,40.131,40.21,0.919
2022-11-28,UT,40.886,36.01,1.254
2022-11-28,CA,35.29,40.23,0.838
2022-11-28,PN,38.244,39.98,1.221
2022-11-28,NE,37.212,39.43,0.74
2022-12-05,CO,43.174,21.13,1.207
2022-12-05,UT,42.317,27.01,1.35
2022-12-05,CA,32.905,29.79,0.999
2022-12-05,PN,39.354,31.05,0.856
2022-12-05,NE,36.038,27.64,1.069
2022-12-12,CO,45.972,23.83,1.027
2022-12-12,UT,48.849,25.73,1.03
2022-12-12,CA,34.84,33.69,1.435
2022-12-12,PN,36.831,31.23,1.38
2022-12-12,NE,44.761,30.09,1.217
2022-12-19,CO,54.191,26.26,1.218
2022-12-19,UT,50.518,27.19,1.393
2022-12-19,CA,40.52,32.54,1.183
2022-12-19,PN,45.694,29.12,1.48
2022-12-19,NE,44.082,27.08,1.305
2022-12-26,CO,55.614,26.3,1.058
2022-12-26,UT,54.935,26.52,1.278
2022-12-26,CA,36.784,33.89,1.209
2022-12-26,PN,44.687,29.79,1.178
2022-12-26,NE,46.934,29.07,1.449
2023-01-02,CO,59.666,25.99,1.584
2023-01-02,UT,52.76,27.58,1.49
2023-01-02,CA,37.512,35.09,1.461
2023-01-02,PN,50.005,28.77,1.358
2023-01-02,NE,51.363,24.8,1.578
2023-01-09,CO,59.379,26.14,1.475
2023-01-09,UT,58.894,27.61,1.401
2023-01-09,CA,42.986,32.8,1.771
2023-01-09,PN,52.023,27.86,1.556
2023-01-09,NE,53.29,27.03,1.844
2023-01-16,CO,61.418,23.37,1.884
2023-01-16,UT,66.441,26.42,1.487
2023-01-16,CA,45.771,31.51,1.812
2023-01-16,PN,53.599,30.21,1.406
2023-01-16,NE,59.132,25.31,1.916
2023-01-23,CO,65.984,24.39,1.714
2023-01-23,UT,63.08,22.72,1.556
2023-01-23,CA,48.655,34.82,1.916
2023-01-23,PN,55.608,29.8,1.741
2023-01-23,NE,58.361,29.96,2.019
2023-01-30,CO,70.374,21.09,1.603
2023-01-30,UT,65.395,21.95,1.573
2023-01-30,CA,46.063,31.43,2.102
2023-01-30,PN,52.058,31.19,2.105
2023-01-30,NE,56.67,28.21,1.859
2023-02-06,CO,76.173,25.72,1.581
2023-02-06,UT,68.6,27.27,1.81
2023-02-06,CA,49.933,30.54,2.057
2023-02-06,PN,59.001,28.56,2.205
2023-02-06,NE,65.241,28.55,2.01
2023-02-13,CO,71.441,25.69,1.72
2023-02-13,UT,73.569,22.94,1.873
2023-02-13,CA,51.559,30.16,2.042
2023-02-13,PN,57.325,26.78,1.722
2023-02-13,NE,66.551,26.04,2.166
2023-02-20,CO,77.989,22.22,1.984
2023-02-20,UT,70.826,25.24,1.837
2023-02-20,CA,51.68,34.27,2.119
2023-02-20,PN,62.282,30.81,2.005
2023-02-20,NE,62.13,26.59,2.218
2023-02-27,CO,81.479,24.75,2.019
2023-02-27,UT,76.959,23.98,2.144
2023-02-27,CA,47.783,34.53,2.125
2023-02-27,PN,63.739,29.68,2.082
2023-02-27,NE,66.345,25.63,1.864
2023-03-06,CO,82.083,36.42,2.303
2023-03-06,UT,79.862,36.66,2.075
2023-03-06,CA,53.904,37.55,2.155
2023-03-06,PN,61.371,41.01,2.384
2023-03-06,NE,66.975,38.97,2.375
2023-03-13,CO,79.119,35.23,2.093
2023-03-13,UT,78.252,35.88,2.3
2023-03-13,CA,48.961,39.69,2.282
2023-03-13,PN,66.276,36.3,2.146
2023-03-13,NE,69.057,36.82,2.418
2023-03-20,CO,79.723,38.78,2.137
2023-03-20,UT,80.553,37.54,1.949
2023-03-20,CA,54.487,41.72,2.455
2023-03-20,PN,64.124,37.66,1.903
2023-03-20,NE,65.267,36.71,2.296
2023-03-27,CO,81.751,37.82,2.446
2023-03-27,UT,76.438,35.6,2.292
2023-03-27,CA,54.986,40.95,2.186
2023-03-27,PN,59.879,39.76,1.94
2023-03-27,NE,70.424,36.85,2.466
2023-04-03,CO,27.167,40.5,2.346
2023-04-03,UT,32.165,38.94,1.985
2023-04-03,CA,23.959,38.77,2.062
2023-04-03,PN,24.165,38.41,1.983
2023-04-03,NE,27.834,41.35,2.299
2023-04-10,CO,28.894,35.18,2.388
2023-04-10,UT,30.206,36.68,2.407
2023-04-10,CA,22.766,40.3,2.128
2023-04-10,PN,25.016,36.9,1.898
2023-04-10,NE,28.375,40.13,2.125
2023-04-17,CO,27.51,39.68,2.174
2023-04-17,UT,29.923,36.52,2.168
2023-04-17,CA,20.698,40.58,1.918
2023-04-17,PN,24.674,36.91,2.439
2023-04-17,NE,30.306,36.48,1.876
2023-04-24,CO,28.277,38.87,2.229
2023-04-24,UT,26.158,37.53,2.022
2023-04-24,CA,21.935,40.95,2.185
2023-04-24,PN,24.065,38.46,2.13
2023-04-24,NE,25.91,35.61,1.878
2023-05-01,CO,30.195,39.92,2.25
2023-05-01,UT,29.781,37.51,2.021
2023-05-01,CA,26.538,42.13,2.185
2023-05-01,PN,24.415,40.51,2.157
2023-05-01,NE,25.327,37.41,2.201
2023-05-08,CO,25.838,37.11,1.932
2023-05-08,UT,26.844,35.78,1.845
2023-05-08,CA,19.258,37.24,1.972
2023-05-08,PN,23.57,38.99,2.175
2023-05-08,NE,22.305,37.29,1.749
2023-05-15,CO,30.63,35.32,1.856
2023-05-15,UT,30.126,39.56,2.092
2023-05-15,CA,23.029,39.3,1.97
2023-05-15,PN,26.121,37.19,2.065
2023-05-15,NE,28.488,41.01,1.798
2023-05-22,CO,29.25,38.33,1.813
2023-05-22,UT,24.881,36.3,1.61
2023-05-22,CA,23.683,42.46,1.885
2023-05-22,PN,22.89,36.41,2.179
2023-05-22,NE,27.816,38.62,1.853
2023-05-29,CO,28.159,38.48,1.649
2023-05-29,UT,25.599,35.67,1.736
2023-05-29,CA,18.927,36.66,1.564
2023-05-29,PN,23.757,36.78,1.7
2023-05-29,NE,24.701,40.77,1.892
2023-06-05,CO,24.537,40.44,1.832
2023-06-05,UT,28.871,35.82,1.563
2023-06-05,CA,22.559,41.65,1.787
2023-06-05,PN,22.981,39.39,1.737
2023-06-05,NE,27.092,36.63,1.893
2023-06-12,CO,26.239,37.82,1.6
2023-06-12,UT,26.366,38.36,1.92
2023-06-12,CA,22.508,40.37,1.755
2023-06-12,PN,25.053,37.31,1.922
2023-06-12,NE,25.94,37.6,1.521
2023-06-19,CO,23.4,39.07,1.836
2023-06-19,UT,22.082,36.19,1.354
2023-06-19,CA,19.945,38.19,1.47
2023-06-19,PN,22.437,36.11,1.707
2023-06-19,NE,26.091,40.69,1.804
2023-06-26,CO,26.248,37.86,1.458
2023-06-26,UT,21.615,40.52,1.318
2023-06-26,CA,21.247,42.04,1.619
2023-06-26,PN,24.875,39.51,1.539
2023-06-26,NE,25.488,36.28,1.541
2023-07-03,CO,22.072,35.53,1.362
2023-07-03,UT,19.529,40.57,1.589
2023-07-03,CA,18.004,41.69,1.34
2023-07-03,PN,19.489,40.78,1.354
2023-07-03,NE,24.294,39.09,1.575
2023-07-10,CO,23.35,37.98,1.179
2023-07-10,UT,20.808,39.4,1.03
2023-07-10,CA,18.95,37.54,0.971
2023-07-10,PN,18.757,39.19,1.097
2023-07-10,NE,20.202,41.33,1.335
2023-07-17,CO,18.967,38.97,1.282
2023-07-17,UT,18.625,38.58,1.105
2023-07-17,CA,21.186,41.68,0.989
2023-07-17,PN,19.138,39.81,1.245
2023-07-17,NE,24.337,40.77,1.397
2023-07-24,CO,21.151,36.3,1.088
2023-07-24,UT,22.383,40.26,0.809
2023-07-24,CA,17.912,39.82,0.876
2023-07-24,PN,20.261,35.99,1.0
2023-07-24,NE,20.891,40.95,1.321
2023-07-31,CO,19.09,40.15,0.968
2023-07-31,UT,18.33,40.01,0.833
2023-07-31,CA,16.647,38.67,0.973
2023-07-31,PN,16.387,41.09,0.798
2023-07-31,NE,22.122,38.39,0.96
2023-08-07,CO,16.551,35.59,0.925
2023-08-07,UT,17.335,36.43,1.133
2023-08-07,CA,19.734,38.6,0.971
2023-08-07,PN,22.079,39.64,0.873
2023-08-07,NE,20.471,39.44,0.671
2023-08-14,CO,16.312,36.41,0.948
2023-08-14,UT,23.135,40.59,1.113
2023-08-14,CA,22.009,40.33,0.624
2023-08-14,PN,23.358,39.84,0.543
2023-08-14,NE,20.05,39.84,0.953
2023-08-21,CO,15.764,36.61,0.84
2023-08-21,UT,22.05,34.84,0.749
2023-08-21,CA,15.434,42.27,0.811
2023-08-21,PN,18.445,39.62,0.544
2023-08-21,NE,19.173,40.69,0.882
2023-08-28,CO,19.117,36.25,0.609
2023-08-28,UT,18.924,36.69,0.566
2023-08-28,CA,15.102,37.95,0.558
2023-08-28,PN,20.418,37.8,0.653
2023-08-28,NE,18.599,38.87,0.804
2023-09-04,CO,16.963,36.67,0.833
2023-09-04,UT,22.698,37.57,0.404
2023-09-04,CA,15.66,37.6,0.868
2023-09-04,PN,21.17,38.61,0.898
2023-09-04,NE,21.122,37.15,0.769
2023-09-11,CO,18.143,40.25,0.541
2023-09-11,UT,19.905,39.3,0.72
2023-09-11,CA,18.469,38.29,0.874
2023-09-11,PN,22.558,38.36,0.797
2023-09-11,NE,16.062,39.47,0.644
2023-09-18,CO,18.655,38.88,0.785
2023-09-18,UT,19.02,36.67,0.867
2023-09-18,CA,14.648,36.93,0.472
2023-09-18,PN,20.89,40.33,0.624
2023-09-18,NE,21.975,38.72,0.901
2023-09-25,CO,20.151,38.64,0.623
2023-09-25,UT,20.253,34.79,0.776
2023-09-25,CA,17.398,42.11,0.437
2023-09-25,PN,15.168,37.69,0.78
2023-09-25,NE,21.888,40.51,0.353
2023-10-02,CO,18.292,37.07,0.44
2023-10-02,UT,19.43,34.79,0.852
2023-10-02,CA,20.443,39.41,0.694
2023-10-02,PN,17.452,39.53,0.484
2023-10-02,NE,22.21,38.79,0.628
2023-10-09,CO,19.878,34.54,0.721
2023-10-09,UT,22.648,35.74,0.845
2023-10-09,CA,19.815,39.11,0.765
2023-10-09,PN,21.489,36.16,0.711
2023-10-09,NE,18.559,40.36,0.751
2023-10-16,CO,15.729,37.77,0.384
2023-10-16,UT,18.934,39.12,0.425
2023-10-16,CA,16.15,41.56,0.47
2023-10-16,PN,15.908,39.0,0.803
2023-10-16,NE,17.822,41.26,0.378
2023-10-23,CO,20.677,36.97,0.53
2023-10-23,UT,22.249,38.97,0.75
2023-10-23,CA,15.645,42.03,0.768
2023-10-23,PN,16.484,41.21,0.65
2023-10-23,NE,16.181,41.33,0.459
2023-10-30,CO,20.919,38.93,0.608
2023-10-30,UT,18.638,35.67,0.985
2023-10-30,CA,22.38,37.93,0.537
2023-10-30,PN,17.839,38.28,0.453
2023-10-30,NE,21.429,39.61,0.859
2023-11-06,CO,30.198,37.42,0.838
2023-11-06,UT,35.939,38.91,0.864
2023-11-06,CA,25.737,42.5,0.679
2023-11-06,PN,28.751,37.21,0.546
2023-11-06,NE,31.933,39.79,0.748
2023-11-13,CO,33.676,37.02,1.096
2023-11-13,UT,35.701,35.03,0.614
2023-11-13,CA,27.088,40.36,0.804
