time,geo,kpi_bookings,kpi_revenue,revenue_per_kpi,population,paid_search_impressions,paid_search_spend,paid_social_upper_impressions,paid_social_upper_spend,paid_social_prospecting_impressions,paid_social_prospecting_spend,paid_social_retargeting_impressions,paid_social_retargeting_spend,organic_sessions,email_sends,availability_index,snowfall_index,holiday_flag,adr_price_index,promotional_package
2022-11-07,CO,207,47517.24,229.55,5800000,241195.0,1776.57,0,0.0,104367,932.15,61297,682.0,2731,4218,0.5392,35.864,0,107.947,0
2022-11-07,UT,179,49859.25,278.54,3400000,208895.0,1551.75,0,0.0,91633,818.36,59673,663.36,2433,3942,0.5789,34.907,0,108.479,0
2022-11-07,CA,216,55312.69,256.08,8200000,238336.0,1755.87,0,0.0,91020,814.26,58008,644.48,2554,4341,0.5316,22.957,0,107.203,0
2022-11-07,PN,177,49808.63,281.4,6100000,201492.0,1501.11,0,0.0,72565,649.6,50729,565.24,2239,3994,0.527,25.788,0,108.585,0
2022-11-07,NE,157,44074.01,280.73,7400000,177327.0,1303.5,0,0.0,74443,665.3,36720,408.29,1922,3265,0.5367,28.128,0,108.262,0
2022-11-14,CO,213,55060.74,258.5,5800000,236865.0,1745.74,0,0.0,93652,833.35,69696,774.61,2506,4591,0.5563,34.376,0,110.262,0
2022-11-14,UT,211,58328.9,276.44,3400000,222564.0,1636.44,0,0.0,95650,854.59,49252,547.73,2500,3944,0.5479,37.617,0,109.575,0
2022-11-14,CA,208,50334.74,241.99,8200000,231739.0,1699.82,0,0.0,100314,895.48,58895,656.15,2701,4181,0.5289,31.879,0,109.051,0
2022-11-14,PN,184,42773.42,232.46,6100000,195572.0,1435.0,0,0.0,78862,705.38,49893,555.92,2176,4014,0.5758,33.905,0,110.372,0
2022-11-14,NE,158,42519.39,269.11,7400000,170592.0,1262.47,0,0.0,78182,698.79,36458,405.25,1839,3392,0.5588,30.267,0,108.449,0
2022-11-21,CO,311,86706.68,278.8,5800000,364272.0,2665.62,0,0.0,143646,1282.0,80210,892.18,3358,6081,0.6076,37.295,1,108.087,1
2022-11-21,UT,263,60747.86,230.98,3400000,306650.0,2266.9,0,0.0,114357,1019.45,57905,644.57,2951,5813,0.6018,35.581,1,108.787,1
2022-11-21,CA,253,65612.94,259.34,8200000,309714.0,2272.14,0,0.0,131067,1171.94,68824,766.45,3021,6396,0.5505,28.923,1,111.496,1
2022-11-21,PN,238,63744.32,267.83,6100000,304134.0,2252.67,0,0.0,105166,939.49,57871,643.4,2839,5353,0.5643,31.835,1,111.168,1
2022-11-21,NE,218,60792.84,278.87,7400000,247078.0,1838.72,0,0.0,99069,882.33,44124,490.02,2488,5149,0.5343,35.46,1,109.484,1
2022-11-28,CO,265,79222.42,298.95,5800000,325766.0,2389.75,0,0.0,111382,997.61,69270,771.18,2761,5386,0.6098,40.131,1,118.216,0
2022-11-28,UT,221,62766.32,284.01,3400000,261921.0,1912.38,0,0.0,101344,904.65,71293,793.75,2860,4475,0.6115,40.886,1,116.887,0
2022-11-28,CA,248,65227.53,263.01,8200000,288208.0,2102.92,0,0.0,103273,923.98,67480,751.56,3016,5094,0.5567,35.29,1,117.469,0
2022-11-28,PN,212,56272.33,265.44,6100000,271523.0,2005.22,0,0.0,96252,858.95,52373,583.14,2567,4430,0.5601,38.244,1,116.565,0
2022-11-28,NE,191,51828.12,271.35,7400000,237594.0,1735.02,0,0.0,74876,667.51,39793,443.15,2223,3568,0.6204,37.212,1,116.775,0
2022-12-05,CO,241,69735.38,289.36,5800000,256998.0,1884.93,0,0.0,98918,881.32,62025,689.33,2813,4569,0.6881,43.174,0,111.64,0
2022-12-05,UT,204,52654.42,258.11,3400000,228347.0,1692.18,0,0.0,89069,796.44,57202,637.47,2774,4445,0.6755,42.317,0,114.457,0
2022-12-05,CA,207,51478.67,248.69,8200000,252836.0,1875.64,0,0.0,92330,823.44,66270,736.94,3051,4846,0.6325,32.905,0,112.926,0
2022-12-05,PN,194,46399.53,239.17,6100000,212373.0,1566.4,0,0.0,86751,774.83,42400,471.66,2359,3877,0.6545,39.354,0,113.815,0
2022-12-05,NE,176,43574.62,247.58,7400000,202783.0,1481.11,0,0.0,76726,683.24,37494,417.62,2233,3461,0.683,36.038,0,114.597,0
2022-12-12,CO,249,71448.37,286.94,5800000,264394.0,1971.13,0,0.0,115187,1029.51,70090,779.49,2963,4758,0.711,45.972,0,113.269,0
2022-12-12,UT,202,58453.35,289.37,3400000,226522.0,1665.03,0,0.0,98520,878.9,64805,722.08,2951,4435,0.6782,48.849,0,114.893,0
2022-12-12,CA,215,55015.41,255.89,8200000,245026.0,1815.13,0,0.0,92224,825.47,70545,785.38,3023,4668,0.6632,34.84,0,114.645,0
2022-12-12,PN,194,54172.15,279.24,6100000,209954.0,1555.32,0,0.0,84120,750.86,45008,500.42,2462,4232,0.641,36.831,0,115.261,0
2022-12-12,NE,172,47993.96,279.03,7400000,199762.0,1466.64,0,0.0,75528,672.12,47540,528.24,2479,3937,0.6909,44.761,0,113.261,0
2022-12-19,CO,247,67510.81,273.32,5800000,280192.0,2046.7,0,0.0,102194,909.74,73272,815.65,3124,4758,0.6842,54.191,0,114.174,0
2022-12-19,UT,216,52038.27,240.92,3400000,232816.0,1718.31,0,0.0,92203,822.43,55744,618.98,2603,4464,0.7215,50.518,0,113.225,0
2022-12-19,CA,224,60677.72,270.88,8200000,259721.0,1938.35,0,0.0,95275,849.36,62459,693.4,2944,4731,0.7186,40.52,0,113.99,0
2022-12-19,PN,192,55501.46,289.07,6100000,225254.0,1664.78,0,0.0,80235,717.85,51840,577.25,2511,4297,0.6646,45.694,0,114.162,0
2022-12-19,NE,181,44029.36,243.26,7400000,193408.0,1414.09,0,0.0,82247,734.32,38645,429.89,2203,3970,0.683,44.082,0,113.486,0
2022-12-26,CO,290,85777.42,295.78,5800000,330378.0,2425.03,0,0.0,106405,950.57,80274,891.23,3381,5276,0.7015,55.614,1,121.179,0
2022-12-26,UT,255,69531.03,272.67,3400000,316160.0,2342.02,0,0.0,99991,895.93,60051,669.3,2835,4666,0.6926,54.935,1,119.72,0
2022-12-26,CA,272,70581.15,259.49,8200000,329969.0,2408.67,0,0.0,107303,961.53,82032,912.49,3237,5475,0.7408,36.784,1,119.468,0
2022-12-26,PN,226,59904.94,265.07,6100000,259229.0,1913.94,0,0.0,87891,786.45,54763,609.67,2651,4419,0.7173,44.687,1,118.428,0
2022-12-26,NE,204,51538.06,252.64,7400000,248686.0,1844.93,0,0.0,85999,769.44,42573,473.74,2395,4072,0.731,46.934,1,118.547,0
2023-01-02,CO,367,88610.6,241.45,5800000,424283.0,3117.01,0,0.0,148550,1329.4,84206,935.53,3993,7757,0.7641,59.666,1,114.896,1
2023-01-02,UT,325,95205.53,292.94,3400000,351587.0,2607.27,0,0.0,139896,1250.98,72417,804.83,3281,6731,0.7117,52.76,1,112.938,1
2023-01-02,CA,305,88161.9,289.06,8200000,356757.0,2638.01,0,0.0,127652,1140.13,81404,906.2,3974,7249,0.7308,37.512,1,115.741,1
2023-01-02,PN,270,73747.28,273.14,6100000,303524.0,2239.61,0,0.0,130268,1165.74,64892,722.89,3204,5773,0.7012,50.005,1,115.228,1
2023-01-02,NE,269,79604.02,295.93,7400000,303897.0,2266.52,0,0.0,109338,976.9,53477,595.64,2773,5379,0.7119,51.363,1,114.194,1
2023-01-09,CO,268,79591.61,296.98,5800000,284261.0,2093.89,0,0.0,105706,941.91,69084,769.52,3157,5566,0.7831,59.379,0,116.848,0
2023-01-09,UT,217,61612.71,283.93,3400000,227427.0,1682.3,0,0.0,90832,810.68,65216,725.5,3033,5041,0.7647,58.894,0,116.123,0
2023-01-09,CA,245,60923.46,248.67,8200000,270685.0,1989.14,0,0.0,114966,1028.34,73303,817.03,3404,4854,0.7593,42.986,0,116.26,0
2023-01-09,PN,225,66424.19,295.22,6100000,240066.0,1760.4,0,0.0,91252,815.0,59560,662.98,2704,4714,0.7445,52.023,0,115.037,0
2023-01-09,NE,187,53551.12,286.37,7400000,210044.0,1545.52,0,0.0,78734,704.85,44874,498.39,2378,4278,0.732,53.29,0,114.838,0
2023-01-16,CO,279,81146.41,290.85,5800000,290895.0,2121.62,0,0.0,103587,924.67,80066,891.42,3362,5585,0.753,61.418,0,116.891,0
2023-01-16,UT,235,65294.72,277.85,3400000,245550.0,1807.12,0,0.0,99400,887.71,66768,742.73,3245,4519,0.7692,66.441,0,116.051,0
2023-01-16,CA,239,64521.35,269.96,8200000,254671.0,1865.05,0,0.0,104485,932.67,67897,756.43,3130,4843,0.797,45.771,0,115.456,0
2023-01-16,PN,215,61435.27,285.75,6100000,235064.0,1747.1,0,0.0,93313,836.03,66773,742.86,3040,4486,0.788,53.599,0,115.662,0
2023-01-16,NE,192,57440.04,299.17,7400000,198148.0,1468.25,0,0.0,83560,744.73,37705,420.17,2353,4054,0.7723,59.132,0,116.522,0
